condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
congruent_pointer_middle,9,0,2,107,53.16,22.02,0.06,0.35,100,401,Incorrect
congruent_pointer_middle,9,1,2,107,70.34,51.98,0.08,0.82,107,469,Correct
congruent_pointer_middle,9,2,1,106,85.19,69.19,0.1,1.09,102,734,Incorrect
congruent_pointer_middle,9,3,1,102,21.18,37.86,0.02,0.59,100,744,Correct
congruent_pointer_middle,9,4,2,107,54.83,23.6,0.06,0.37,100,972,Incorrect
congruent_pointer_middle,9,5,1,106,40.52,15.65,0.05,0.25,102,650,Incorrect
congruent_pointer_middle,9,6,1,106,67.82,48.16,0.08,0.76,102,455,Incorrect
congruent_pointer_middle,9,7,1,106,35.22,24.37,0.04,0.38,102,448,Incorrect
congruent_pointer_middle,9,8,2,100,17.0,38.61,0.02,0.61,100,458,Correct
congruent_pointer_middle,9,9,2,100,53.52,63.58,0.06,1.0,107,526,Incorrect
