condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pointer_middle,2,0,1,102,25.02,57.75,0.03,0.91,102,2231,Correct
incongruent_pointer_middle,2,1,1,106,47.18,21.17,0.05,0.33,106,809,Correct
incongruent_pointer_middle,2,2,2,100,55.12,40.67,0.06,0.64,107,2436,Incorrect
incongruent_pointer_middle,2,3,1,102,12.59,36.0,0.01,0.57,102,738,Correct
incongruent_pointer_middle,2,4,1,102,24.22,56.7,0.03,0.89,102,1014,Correct
incongruent_pointer_middle,2,5,1,106,81.29,65.4,0.09,1.03,106,662,Correct
incongruent_pointer_middle,2,6,1,102,21.03,48.99,0.02,0.77,102,1241,Correct
incongruent_pointer_middle,2,7,2,107,62.77,74.63,0.07,1.17,100,653,Incorrect
incongruent_pointer_middle,2,8,2,107,33.79,57.58,0.04,0.9,107,949,Correct
incongruent_pointer_middle,2,9,2,107,20.57,52.41,0.02,0.82,100,928,Incorrect
incongruent_pointer_middle,2,10,2,107,33.4,62.89,0.04,0.99,107,1418,Correct
incongruent_pointer_middle,2,11,1,106,70.84,46.65,0.08,0.73,106,1756,Correct
incongruent_pointer_middle,2,12,2,107,65.32,82.29,0.07,1.29,107,1209,Correct
incongruent_pointer_middle,2,13,2,107,34.96,58.09,0.04,0.91,100,1298,Incorrect
incongruent_pointer_middle,2,14,1,102,18.86,35.98,0.02,0.57,102,1087,Correct
incongruent_pointer_middle,2,15,2,107,52.82,82.33,0.06,1.29,107,615,Correct
incongruent_pointer_middle,2,16,2,107,31.05,56.3,0.03,0.88,107,777,Correct
incongruent_pointer_middle,2,17,2,107,11.78,35.8,0.01,0.56,100,3653,Incorrect
incongruent_pointer_middle,2,18,2,100,49.35,38.71,0.06,0.61,107,1119,Incorrect
incongruent_pointer_middle,2,19,1,102,18.43,45.0,0.02,0.71,102,1049,Correct
incongruent_pointer_middle,2,20,2,100,51.07,30.99,0.06,0.49,107,2488,Incorrect
incongruent_pointer_middle,2,21,1,106,69.05,44.23,0.08,0.69,102,1000,Incorrect
incongruent_pointer_middle,2,22,1,102,44.95,71.66,0.05,1.13,106,1346,Incorrect
incongruent_pointer_middle,2,23,1,102,23.14,35.78,0.03,0.56,102,3081,Correct
incongruent_pointer_middle,2,24,2,107,33.31,58.61,0.04,0.92,107,5096,Correct
incongruent_pointer_middle,2,25,1,106,73.6,51.86,0.08,0.81,106,2491,Correct
incongruent_pointer_middle,2,26,1,102,36.7,61.09,0.04,0.96,102,4160,Correct
incongruent_pointer_middle,2,27,2,100,46.06,18.91,0.05,0.3,100,2252,Correct
incongruent_pointer_middle,2,28,2,107,30.56,41.22,0.03,0.65,107,907,Correct
incongruent_pointer_middle,2,29,2,107,26.25,41.29,0.03,0.65,107,896,Correct
incongruent_pointer_middle,2,30,1,102,14.75,37.23,0.02,0.58,102,656,Correct
incongruent_pointer_middle,2,31,2,100,42.45,33.49,0.05,0.53,107,669,Incorrect
incongruent_pointer_middle,2,32,2,100,53.01,26.87,0.06,0.42,100,1354,Correct
incongruent_pointer_middle,2,33,2,100,50.52,29.68,0.06,0.47,100,878,Correct
incongruent_pointer_middle,2,34,2,100,57.43,36.81,0.06,0.58,107,1112,Incorrect
incongruent_pointer_middle,2,35,2,107,27.93,41.68,0.03,0.65,107,814,Correct
incongruent_pointer_middle,2,36,1,106,64.74,45.12,0.07,0.71,106,1003,Correct
incongruent_pointer_middle,2,37,1,106,68.92,41.1,0.08,0.65,102,1487,Incorrect
incongruent_pointer_middle,2,38,1,102,41.57,56.98,0.05,0.9,106,1500,Incorrect
incongruent_pointer_middle,2,39,1,102,66.69,78.59,0.07,1.23,102,1051,Correct
incongruent_pointer_middle,2,40,1,102,54.88,69.18,0.06,1.09,102,965,Correct
incongruent_pointer_middle,2,41,1,106,43.91,23.09,0.05,0.36,102,1283,Incorrect
incongruent_pointer_middle,2,42,2,107,64.99,88.77,0.07,1.39,100,1782,Incorrect
