condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
congruent_pointer_middle,5,0,2,107,41.2,28.68,0.05,0.45,100,1991,Incorrect
congruent_pointer_middle,5,1,1,102,26.85,55.52,0.03,0.87,106,926,Incorrect
congruent_pointer_middle,5,2,2,100,60.93,71.66,0.07,1.13,100,712,Correct
congruent_pointer_middle,5,3,2,107,37.78,14.64,0.04,0.23,107,890,Correct
congruent_pointer_middle,5,4,1,106,44.51,24.91,0.05,0.39,102,1954,Incorrect
congruent_pointer_middle,5,5,2,100,20.64,36.17,0.02,0.57,107,1137,Incorrect
congruent_pointer_middle,5,6,2,107,46.28,23.32,0.05,0.37,100,1934,Incorrect
congruent_pointer_middle,5,7,1,106,49.87,35.75,0.06,0.56,106,670,Correct
congruent_pointer_middle,5,8,1,102,37.25,51.59,0.04,0.81,106,2959,Incorrect
congruent_pointer_middle,5,9,1,102,16.32,34.58,0.02,0.54,102,1464,Correct
congruent_pointer_middle,5,10,1,102,51.2,73.63,0.06,1.16,106,2274,Incorrect
congruent_pointer_middle,5,11,2,100,47.61,54.68,0.05,0.86,107,829,Incorrect
congruent_pointer_middle,5,12,1,102,34.23,44.9,0.04,0.71,106,1725,Incorrect
congruent_pointer_middle,5,13,1,106,53.11,27.69,0.06,0.43,102,830,Incorrect
congruent_pointer_middle,5,14,1,102,11.37,30.4,0.01,0.48,102,833,Correct
congruent_pointer_middle,5,15,1,102,19.25,42.67,0.02,0.67,102,1215,Correct
congruent_pointer_middle,5,16,1,106,57.51,31.54,0.06,0.5,106,1144,Correct
congruent_pointer_middle,5,17,2,100,41.32,69.42,0.05,1.09,100,905,Correct
congruent_pointer_middle,5,18,1,102,40.97,58.08,0.05,0.91,106,775,Incorrect
congruent_pointer_middle,5,19,2,107,80.46,63.44,0.09,1.0,100,930,Incorrect
congruent_pointer_middle,5,20,1,106,61.81,33.58,0.07,0.53,106,767,Correct
congruent_pointer_middle,5,21,2,100,63.79,88.93,0.07,1.4,107,831,Incorrect
congruent_pointer_middle,5,22,1,102,60.3,77.25,0.07,1.21,106,593,Incorrect
congruent_pointer_middle,5,23,1,102,37.4,67.39,0.04,1.06,106,774,Incorrect
congruent_pointer_middle,5,24,2,107,61.85,41.6,0.07,0.65,100,1277,Incorrect
congruent_pointer_middle,5,25,1,102,37.18,44.53,0.04,0.7,102,795,Correct
congruent_pointer_middle,5,26,2,107,82.18,53.15,0.09,0.83,107,1843,Correct
congruent_pointer_middle,5,27,2,107,36.88,17.83,0.04,0.28,100,2620,Incorrect
congruent_pointer_middle,5,28,2,100,16.99,44.78,0.02,0.7,107,888,Incorrect
congruent_pointer_middle,5,29,2,100,64.68,86.86,0.07,1.36,107,1143,Incorrect
congruent_pointer_middle,5,30,2,100,21.72,53.64,0.02,0.84,107,851,Incorrect
congruent_pointer_middle,5,31,2,100,51.52,65.59,0.06,1.03,100,710,Correct
congruent_pointer_middle,5,32,2,100,50.8,59.97,0.06,0.94,100,684,Correct
congruent_pointer_middle,5,33,1,102,61.53,73.95,0.07,1.16,106,1134,Incorrect
congruent_pointer_middle,5,34,1,106,75.29,51.87,0.08,0.81,102,870,Incorrect
congruent_pointer_middle,5,35,1,102,48.68,73.99,0.05,1.16,106,722,Incorrect
congruent_pointer_middle,5,36,1,102,62.66,82.53,0.07,1.3,102,1040,Correct
congruent_pointer_middle,5,37,2,100,65.4,86.3,0.07,1.36,100,1504,Correct
congruent_pointer_middle,5,38,1,102,49.68,64.89,0.06,1.02,106,1075,Incorrect
congruent_pointer_middle,5,39,1,102,45.45,66.58,0.05,1.05,106,1242,Incorrect
congruent_pointer_middle,5,40,1,102,27.62,54.9,0.03,0.86,102,755,Correct
congruent_pointer_middle,5,41,1,106,71.75,51.14,0.08,0.8,106,2189,Correct
congruent_pointer_middle,5,42,2,100,28.56,41.52,0.03,0.65,100,940,Correct
congruent_pointer_middle,5,43,2,107,58.69,38.05,0.07,0.6,107,2723,Correct
congruent_pointer_middle,5,44,1,102,25.01,47.29,0.03,0.74,106,2343,Incorrect
congruent_pointer_middle,5,45,2,107,36.78,22.01,0.04,0.35,100,4163,Incorrect
congruent_pointer_middle,5,46,1,102,43.11,74.58,0.05,1.17,106,1211,Incorrect
congruent_pointer_middle,5,47,2,100,59.87,74.11,0.07,1.16,107,653,Incorrect
congruent_pointer_middle,5,48,2,100,37.3,51.99,0.04,0.82,100,624,Correct
congruent_pointer_middle,5,49,1,106,38.34,21.87,0.04,0.34,106,1051,Correct
congruent_pointer_middle,5,50,1,106,64.97,43.61,0.07,0.69,106,2011,Correct
congruent_pointer_middle,5,51,1,102,55.13,83.75,0.06,1.32,106,1403,Incorrect
congruent_pointer_middle,5,52,2,100,26.15,55.14,0.03,0.87,107,1364,Incorrect
congruent_pointer_middle,5,53,2,107,51.6,43.47,0.06,0.68,100,573,Incorrect
congruent_pointer_middle,5,54,1,106,70.52,52.8,0.08,0.83,106,1056,Correct
congruent_pointer_middle,5,55,2,107,38.44,29.15,0.04,0.46,100,861,Incorrect
congruent_pointer_middle,5,56,1,102,32.68,43.66,0.04,0.69,106,1626,Incorrect
congruent_pointer_middle,5,57,2,100,31.19,49.11,0.03,0.77,100,4256,Correct
congruent_pointer_middle,5,58,2,107,62.63,37.86,0.07,0.59,107,532,Correct
congruent_pointer_middle,5,59,2,100,30.14,39.89,0.03,0.63,107,761,Incorrect
congruent_pointer_middle,5,60,1,102,40.65,64.24,0.05,1.01,106,903,Incorrect
congruent_pointer_middle,5,61,2,100,13.9,41.34,0.02,0.65,100,1116,Correct
congruent_pointer_middle,5,62,1,102,25.47,42.78,0.03,0.67,106,2068,Incorrect
congruent_pointer_middle,5,63,2,107,63.88,33.48,0.07,0.53,107,1205,Correct
congruent_pointer_middle,5,64,2,100,54.32,83.38,0.06,1.31,100,970,Correct
congruent_pointer_middle,5,65,2,107,57.12,33.81,0.06,0.53,107,1090,Correct
congruent_pointer_middle,5,66,2,100,61.86,73.81,0.07,1.16,100,691,Correct
congruent_pointer_middle,5,67,1,106,33.41,14.16,0.04,0.22,106,860,Correct
congruent_pointer_middle,5,68,2,107,68.56,46.5,0.08,0.73,100,803,Incorrect
congruent_pointer_middle,5,69,1,102,29.79,57.06,0.03,0.9,106,800,Incorrect
congruent_pointer_middle,5,70,1,106,36.59,22.65,0.04,0.36,106,491,Correct
congruent_pointer_middle,5,71,2,107,71.63,59.14,0.08,0.93,100,724,Incorrect
congruent_pointer_middle,5,72,2,107,80.56,60.26,0.09,0.95,100,1048,Incorrect
congruent_pointer_middle,5,73,1,102,35.04,57.99,0.04,0.91,106,569,Incorrect
congruent_pointer_middle,5,74,1,106,42.85,17.4,0.05,0.27,106,706,Correct
congruent_pointer_middle,5,75,2,107,68.71,53.04,0.08,0.83,100,1464,Incorrect
congruent_pointer_middle,5,76,2,107,50.62,31.61,0.06,0.5,107,1834,Correct
congruent_pointer_middle,5,77,1,106,78.02,60.1,0.09,0.94,106,2324,Correct
congruent_pointer_middle,5,78,1,106,60.42,48.92,0.07,0.77,106,509,Correct
congruent_pointer_middle,5,79,2,107,69.76,37.11,0.08,0.58,107,813,Correct
congruent_pointer_middle,5,80,1,102,49.77,77.42,0.06,1.22,106,603,Incorrect
congruent_pointer_middle,5,81,1,102,51.8,77.59,0.06,1.22,102,550,Correct
congruent_pointer_middle,5,82,2,107,71.31,59.91,0.08,0.94,107,1655,Correct
congruent_pointer_middle,5,83,2,107,35.8,14.4,0.04,0.23,100,618,Incorrect
congruent_pointer_middle,5,84,1,106,64.18,45.74,0.07,0.72,106,175,Correct
congruent_pointer_middle,5,85,2,107,54.15,31.69,0.06,0.5,100,961,Incorrect
congruent_pointer_middle,5,86,2,107,78.87,64.43,0.09,1.01,107,530,Correct
congruent_pointer_middle,5,87,2,100,44.2,74.26,0.05,1.17,107,930,Incorrect
congruent_pointer_middle,5,88,2,107,64.88,51.93,0.07,0.82,107,980,Correct
congruent_pointer_middle,5,89,2,107,47.86,29.08,0.05,0.46,100,1343,Incorrect
congruent_pointer_middle,5,90,1,102,59.75,71.8,0.07,1.13,106,479,Incorrect
congruent_pointer_middle,5,91,1,106,41.91,21.97,0.05,0.35,106,874,Correct
congruent_pointer_middle,5,92,2,107,84.21,69.2,0.09,1.09,100,730,Incorrect
congruent_pointer_middle,5,93,2,107,47.22,38.04,0.05,0.6,107,1261,Correct
congruent_pointer_middle,5,94,2,100,37.7,59.39,0.04,0.93,107,1251,Incorrect
congruent_pointer_middle,5,95,2,100,26.81,44.19,0.03,0.69,107,1292,Incorrect
congruent_pointer_middle,5,96,1,102,28.79,41.5,0.03,0.65,106,545,Incorrect
congruent_pointer_middle,5,97,1,106,85.72,60.84,0.1,0.96,102,960,Incorrect
congruent_pointer_middle,5,98,2,100,49.89,73.73,0.06,1.16,107,505,Incorrect
congruent_pointer_middle,5,99,2,100,40.47,64.0,0.05,1.01,100,671,Correct
congruent_pointer_middle,5,100,2,107,54.61,26.16,0.06,0.41,100,871,Incorrect
congruent_pointer_middle,5,101,2,100,34.48,64.76,0.04,1.02,107,495,Incorrect
congruent_pointer_middle,5,102,1,102,50.05,75.89,0.06,1.19,106,740,Incorrect
congruent_pointer_middle,5,103,1,102,54.24,80.81,0.06,1.27,102,637,Correct
congruent_pointer_middle,5,104,1,102,69.23,85.44,0.08,1.34,106,689,Incorrect
congruent_pointer_middle,5,105,1,102,20.2,50.78,0.02,0.8,106,767,Incorrect
congruent_pointer_middle,5,106,2,100,36.53,51.88,0.04,0.81,107,1908,Incorrect
congruent_pointer_middle,5,107,2,100,53.81,70.36,0.06,1.11,100,1032,Correct
congruent_pointer_middle,5,108,2,100,21.58,48.74,0.02,0.77,107,582,Incorrect
congruent_pointer_middle,5,109,1,106,36.05,16.75,0.04,0.26,106,575,Correct
congruent_pointer_middle,5,110,1,106,47.0,22.86,0.05,0.36,106,508,Correct
congruent_pointer_middle,5,111,1,102,18.66,33.23,0.02,0.52,102,937,Correct
congruent_pointer_middle,5,112,2,100,43.97,74.26,0.05,1.17,107,741,Incorrect
congruent_pointer_middle,5,113,1,106,56.27,26.17,0.06,0.41,106,766,Correct
congruent_pointer_middle,5,114,1,106,62.81,29.55,0.07,0.46,106,783,Correct
congruent_pointer_middle,5,115,1,106,50.91,27.7,0.06,0.44,106,538,Correct
congruent_pointer_middle,5,116,2,107,71.19,51.25,0.08,0.8,100,1037,Incorrect
congruent_pointer_middle,5,117,2,107,67.3,42.61,0.08,0.67,107,1513,Correct
congruent_pointer_middle,5,118,2,107,62.64,33.52,0.07,0.53,107,1076,Correct
congruent_pointer_middle,5,119,1,102,30.93,40.65,0.03,0.64,102,885,Correct
congruent_pointer_middle,5,120,1,106,79.41,57.79,0.09,0.91,106,851,Correct
congruent_pointer_middle,5,121,1,102,59.36,82.77,0.07,1.3,106,992,Incorrect
congruent_pointer_middle,5,122,2,107,85.11,63.9,0.1,1.0,100,1098,Incorrect
congruent_pointer_middle,5,123,2,107,36.52,11.95,0.04,0.19,107,917,Correct
congruent_pointer_middle,5,124,2,107,46.32,32.44,0.05,0.51,100,2766,Incorrect
congruent_pointer_middle,5,125,1,106,61.95,35.02,0.07,0.55,106,857,Correct
congruent_pointer_middle,5,126,1,102,52.45,73.65,0.06,1.16,102,1672,Correct
congruent_pointer_middle,5,127,2,107,51.01,39.62,0.06,0.62,107,2154,Correct
congruent_pointer_middle,5,128,2,100,38.16,57.31,0.04,0.9,107,1090,Incorrect
congruent_pointer_middle,5,129,1,106,78.01,52.08,0.09,0.82,106,1155,Correct
congruent_pointer_middle,5,130,1,102,28.97,61.0,0.03,0.96,102,1108,Correct
congruent_pointer_middle,5,131,1,106,52.42,33.91,0.06,0.53,106,1053,Correct
congruent_pointer_middle,5,132,2,107,65.59,42.37,0.07,0.67,107,1074,Correct
congruent_pointer_middle,5,133,2,107,55.41,29.7,0.06,0.47,107,1446,Correct
congruent_pointer_middle,5,134,1,106,75.22,50.17,0.08,0.79,106,3227,Correct
congruent_pointer_middle,5,135,1,106,66.5,34.62,0.07,0.54,106,2970,Correct
congruent_pointer_middle,5,136,2,100,42.25,73.96,0.05,1.16,100,967,Correct
congruent_pointer_middle,5,137,2,107,72.76,60.73,0.08,0.95,100,3695,Incorrect
congruent_pointer_middle,5,138,2,107,81.98,62.7,0.09,0.98,107,603,Correct
congruent_pointer_middle,5,139,2,100,26.79,39.02,0.03,0.61,100,1362,Correct
congruent_pointer_middle,5,140,1,106,77.44,49.54,0.09,0.78,106,715,Correct
congruent_pointer_middle,5,141,2,100,36.22,56.77,0.04,0.89,100,913,Correct
congruent_pointer_middle,5,142,2,107,56.9,33.06,0.06,0.52,107,1061,Correct
congruent_pointer_middle,5,143,2,100,41.19,54.4,0.05,0.85,107,624,Incorrect
congruent_pointer_middle,5,144,2,107,39.91,17.3,0.04,0.27,100,718,Incorrect
congruent_pointer_middle,5,145,2,107,57.47,50.73,0.06,0.8,107,617,Correct
congruent_pointer_middle,5,146,2,107,71.16,43.62,0.08,0.69,107,775,Correct
congruent_pointer_middle,5,147,1,102,57.72,72.85,0.06,1.14,106,925,Incorrect
congruent_pointer_middle,5,148,2,100,52.15,79.25,0.06,1.24,100,836,Correct
congruent_pointer_middle,5,149,1,106,83.53,60.14,0.09,0.94,102,832,Incorrect
congruent_pointer_middle,5,150,1,106,40.74,20.15,0.05,0.32,106,1046,Correct
congruent_pointer_middle,5,151,2,100,48.84,71.32,0.05,1.12,100,1085,Correct
congruent_pointer_middle,5,152,1,106,58.09,43.66,0.06,0.69,106,1004,Correct
congruent_pointer_middle,5,153,1,106,86.24,65.77,0.1,1.03,106,1208,Correct
congruent_pointer_middle,5,154,1,106,37.77,28.18,0.04,0.44,102,1452,Incorrect
congruent_pointer_middle,5,155,2,100,40.49,58.91,0.05,0.93,107,1008,Incorrect
congruent_pointer_middle,5,156,1,106,56.77,48.76,0.06,0.77,106,815,Correct
congruent_pointer_middle,5,157,1,102,13.54,34.02,0.02,0.53,102,1266,Correct
congruent_pointer_middle,5,158,1,102,33.71,43.42,0.04,0.68,106,660,Incorrect
congruent_pointer_middle,5,159,1,102,35.41,51.67,0.04,0.81,102,901,Correct
congruent_pointer_middle,5,160,1,106,44.13,21.15,0.05,0.33,102,681,Incorrect
congruent_pointer_middle,5,161,2,107,65.79,47.46,0.07,0.75,100,942,Incorrect
congruent_pointer_middle,5,162,2,107,49.8,22.98,0.06,0.36,107,626,Correct
congruent_pointer_middle,5,163,1,102,25.06,47.28,0.03,0.74,102,902,Correct
congruent_pointer_middle,5,164,2,100,53.74,76.26,0.06,1.2,100,1077,Correct
congruent_pointer_middle,5,165,1,106,55.2,28.48,0.06,0.45,106,1303,Correct
congruent_pointer_middle,5,166,1,102,27.69,56.92,0.03,0.89,102,714,Correct
congruent_pointer_middle,5,167,2,100,28.28,55.78,0.03,0.88,107,732,Incorrect
congruent_pointer_middle,5,168,1,106,52.54,45.89,0.06,0.72,102,577,Incorrect
congruent_pointer_middle,5,169,2,100,62.6,81.62,0.07,1.28,100,750,Correct
congruent_pointer_middle,5,170,2,107,48.03,25.43,0.05,0.4,107,498,Correct
congruent_pointer_middle,5,171,2,100,51.13,63.8,0.06,1.0,107,577,Incorrect
congruent_pointer_middle,5,172,2,107,59.06,47.33,0.07,0.74,100,2312,Incorrect
congruent_pointer_middle,5,173,2,107,72.94,53.83,0.08,0.85,107,496,Correct
congruent_pointer_middle,5,174,1,106,84.35,67.7,0.09,1.06,106,652,Correct
congruent_pointer_middle,5,175,2,100,15.38,38.45,0.02,0.6,100,675,Correct
congruent_pointer_middle,5,176,1,106,88.9,64.44,0.1,1.01,102,695,Incorrect
congruent_pointer_middle,5,177,2,100,50.54,68.39,0.06,1.07,100,902,Correct
