condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
congruent_pinky_thumb,7,0,2,112,46.16,22.68,0.05,0.36,112,1047,Correct
congruent_pinky_thumb,7,1,2,113,23.98,36.26,0.03,0.57,113,1051,Correct
congruent_pinky_thumb,7,2,1,99,18.36,33.34,0.02,0.52,99,778,Correct
congruent_pinky_thumb,7,3,1,99,43.6,74.42,0.05,1.17,109,827,Incorrect
congruent_pinky_thumb,7,4,1,109,41.22,30.54,0.05,0.48,99,1132,Incorrect
congruent_pinky_thumb,7,5,1,109,75.89,51.07,0.08,0.8,109,1667,Correct
congruent_pinky_thumb,7,6,1,99,37.29,68.97,0.04,1.08,109,894,Incorrect
congruent_pinky_thumb,7,7,1,99,57.22,77.46,0.06,1.22,109,724,Incorrect
congruent_pinky_thumb,7,8,1,99,50.31,71.86,0.06,1.13,99,1993,Correct
congruent_pinky_thumb,7,9,2,113,68.47,85.12,0.08,1.34,112,2022,Incorrect
congruent_pinky_thumb,7,10,1,99,38.16,62.7,0.04,0.98,109,3057,Incorrect
congruent_pinky_thumb,7,11,1,109,61.91,52.9,0.07,0.83,99,1429,Incorrect
congruent_pinky_thumb,7,12,1,99,46.83,54.72,0.05,0.86,109,2183,Incorrect
congruent_pinky_thumb,7,13,1,99,21.61,34.16,0.02,0.54,109,1292,Incorrect
congruent_pinky_thumb,7,14,2,113,22.75,50.72,0.03,0.8,112,2505,Incorrect
congruent_pinky_thumb,7,15,1,109,40.11,14.46,0.04,0.23,109,2018,Correct
congruent_pinky_thumb,7,16,1,109,57.97,48.22,0.06,0.76,99,792,Incorrect
congruent_pinky_thumb,7,17,2,112,81.61,67.76,0.09,1.06,112,1594,Correct
congruent_pinky_thumb,7,18,1,109,44.22,14.97,0.05,0.24,109,1713,Correct
congruent_pinky_thumb,7,19,2,113,52.7,64.07,0.06,1.01,112,1882,Incorrect
congruent_pinky_thumb,7,20,1,109,60.02,43.79,0.07,0.69,109,2094,Correct
congruent_pinky_thumb,7,21,2,113,24.4,41.89,0.03,0.66,113,773,Correct
congruent_pinky_thumb,7,22,1,99,35.7,64.05,0.04,1.01,99,766,Correct
congruent_pinky_thumb,7,23,1,109,50.42,26.64,0.06,0.42,99,3626,Incorrect
congruent_pinky_thumb,7,24,1,99,42.03,50.66,0.05,0.8,99,1603,Correct
congruent_pinky_thumb,7,25,1,109,80.48,55.51,0.09,0.87,109,887,Correct
congruent_pinky_thumb,7,26,1,109,64.25,48.8,0.07,0.77,109,855,Correct
congruent_pinky_thumb,7,27,2,112,81.51,55.81,0.09,0.88,112,2790,Correct
congruent_pinky_thumb,7,28,1,109,68.94,46.71,0.08,0.73,109,1463,Correct
congruent_pinky_thumb,7,29,1,99,43.67,70.3,0.05,1.1,99,1134,Correct
congruent_pinky_thumb,7,30,1,109,84.21,62.54,0.09,0.98,109,736,Correct
congruent_pinky_thumb,7,31,1,109,39.5,16.24,0.04,0.26,99,844,Incorrect
congruent_pinky_thumb,7,32,1,109,83.89,64.17,0.09,1.01,109,1318,Correct
congruent_pinky_thumb,7,33,2,113,38.46,60.2,0.04,0.95,113,1017,Correct
congruent_pinky_thumb,7,34,1,109,55.28,34.22,0.06,0.54,99,2020,Incorrect
congruent_pinky_thumb,7,35,1,99,39.95,69.87,0.04,1.1,99,787,Correct
congruent_pinky_thumb,7,36,2,113,36.68,54.21,0.04,0.85,113,723,Correct
congruent_pinky_thumb,7,37,2,112,63.24,40.63,0.07,0.64,112,508,Correct
congruent_pinky_thumb,7,38,1,109,83.86,66.18,0.09,1.04,109,817,Correct
congruent_pinky_thumb,7,39,2,113,67.81,86.25,0.08,1.35,113,1624,Correct
congruent_pinky_thumb,7,40,1,109,57.93,37.53,0.06,0.59,109,1085,Correct
congruent_pinky_thumb,7,41,2,112,46.99,26.78,0.05,0.42,112,7810,Correct
congruent_pinky_thumb,7,42,1,109,79.29,59.08,0.09,0.93,109,2942,Correct
congruent_pinky_thumb,7,43,2,112,60.11,52.08,0.07,0.82,112,1794,Correct
congruent_pinky_thumb,7,44,2,113,24.52,56.78,0.03,0.89,112,4061,Incorrect
congruent_pinky_thumb,7,45,1,109,48.88,19.56,0.05,0.31,109,2095,Correct
congruent_pinky_thumb,7,46,1,99,41.38,50.92,0.05,0.8,99,2402,Correct
congruent_pinky_thumb,7,47,2,112,61.57,53.41,0.07,0.84,112,1614,Correct
congruent_pinky_thumb,7,48,1,109,39.66,20.25,0.04,0.32,99,1252,Incorrect
congruent_pinky_thumb,7,49,1,109,75.9,57.89,0.08,0.91,109,1589,Correct
congruent_pinky_thumb,7,50,1,109,35.23,15.11,0.04,0.24,99,1880,Incorrect
congruent_pinky_thumb,7,51,1,99,51.57,72.35,0.06,1.14,109,866,Incorrect
congruent_pinky_thumb,7,52,1,109,65.98,40.16,0.07,0.63,109,700,Correct
congruent_pinky_thumb,7,53,1,109,71.6,40.63,0.08,0.64,109,1360,Correct
congruent_pinky_thumb,7,54,1,109,80.47,53.28,0.09,0.84,109,632,Correct
congruent_pinky_thumb,7,55,1,99,60.37,81.78,0.07,1.28,99,1279,Correct
congruent_pinky_thumb,7,56,1,109,35.67,18.09,0.04,0.28,99,2292,Incorrect
congruent_pinky_thumb,7,57,2,112,74.65,59.05,0.08,0.93,112,2222,Correct
congruent_pinky_thumb,7,58,1,109,70.32,45.38,0.08,0.71,109,761,Correct
congruent_pinky_thumb,7,59,1,109,57.76,36.85,0.06,0.58,109,2180,Correct
congruent_pinky_thumb,7,60,2,113,54.62,67.78,0.06,1.06,112,950,Incorrect
congruent_pinky_thumb,7,61,1,109,51.5,44.26,0.06,0.7,109,598,Correct
congruent_pinky_thumb,7,62,1,99,16.06,44.54,0.02,0.7,109,1801,Incorrect
congruent_pinky_thumb,7,63,1,109,76.85,50.33,0.09,0.79,109,720,Correct
congruent_pinky_thumb,7,64,2,113,46.1,58.56,0.05,0.92,112,1589,Incorrect
congruent_pinky_thumb,7,65,2,113,26.15,48.93,0.03,0.77,113,1717,Correct
congruent_pinky_thumb,7,66,1,99,37.82,60.01,0.04,0.94,99,2888,Correct
congruent_pinky_thumb,7,67,2,112,44.14,17.89,0.05,0.28,113,2496,Incorrect
congruent_pinky_thumb,7,68,1,109,43.34,34.97,0.05,0.55,109,1762,Correct
congruent_pinky_thumb,7,69,1,109,89.38,66.2,0.1,1.04,109,961,Correct
congruent_pinky_thumb,7,70,1,109,76.4,54.53,0.09,0.86,109,595,Correct
congruent_pinky_thumb,7,71,2,113,57.86,71.57,0.06,1.12,112,3006,Incorrect
congruent_pinky_thumb,7,72,1,99,26.18,54.55,0.03,0.86,99,815,Correct
congruent_pinky_thumb,7,73,1,99,53.02,78.07,0.06,1.23,109,3971,Incorrect
congruent_pinky_thumb,7,74,1,99,62.73,88.54,0.07,1.39,109,740,Incorrect
congruent_pinky_thumb,7,75,1,109,46.11,24.14,0.05,0.38,109,524,Correct
congruent_pinky_thumb,7,76,1,99,36.56,48.12,0.04,0.76,109,641,Incorrect
congruent_pinky_thumb,7,77,1,109,48.48,25.5,0.05,0.4,109,674,Correct
congruent_pinky_thumb,7,78,2,112,73.12,47.45,0.08,0.75,112,1443,Correct
congruent_pinky_thumb,7,79,2,113,35.77,68.72,0.04,1.08,113,478,Correct
congruent_pinky_thumb,7,80,1,109,70.5,53.59,0.08,0.84,109,1002,Correct
congruent_pinky_thumb,7,81,1,109,40.42,16.34,0.05,0.26,99,852,Incorrect
congruent_pinky_thumb,7,82,2,112,80.4,65.35,0.09,1.03,112,1235,Correct
congruent_pinky_thumb,7,83,1,109,54.67,23.76,0.06,0.37,109,775,Correct
congruent_pinky_thumb,7,84,2,112,69.83,52.98,0.08,0.83,112,1164,Correct
congruent_pinky_thumb,7,85,2,113,18.34,33.48,0.02,0.53,113,1488,Correct
congruent_pinky_thumb,7,86,2,112,59.85,42.96,0.07,0.67,112,1983,Correct
congruent_pinky_thumb,7,87,1,99,65.68,81.08,0.07,1.27,99,1883,Correct
congruent_pinky_thumb,7,88,1,109,47.86,30.93,0.05,0.49,109,1418,Correct
congruent_pinky_thumb,7,89,2,113,37.27,44.73,0.04,0.7,112,4221,Incorrect
congruent_pinky_thumb,7,90,1,109,51.12,23.0,0.06,0.36,109,1989,Correct
congruent_pinky_thumb,7,91,2,113,54.57,72.04,0.06,1.13,112,2159,Incorrect
