condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pointer_middle,10,0,2,100,52.95,43.83,0.06,0.69,100,148,Correct
incongruent_pointer_middle,10,1,1,106,65.75,48.8,0.07,0.77,106,435,Correct
incongruent_pointer_middle,10,2,1,106,62.16,46.46,0.07,0.73,102,450,Incorrect
incongruent_pointer_middle,10,3,1,106,60.15,28.09,0.07,0.44,106,823,Correct
incongruent_pointer_middle,10,4,1,106,60.39,30.32,0.07,0.48,102,373,Incorrect
incongruent_pointer_middle,10,5,1,106,47.28,22.83,0.05,0.36,106,1903,Correct
incongruent_pointer_middle,10,6,1,102,56.01,81.1,0.06,1.27,102,251,Correct
incongruent_pointer_middle,10,7,1,102,53.9,70.87,0.06,1.11,106,277,Incorrect
