condition,subject,trial,su,rotation,rt,mt,ep
interleaved,2,123,26.78,0.26,324,74,-1.63
interleaved,2,124,26.78,0.26,325,75,-1.59
interleaved,2,125,26.78,0.26,575,108,-1.62
interleaved,2,126,26.78,0.26,317,67,-1.57
interleaved,2,127,26.78,0.26,400,75,-1.61
interleaved,2,128,26.78,0.26,317,75,-1.68
interleaved,2,129,0.0,0.26,342,58,-1.6
interleaved,2,130,0.0,0.0,334,66,-1.38
interleaved,2,131,0.0,0.0,300,59,-1.33
interleaved,2,132,26.78,0.0,351,73,-1.4
interleaved,2,133,26.78,0.0,341,67,-1.39
interleaved,2,134,26.78,0.0,350,83,-1.49
interleaved,2,135,0.0,0.0,391,76,-1.4
interleaved,2,136,0.0,0.0,383,83,-1.5
interleaved,2,137,0.0,0.0,425,100,-1.39
interleaved,2,138,26.78,0.0,359,67,-1.36
interleaved,2,139,0.0,0.0,333,58,-1.39
interleaved,2,140,26.78,0.0,300,75,-1.43
interleaved,2,141,26.78,0.0,365,75,-1.47
interleaved,2,142,26.78,0.0,391,59,-1.32
interleaved,2,143,26.78,0.0,359,59,-1.43
interleaved,2,144,26.78,0.0,341,67,-1.48
interleaved,2,145,0.0,0.0,592,66,-1.44
interleaved,2,146,0.0,0.0,316,67,-1.45
interleaved,2,147,0.0,0.0,434,67,-1.45
interleaved,2,148,26.78,0.0,433,100,-1.53
interleaved,2,149,26.78,0.0,349,75,-1.45
interleaved,2,150,26.78,0.0,342,75,-1.43
interleaved,2,151,0.0,0.0,342,66,-1.55
interleaved,2,152,0.0,0.0,367,92,-1.52
interleaved,2,153,26.78,0.0,458,67,-1.49
interleaved,2,154,26.78,0.0,356,76,-1.42
interleaved,2,155,0.0,0.0,326,75,-1.46
interleaved,2,156,0.0,0.0,384,57,-1.33
interleaved,2,157,26.78,0.0,351,75,-1.45
interleaved,2,158,26.78,0.0,408,100,-1.52
interleaved,2,159,26.78,0.0,325,66,-1.48
interleaved,2,160,26.78,0.0,300,67,-1.4
interleaved,2,161,0.0,0.0,400,66,-1.46
interleaved,2,162,0.0,0.0,309,58,-1.46
interleaved,2,163,0.0,0.0,329,72,-1.47
interleaved,2,164,26.78,0.0,342,74,-1.37
interleaved,2,165,0.0,0.0,283,76,-1.43
interleaved,2,166,0.0,0.0,317,58,-1.43
interleaved,2,167,26.78,0.0,366,84,-1.41
interleaved,2,168,26.78,0.0,326,74,-1.34
interleaved,2,169,26.78,0.0,315,67,-1.41
interleaved,2,170,26.78,0.0,316,67,-1.39
interleaved,2,171,0.0,0.0,333,67,-1.42
interleaved,2,172,26.78,0.0,292,75,-1.43
interleaved,2,173,0.0,0.0,316,67,-1.43
interleaved,2,174,0.0,0.0,301,71,-1.47
interleaved,2,175,0.0,0.0,383,67,-1.54
interleaved,2,176,26.78,0.0,349,93,-1.45
interleaved,2,177,26.78,0.0,317,66,-1.54
interleaved,2,178,0.0,0.0,351,74,-1.45
interleaved,2,179,26.78,0.0,292,77,-1.51
interleaved,2,180,26.78,0.0,391,67,-1.45
interleaved,2,181,0.0,0.0,325,67,-1.51
interleaved,2,182,0.0,0.0,291,67,-1.49
interleaved,2,183,0.0,0.0,317,84,-1.54
interleaved,2,184,0.0,0.0,309,66,-1.49
interleaved,2,185,0.0,0.0,308,68,-1.57
interleaved,2,186,26.78,0.0,300,75,-1.57
interleaved,2,187,0.0,0.0,309,66,-1.48
interleaved,2,188,26.78,0.0,424,100,-1.66
interleaved,2,189,0.0,0.0,192,75,-1.47
interleaved,2,190,26.78,0.0,342,66,-1.55
interleaved,2,191,0.0,0.0,300,67,-1.53
interleaved,2,192,26.78,0.0,342,74,-1.53
interleaved,2,193,26.78,0.0,354,75,-1.51
interleaved,2,194,0.0,0.0,333,66,-1.47
