condition,subject,trial,su,rotation,rt,mt,ep
interleaved,2000,1,26.78,0.0,431,75,-1.65
interleaved,2000,2,26.78,0.0,242,125,-1.69
interleaved,2000,3,26.78,0.0,291,117,-1.51
interleaved,2000,4,26.78,0.0,225,100,-1.55
interleaved,2000,5,0.0,0.0,242,91,-1.58
interleaved,2000,6,0.0,0.0,267,100,-1.62
interleaved,2000,7,26.78,0.0,184,125,-1.68
interleaved,2000,8,0.0,0.0,284,92,-1.59
interleaved,2000,9,0.0,0.0,256,93,-1.54
interleaved,2000,10,26.78,0.0,276,99,-1.57
interleaved,2000,11,26.78,0.0,333,109,-1.62
interleaved,2000,12,0.0,0.0,266,92,-1.69
interleaved,2000,13,0.0,0.0,275,110,-1.46
interleaved,2000,14,0.0,0.0,509,123,-1.48
interleaved,2000,15,0.0,0.0,375,108,-1.63
interleaved,2000,16,26.78,0.0,333,125,-1.57
interleaved,2000,17,0.0,0.0,308,100,-1.64
interleaved,2000,18,0.0,0.0,250,92,-1.6
interleaved,2000,19,26.78,0.0,284,108,-1.56
