condition,subject,trial,su,rotation,rt,mt,ep
blocked,5,1,0.0,0.0,583,251,-1.59
blocked,5,2,26.78,0.0,570,113,-1.53
blocked,5,3,26.78,0.0,433,175,-1.53
blocked,5,4,26.78,0.0,615,134,-1.54
blocked,5,5,0.0,0.0,609,91,-1.56
blocked,5,6,0.0,0.0,624,99,-1.55
blocked,5,7,0.0,0.0,675,83,-1.46
blocked,5,8,26.78,0.0,591,100,-1.56
blocked,5,9,0.0,0.0,733,75,-1.53
blocked,5,10,0.0,0.0,615,100,-1.53
blocked,5,11,0.0,0.0,589,117,-1.64
blocked,5,12,0.0,0.0,666,84,-1.51
blocked,5,13,0.0,0.0,491,169,-1.59
blocked,5,14,26.78,0.0,459,99,-1.53
blocked,5,15,26.78,0.0,494,106,-1.56
blocked,5,16,0.0,0.0,492,83,-1.46
blocked,5,17,26.78,0.0,441,117,-1.52
blocked,5,18,0.0,0.0,519,140,-1.61
blocked,5,19,0.0,0.0,449,125,-1.58
blocked,5,20,26.78,0.0,466,117,-1.59
blocked,5,21,0.0,0.0,525,125,-1.58
blocked,5,22,26.78,0.0,423,143,-1.53
blocked,5,23,26.78,0.0,492,133,-1.59
blocked,5,24,0.0,0.0,417,116,-1.55
blocked,5,25,26.78,0.0,567,124,-1.58
blocked,5,26,26.78,0.0,500,100,-1.51
blocked,5,27,26.78,0.0,617,100,-1.54
blocked,5,28,26.78,0.0,441,207,-1.57
blocked,5,29,26.78,0.0,493,165,-1.55
blocked,5,30,0.0,0.26,592,133,-1.81
blocked,5,31,0.0,0.26,584,117,-1.72
blocked,5,32,0.0,0.26,614,96,-1.76
blocked,5,33,0.0,0.26,651,108,-1.66
blocked,5,34,0.0,0.26,592,91,-1.59
blocked,5,35,0.0,0.26,658,109,-1.68
blocked,5,36,0.0,0.26,569,82,-1.54
blocked,5,37,0.0,0.26,653,97,-1.62
blocked,5,38,0.0,0.26,682,101,-1.63
blocked,5,39,0.0,0.26,710,82,-1.61
blocked,5,40,0.0,0.26,658,91,-1.69
blocked,5,41,0.0,0.26,690,108,-1.57
blocked,5,42,0.0,0.26,574,110,-1.48
blocked,5,43,0.0,0.26,591,92,-1.53
blocked,5,44,0.0,0.26,650,116,-1.58
blocked,5,45,0.0,0.26,677,111,-1.76
blocked,5,46,0.0,0.26,425,133,-1.52
blocked,5,47,0.0,0.26,509,91,-1.58
blocked,5,48,0.0,0.26,559,100,-1.54
blocked,5,49,0.0,0.26,634,100,-1.6
blocked,5,50,0.0,0.26,713,92,-1.57
blocked,5,51,0.0,0.26,566,117,-1.52
blocked,5,52,0.0,0.26,716,92,-1.63
blocked,5,53,0.0,0.26,609,116,-1.68
blocked,5,54,0.0,0.26,676,115,-1.53
blocked,5,55,0.0,0.26,560,132,-1.65
blocked,5,56,0.0,0.26,666,92,-1.56
blocked,5,57,0.0,0.26,509,91,-1.58
blocked,5,58,0.0,0.26,584,108,-1.67
blocked,5,59,0.0,0.26,667,108,-1.57
blocked,5,60,0.0,0.26,817,100,-1.63
blocked,5,61,0.0,0.26,599,84,-1.64
blocked,5,62,0.0,0.26,592,103,-1.48
blocked,5,63,0.0,0.26,493,99,-1.6
blocked,5,64,0.0,0.26,515,117,-1.56
blocked,5,65,0.0,0.26,566,117,-1.55
blocked,5,66,0.0,0.26,550,134,-1.43
blocked,5,67,0.0,0.26,470,155,-1.78
blocked,5,68,0.0,0.26,635,116,-1.41
blocked,5,69,0.0,0.26,533,150,-1.78
blocked,5,70,0.0,0.26,483,100,-1.57
blocked,5,71,0.0,0.26,442,92,-1.51
blocked,5,72,0.0,0.26,505,93,-1.59
blocked,5,73,0.0,0.26,575,100,-1.57
blocked,5,74,0.0,0.26,600,117,-1.69
blocked,5,75,0.0,0.26,631,107,-1.61
blocked,5,76,0.0,0.26,493,119,-1.64
blocked,5,77,0.0,0.26,500,93,-1.55
blocked,5,78,0.0,0.26,675,92,-1.62
blocked,5,79,0.0,0.26,508,92,-1.61
blocked,5,80,0.0,0.26,576,117,-1.61
blocked,5,81,0.0,0.26,541,109,-1.67
blocked,5,82,0.0,0.26,587,88,-1.52
blocked,5,83,0.0,0.26,458,100,-1.6
blocked,5,84,0.0,0.26,509,152,-1.63
blocked,5,85,0.0,0.26,733,92,-1.55
blocked,5,86,0.0,0.26,492,125,-1.58
blocked,5,87,0.0,0.26,549,108,-1.58
blocked,5,88,0.0,0.26,664,116,-1.6
blocked,5,89,0.0,0.26,725,109,-1.68
blocked,5,90,0.0,0.26,567,100,-1.47
blocked,5,91,0.0,0.26,583,109,-1.51
blocked,5,92,0.0,0.26,417,100,-1.55
blocked,5,93,0.0,0.26,567,108,-1.57
blocked,5,94,0.0,0.26,645,100,-1.64
blocked,5,95,0.0,0.26,575,108,-1.63
blocked,5,96,0.0,0.26,791,92,-1.59
blocked,5,97,0.0,0.26,757,109,-1.7
blocked,5,98,0.0,0.26,525,91,-1.49
blocked,5,99,0.0,0.26,609,75,-1.53
blocked,5,100,0.0,0.26,550,93,-1.6
blocked,5,101,0.0,0.26,584,108,-1.63
blocked,5,102,0.0,0.26,470,104,-1.64
blocked,5,103,0.0,0.26,592,123,-1.57
blocked,5,104,0.0,0.26,541,92,-1.57
blocked,5,105,0.0,0.26,501,101,-1.56
blocked,5,106,0.0,0.26,533,100,-1.59
blocked,5,107,0.0,0.26,467,141,-1.58
blocked,5,108,0.0,0.26,401,116,-1.68
blocked,5,109,0.0,0.26,492,133,-1.55
blocked,5,110,0.0,0.26,400,117,-1.46
blocked,5,111,0.0,0.26,475,167,-1.69
blocked,5,112,0.0,0.26,501,125,-1.52
blocked,5,113,0.0,0.26,800,117,-1.45
blocked,5,114,0.0,0.26,550,117,-1.58
blocked,5,115,0.0,0.26,526,141,-1.58
blocked,5,116,0.0,0.26,400,142,-1.72
blocked,5,117,0.0,0.26,568,98,-1.44
blocked,5,118,0.0,0.26,391,88,-1.53
blocked,5,119,0.0,0.26,468,141,-1.61
blocked,5,120,0.0,0.26,733,92,-1.6
blocked,5,121,0.0,0.26,437,114,-1.66
blocked,5,122,0.0,0.26,608,100,-1.49
blocked,5,123,0.0,0.26,741,100,-1.65
blocked,5,124,0.0,0.26,499,134,-1.57
blocked,5,125,0.0,0.26,567,116,-1.54
blocked,5,126,0.0,0.26,942,133,-1.51
