,condition,subject,block,level_3,p,nll,bic,model
0,new_learn,2,2,0,51.75374372271442,101.93693483769337,213.08421004736292,nll_unix_0
1,new_learn,2,2,1,38.754103807813124,101.93693483769337,213.08421004736292,nll_unix_0
2,new_learn,2,2,0,54.30309446957898,56.47792259189339,122.16618555576297,nll_unix_1
3,new_learn,2,2,1,30.190396501967598,56.47792259189339,122.16618555576297,nll_unix_1
4,new_learn,2,2,0,51.77845555330113,68.54292982926741,146.296200030511,nll_uniy_0
5,new_learn,2,2,1,38.737636378076544,68.54292982926741,146.296200030511,nll_uniy_0
6,new_learn,2,2,0,54.48664941285578,96.57903305786365,202.36840648770348,nll_uniy_1
7,new_learn,2,2,1,38.75582917019625,96.57903305786365,202.36840648770348,nll_uniy_1
8,new_learn,2,2,0,-0.8712474396148316,45.525364566400825,104.86623969076592,nll_glc_0
9,new_learn,2,2,1,21.211533773355036,45.525364566400825,104.86623969076592,nll_glc_0
10,new_learn,2,2,2,18.26553650080532,45.525364566400825,104.86623969076592,nll_glc_0
11,new_learn,2,2,0,0.9999999587998267,56.4936624923144,126.80283554259307,nll_glc_1
12,new_learn,2,2,1,-53.88266517684731,56.4936624923144,126.80283554259307,nll_glc_1
13,new_learn,2,2,2,29.74694582903344,56.4936624923144,126.80283554259307,nll_glc_1
14,new_learn,2,6,0,30.25443935080515,38.40813109390004,86.02660255977626,nll_unix_0
15,new_learn,2,6,1,16.97150403990806,38.40813109390004,86.02660255977626,nll_unix_0
16,new_learn,2,6,0,70.28549388744287,103.55023749556806,216.31081536311228,nll_unix_1
17,new_learn,2,6,1,35.4764956900707,103.55023749556806,216.31081536311228,nll_unix_1
18,new_learn,2,6,0,22.936927045266064,77.82845640756452,164.8672531871052,nll_uniy_0
19,new_learn,2,6,1,35.47546074804251,77.82845640756452,164.8672531871052,nll_uniy_0
20,new_learn,2,6,0,69.64607104242737,59.76153282281085,128.73340601759787,nll_uniy_1
21,new_learn,2,6,1,35.47467383807097,59.76153282281085,128.73340601759787,nll_uniy_1
22,new_learn,2,6,0,0.9999982294761711,38.42310688319259,90.66172432434945,nll_glc_0
23,new_learn,2,6,1,-30.425618163816488,38.42310688319259,90.66172432434945,nll_glc_0
24,new_learn,2,6,2,16.986564799463384,38.42310688319259,90.66172432434945,nll_glc_0
25,new_learn,2,6,0,-0.9930337099953639,37.91150182337141,89.63851420470709,nll_glc_1
26,new_learn,2,6,1,24.52698561799131,37.91150182337141,89.63851420470709,nll_glc_1
27,new_learn,2,6,2,17.082592203310355,37.91150182337141,89.63851420470709,nll_glc_1
28,new_learn,4,2,0,73.63226790024278,88.46808281112229,186.14650599422075,nll_unix_0
29,new_learn,4,2,1,36.65557878449589,88.46808281112229,186.14650599422075,nll_unix_0
30,new_learn,4,2,0,25.43692394510121,50.130968217013475,109.47227680600314,nll_unix_1
31,new_learn,4,2,1,36.59699896179377,50.130968217013475,109.47227680600314,nll_unix_1
32,new_learn,4,2,0,75.19579508695114,52.88314096909433,114.97662231016484,nll_uniy_0
33,new_learn,4,2,1,36.65383871796253,52.88314096909433,114.97662231016484,nll_uniy_0
34,new_learn,4,2,0,28.07642419369141,88.22927116396504,185.66888269990625,nll_uniy_1
35,new_learn,4,2,1,36.655166876432006,88.22927116396504,185.66888269990625,nll_uniy_1
36,new_learn,4,2,0,-0.7774412215823134,37.84540260509971,89.50631576816369,nll_glc_0
37,new_learn,4,2,1,-9.39135431753835,37.84540260509971,89.50631576816369,nll_glc_0
38,new_learn,4,2,2,19.749092591254406,37.84540260509971,89.50631576816369,nll_glc_0
39,new_learn,4,2,0,0.9999997730349708,50.14677080236807,114.10905216270041,nll_glc_1
40,new_learn,4,2,1,-25.02687394728235,50.14677080236807,114.10905216270041,nll_glc_1
41,new_learn,4,2,2,36.62834441518656,50.14677080236807,114.10905216270041,nll_glc_1
42,new_learn,4,6,0,46.81197527426089,90.6001998547885,190.41074008155317,nll_unix_0
43,new_learn,4,6,1,39.1623075791061,90.6001998547885,190.41074008155317,nll_unix_0
44,new_learn,4,6,0,46.71268587719095,74.29587474303241,157.802089858041,nll_unix_1
45,new_learn,4,6,1,39.157131002954316,74.29587474303241,157.802089858041,nll_unix_1
46,new_learn,4,6,0,48.05490067301604,80.51454220073218,170.23942477344053,nll_uniy_0
47,new_learn,4,6,1,39.165115583714204,80.51454220073218,170.23942477344053,nll_uniy_0
48,new_learn,4,6,0,47.27803525064306,79.11318027221859,167.43670091641334,nll_uniy_1
49,new_learn,4,6,1,39.16617479178859,79.11318027221859,167.43670091641334,nll_uniy_1
50,new_learn,4,6,0,-0.9999996157253553,74.30292837107908,162.42136730012243,nll_glc_0
51,new_learn,4,6,1,46.42576939598087,74.30292837107908,162.42136730012243,nll_glc_0
52,new_learn,4,6,2,39.16051985062163,74.30292837107908,162.42136730012243,nll_glc_0
53,new_learn,4,6,0,0.7809662320868256,70.3554953936365,154.52650134523728,nll_glc_1
54,new_learn,4,6,1,-66.60138244039959,70.3554953936365,154.52650134523728,nll_glc_1
55,new_learn,4,6,2,39.151945255433716,70.3554953936365,154.52650134523728,nll_glc_1
56,new_learn,6,2,0,59.707321114152045,104.22683592528168,217.66401222253953,nll_unix_0
57,new_learn,6,2,1,37.78420558956434,104.22683592528168,217.66401222253953,nll_unix_0
58,new_learn,6,2,0,49.36360139465197,50.934133320782635,111.07860701354146,nll_unix_1
59,new_learn,6,2,1,26.716175335425667,50.934133320782635,111.07860701354146,nll_unix_1
60,new_learn,6,2,0,58.32549345714291,48.37482907586788,105.95999852371195,nll_uniy_0
61,new_learn,6,2,1,25.166504126383927,48.37482907586788,105.95999852371195,nll_uniy_0
62,new_learn,6,2,0,48.48834848574898,107.39184591164815,223.99403219527247,nll_uniy_1
63,new_learn,6,2,1,37.78430969266998,107.39184591164815,223.99403219527247,nll_uniy_1
64,new_learn,6,2,0,-0.7097069537622729,11.65969251877377,37.134895595511814,nll_glc_0
65,new_learn,6,2,1,-3.3087088536861344,11.65969251877377,37.134895595511814,nll_glc_0
66,new_learn,6,2,2,8.16720591048248,11.65969251877377,37.134895595511814,nll_glc_0
67,new_learn,6,2,0,0.9999999839069058,50.94330808105558,115.70212672007543,nll_glc_1
68,new_learn,6,2,1,-49.40635914619161,50.94330808105558,115.70212672007543,nll_glc_1
69,new_learn,6,2,2,26.954748653696612,50.94330808105558,115.70212672007543,nll_glc_1
70,new_learn,6,6,0,46.78961877592526,64.01157250792383,137.23348538782383,nll_unix_0
71,new_learn,6,6,1,39.10991400181502,64.01157250792383,137.23348538782383,nll_unix_0
72,new_learn,6,6,0,60.23335270253103,83.09844441403874,175.40722920005365,nll_unix_1
73,new_learn,6,6,1,39.10986433296081,83.09844441403874,175.40722920005365,nll_unix_1
74,new_learn,6,6,0,44.123205853798375,46.68688414034042,102.58410865265702,nll_uniy_0
75,new_learn,6,6,1,23.552305815326186,46.68688414034042,102.58410865265702,nll_uniy_0
76,new_learn,6,6,0,54.03898379816421,95.51431954252067,200.2389794570175,nll_uniy_1
77,new_learn,6,6,1,39.10629886075951,95.51431954252067,200.2389794570175,nll_uniy_1
78,new_learn,6,6,0,0.43809699980995775,39.61853210119174,93.05257476034775,nll_glc_0
79,new_learn,6,6,1,-63.99469073260563,39.61853210119174,93.05257476034775,nll_glc_0
80,new_learn,6,6,2,17.467613784921273,39.61853210119174,93.05257476034775,nll_glc_0
81,new_learn,6,6,0,-0.9999999831263701,64.020706718645,141.85692399525428,nll_glc_1
82,new_learn,6,6,1,46.56166442621577,64.020706718645,141.85692399525428,nll_glc_1
83,new_learn,6,6,2,39.09475790943657,64.020706718645,141.85692399525428,nll_glc_1
84,new_learn,8,2,0,56.10869598005228,101.36002856855325,211.93039750908267,nll_unix_0
85,new_learn,8,2,1,37.413723771530755,101.36002856855325,211.93039750908267,nll_unix_0
86,new_learn,8,2,0,46.54135931442177,62.303657913915266,133.81765619980672,nll_unix_1
87,new_learn,8,2,1,37.397144889010534,62.303657913915266,133.81765619980672,nll_unix_1
88,new_learn,8,2,0,57.84978443128619,59.58769218397194,128.38572473992005,nll_uniy_0
89,new_learn,8,2,1,37.40057899792787,59.58769218397194,128.38572473992005,nll_uniy_0
90,new_learn,8,2,0,47.26014412332299,105.76848534034676,220.7473110526697,nll_uniy_1
91,new_learn,8,2,1,37.41164782958775,105.76848534034676,220.7473110526697,nll_uniy_1
92,new_learn,8,2,0,-0.6842031317293517,42.29183126578357,98.39917308953142,nll_glc_0
93,new_learn,8,2,1,-6.428260737026167,42.29183126578357,98.39917308953142,nll_glc_0
94,new_learn,8,2,2,18.435256519003165,42.29183126578357,98.39917308953142,nll_glc_0
95,new_learn,8,2,0,0.9999999013254985,62.31539113966136,138.446292837287,nll_glc_1
96,new_learn,8,2,1,-46.5551422241573,62.31539113966136,138.446292837287,nll_glc_1
97,new_learn,8,2,2,37.41313458484237,62.31539113966136,138.446292837287,nll_glc_1
98,new_learn,8,6,0,56.6396883666938,85.50251631547258,180.21537300292132,nll_unix_0
99,new_learn,8,6,1,36.53766589036558,85.50251631547258,180.21537300292132,nll_unix_0
100,new_learn,8,6,0,41.94563269987287,78.88690543500434,166.98415124198485,nll_unix_1
101,new_learn,8,6,1,36.532493064946976,78.88690543500434,166.98415124198485,nll_unix_1
102,new_learn,8,6,0,55.93842143636935,61.402089922071305,132.0145202161188,nll_uniy_0
103,new_learn,8,6,1,36.49192450364929,61.402089922071305,132.0145202161188,nll_uniy_0
104,new_learn,8,6,0,41.68620382498236,99.66683197280062,208.54400431757742,nll_uniy_1
