date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-03-27,mis_rep,1000,69,0.0,1.0,0.0,2004,427,-1.57
2025-03-27,mis_rep,1000,70,-60.0,1.0,0.0,2005,504,-2.44
2025-03-27,mis_rep,1000,71,-150.0,1.0,0.0,2005,455,1.91
2025-03-27,mis_rep,1000,72,-60.0,1.0,0.0,2008,562,-2.27
2025-03-27,mis_rep,1000,73,-150.0,1.0,0.0,2010,569,1.91
2025-03-27,mis_rep,1000,74,120.0,1.0,0.0,2004,506,0.78
2025-03-27,mis_rep,1000,75,30.0,1.0,0.0,2003,1230,-1.21
2025-03-27,mis_rep,1000,76,60.0,1.0,0.0,2006,489,-0.94
2025-03-27,mis_rep,1000,77,60.0,1.0,0.0,2001,411,-1.03
2025-03-27,mis_rep,1000,78,0.0,1.0,0.0,2007,434,-1.57
2025-03-27,mis_rep,1000,79,90.0,1.0,0.0,2001,490,-0.4
2025-03-27,mis_rep,1000,80,60.0,1.0,0.0,2006,538,-0.93
2025-03-27,mis_rep,1000,81,-90.0,1.0,0.0,2012,460,2.42
2025-03-27,mis_rep,1000,82,-90.0,1.0,0.0,2001,479,2.9
2025-03-27,mis_rep,1000,83,60.0,1.0,0.0,2010,600,-0.88
2025-03-27,mis_rep,1000,84,60.0,1.0,0.0,2003,639,-0.87
2025-03-27,mis_rep,1000,85,30.0,1.0,0.0,2002,361,-1.26
2025-03-27,mis_rep,1000,86,0.0,1.0,0.0,2003,419,-1.53
2025-03-27,mis_rep,1000,87,-150.0,1.0,0.0,2001,415,1.93
2025-03-27,mis_rep,1000,88,-120.0,1.0,0.0,2007,426,2.13
2025-03-27,mis_rep,1000,89,-30.0,1.0,0.0,2002,463,-1.9
2025-03-27,mis_rep,1000,90,-30.0,1.0,0.0,2004,465,-1.9
2025-03-27,mis_rep,1000,91,-120.0,1.0,0.0,2012,465,2.14
2025-03-27,mis_rep,1000,92,60.0,1.0,0.0,2002,365,-0.84
2025-03-27,mis_rep,1000,93,150.0,1.0,0.0,2005,462,1.34
2025-03-27,mis_rep,1000,94,120.0,1.0,0.0,2002,449,0.95
2025-03-27,mis_rep,1000,95,-30.0,1.0,0.0,2008,488,-1.89
2025-03-27,mis_rep,1000,96,-150.0,1.0,0.0,2001,466,1.96
2025-03-27,mis_rep,1000,97,-30.0,1.0,0.0,2001,549,-1.89
2025-03-27,mis_rep,1000,98,-120.0,1.0,0.0,2007,498,2.12
2025-03-27,mis_rep,1000,99,-150.0,1.0,0.0,2011,426,1.96
2025-03-27,mis_rep,1000,100,150.0,1.0,0.0,2005,645,1.35
2025-03-27,mis_rep,1000,101,150.0,1.0,0.0,2001,430,1.37
2025-03-27,mis_rep,1000,102,120.0,1.0,0.0,2001,424,1.04
2025-03-27,mis_rep,1000,103,120.0,1.0,0.0,2009,404,0.79
2025-03-27,mis_rep,1000,104,-120.0,1.0,0.0,2005,389,1.99
2025-03-27,mis_rep,1000,105,60.0,1.0,0.0,2011,414,-1.08
2025-03-27,mis_rep,1000,106,-150.0,1.0,0.0,2008,490,1.84
2025-03-27,mis_rep,1000,107,-120.0,1.0,0.0,2004,685,2.86
2025-03-27,mis_rep,1000,108,-120.0,1.0,0.0,2005,520,2.06
2025-03-27,mis_rep,1000,109,30.0,1.0,0.0,2011,465,-1.29
2025-03-27,mis_rep,1000,110,0.0,1.0,0.0,2006,504,-1.62
2025-03-27,mis_rep,1000,111,-30.0,1.0,0.0,2005,449,-1.82
2025-03-27,mis_rep,1000,112,-120.0,1.0,0.0,2010,611,2.18
2025-03-27,mis_rep,1000,113,90.0,1.0,0.0,2005,460,-0.2
2025-03-27,mis_rep,1000,114,-150.0,1.0,0.0,2004,455,1.91
2025-03-27,mis_rep,1000,115,-150.0,1.0,0.0,2010,410,1.97
2025-03-27,mis_rep,1000,116,30.0,1.0,0.0,2004,446,-1.3
2025-03-27,mis_rep,1000,117,-30.0,1.0,0.0,2008,519,-1.94
2025-03-27,mis_rep,1000,118,0.0,1.0,0.0,2009,485,-1.54
2025-03-27,mis_rep,1000,119,120.0,1.0,0.0,2005,766,0.91
2025-03-27,mis_rep,1000,120,-30.0,1.0,0.0,2007,446,-1.78
2025-03-27,mis_rep,1000,121,60.0,1.0,0.0,2010,543,-0.89
2025-03-27,mis_rep,1000,122,-90.0,1.0,0.0,2005,721,2.75
2025-03-27,mis_rep,1000,123,-90.0,1.0,0.0,2001,523,2.95
2025-03-27,mis_rep,1000,124,150.0,1.0,0.0,2003,628,1.23
2025-03-27,mis_rep,1000,125,120.0,1.0,0.0,2006,570,0.82
2025-03-27,mis_rep,1000,126,-60.0,1.0,0.0,2006,468,-2.17
2025-03-27,mis_rep,1000,127,30.0,1.0,0.0,2002,520,-1.22
2025-03-27,mis_rep,1000,128,150.0,1.0,0.0,2006,459,1.38
2025-03-27,mis_rep,1000,129,-30.0,1.0,0.0,2002,470,-1.92
2025-03-27,mis_rep,1000,130,-150.0,1.0,0.0,2007,397,1.91
2025-03-27,mis_rep,1000,131,-150.0,1.0,0.0,2007,350,1.92
2025-03-27,mis_rep,1000,132,150.0,1.0,0.0,2002,488,1.39
2025-03-27,mis_rep,1000,133,-30.0,1.0,0.0,2010,405,-1.9
2025-03-27,mis_rep,1000,134,-120.0,1.0,0.0,2009,393,2.25
2025-03-27,mis_rep,1000,135,90.0,1.0,0.0,2009,502,-0.08
2025-03-27,mis_rep,1000,136,150.0,1.0,0.0,2010,479,1.21
2025-03-27,mis_rep,1000,137,0.0,1.0,0.0,2001,427,-1.64
2025-03-27,mis_rep,1000,138,120.0,1.0,0.0,2009,445,0.68
2025-03-27,mis_rep,1000,139,90.0,1.0,0.0,2009,435,-0.51
2025-03-27,mis_rep,1000,140,-60.0,1.0,0.0,2002,668,-2.41
2025-03-27,mis_rep,1000,141,60.0,1.0,0.0,2009,413,-0.86
2025-03-27,mis_rep,1000,142,-120.0,1.0,0.0,2001,445,2.1
2025-03-27,mis_rep,1000,143,0.0,1.0,0.0,2008,553,-1.59
2025-03-27,mis_rep,1000,144,120.0,1.0,0.0,2004,479,0.83
2025-03-27,mis_rep,1000,145,0.0,1.0,0.0,2005,460,-1.57
2025-03-27,mis_rep,1000,146,30.0,1.0,0.0,2001,507,-1.29
2025-03-27,mis_rep,1000,147,-90.0,1.0,0.0,2007,444,2.69
2025-03-27,mis_rep,1000,148,30.0,1.0,0.0,2010,398,-1.25
2025-03-27,mis_rep,1000,149,90.0,1.0,0.0,2010,510,-0.53
2025-03-27,mis_rep,1000,150,90.0,1.0,0.0,2007,562,-0.4
2025-03-27,mis_rep,1000,151,-30.0,1.0,0.0,2009,586,-1.88
2025-03-27,mis_rep,1000,152,-120.0,1.0,0.0,2003,502,2.06
2025-03-27,mis_rep,1000,153,90.0,1.0,0.0,2005,495,-0.07
2025-03-27,mis_rep,1000,154,0.0,1.0,0.0,2007,409,-1.56
2025-03-27,mis_rep,1000,155,90.0,1.0,0.0,2002,424,-0.37
2025-03-27,mis_rep,1000,156,-150.0,1.0,0.0,2008,616,1.88
2025-03-27,mis_rep,1000,157,-90.0,1.0,0.0,2001,700,-3.12
2025-03-27,mis_rep,1000,158,90.0,1.0,0.0,2003,445,-0.38
2025-03-27,mis_rep,1000,159,120.0,1.0,0.0,2007,593,0.51
2025-03-27,mis_rep,1000,160,-60.0,1.0,0.0,2008,465,-2.45
2025-03-27,mis_rep,1000,161,-60.0,1.0,0.0,2009,516,-2.27
2025-03-27,mis_rep,1000,162,-90.0,1.0,0.0,2010,840,2.7
2025-03-27,mis_rep,1000,163,-90.0,1.0,0.0,2010,569,2.79
2025-03-27,mis_rep,1000,164,60.0,1.0,0.0,2010,695,-0.65
2025-03-27,mis_rep,1000,165,150.0,1.0,0.0,2010,610,1.19
2025-03-27,mis_rep,1000,166,150.0,1.0,0.0,2003,577,1.19
2025-03-27,mis_rep,1000,167,-90.0,1.0,0.0,2003,622,3.14
2025-03-27,mis_rep,1000,168,-120.0,1.0,0.0,2006,520,2.15
2025-03-27,mis_rep,1000,169,-150.0,1.0,0.0,2002,486,1.86
2025-03-27,mis_rep,1000,170,0.0,1.0,0.0,2008,515,-1.59
2025-03-27,mis_rep,1000,171,-90.0,1.0,0.0,2003,578,3.01
2025-03-27,mis_rep,1000,172,150.0,1.0,0.0,2004,566,1.34
