condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'RB', 'resp': 'button'}",1,36,B,59.77905115765849,81.55342350608326,2.9889525578829246,1.2810381808090416,B,Correct,0.0,0.0,-45,45,680,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,37,A,40.000126612277036,45.64958714179432,2.000006330613852,0.7170620380203405,A,Correct,0.0,0.0,-45,45,664,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,38,B,60.8301739771668,58.496523882698625,3.0415086988583404,0.9188612484521295,B,Correct,0.0,0.0,-45,45,2542,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,39,A,42.765470469035904,27.49203738407769,2.138273523451795,0.43184391339017214,A,Correct,0.0,0.0,-45,45,5157,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,40,B,55.889380521986574,38.498883425614984,2.794469026099329,0.6047390467066094,A,Incorrect,0.0,0.0,-45,45,680,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,41,A,47.267012507631314,50.753908570000306,2.3633506253815657,0.797240531522405,A,Correct,0.0,0.0,-45,45,850,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,42,B,53.53786299734969,31.102021118040387,2.6768931498674844,0.4885494052811514,B,Correct,0.0,0.0,-45,45,644,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,43,A,45.6067192360863,58.05236682019288,2.280335961804315,0.911884445629089,A,Correct,0.0,0.0,-45,45,814,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,44,B,56.409610385981864,73.78860307088516,2.8204805192990934,1.1590686666307304,B,Correct,0.0,0.0,-45,45,568,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,45,A,47.08726241741711,77.2483852750828,2.3543631208708553,1.2134147984093704,A,Correct,0.0,0.0,-45,45,889,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,46,A,42.78685988896649,54.66487372679705,2.1393429944483247,0.8586738285475966,B,Incorrect,0.0,0.0,-45,45,444,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,47,B,53.42086146438232,51.20956664887588,2.671043073219116,0.8043979918881268,A,Incorrect,0.0,0.0,-45,45,1154,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,48,B,67.85086957293503,53.5702669501886,3.3925434786467514,0.841479785507783,B,Correct,0.0,0.0,-45,45,620,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,49,A,35.84255473155613,20.93785802064307,1.7921277365778066,0.328891104697792,A,Correct,0.0,0.0,-45,45,767,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,50,A,41.964268588654384,83.89127209062681,2.0982134294327195,1.3177610205010784,B,Incorrect,0.0,0.0,-45,45,2492,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,51,B,53.89628841028999,66.86784830540029,2.6948144205144997,1.0503577049880113,B,Correct,0.0,0.0,-45,45,860,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,52,A,40.00472924461625,81.10085954130568,2.0002364622308124,1.2739293226739181,A,Correct,0.0,0.0,-45,45,587,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,53,A,38.28942720379215,19.66542031626921,1.9144713601896075,0.30890369997673406,A,Correct,0.0,0.0,-45,45,568,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,54,B,66.7491863769512,78.11655456798837,3.3374593188475603,1.2270519697726923,B,Correct,0.0,0.0,-45,45,541,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,55,B,61.79247673085068,68.6188643101971,3.0896238365425344,1.07786260007295,B,Correct,0.0,0.0,-45,45,532,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,56,B,59.90208494896913,52.705388837394,2.9951042474484564,0.8278943118807524,B,Correct,0.0,0.0,-45,45,488,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,57,A,35.328758520781236,51.752724405033234,1.7664379260390617,0.8129298939705479,A,Correct,0.0,0.0,-45,45,433,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,58,B,57.63058501541797,49.82062123395201,2.8815292507708983,0.7825804883293164,B,Correct,0.0,0.0,-45,45,629,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,59,B,66.62277783582263,47.74386642419281,3.3311388917911313,0.7499589000610823,B,Correct,0.0,0.0,-45,45,586,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,60,A,48.07104283117463,30.961567728977567,2.4035521415587313,0.4863431686048937,A,Correct,0.0,0.0,-45,45,602,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,61,B,56.00354557126042,84.97563966985742,2.800177278563021,1.3347942266045874,B,Correct,0.0,0.0,-45,45,987,-1,-1
