,condition,trial,phase,su_prev,emv,delta_emv,movement_error,movement_error_prev,rotation
0,blocked,3,1.0,0.0,-2.0444861906926093,-0.19392187199433408,-2.0444861906926093,-1.8505643186982752,0.0
1,blocked,4,1.0,26.78,0.5740287510230644,2.6185149417156737,0.5740287510230644,-2.0444861906926093,0.0
2,blocked,5,1.0,0.0,4.58502170196455,4.0109929509414854,4.58502170196455,0.5740287510230644,0.0
3,blocked,6,1.0,0.0,-0.0450626830062788,-4.630084384970829,-0.0450626830062788,4.58502170196455,0.0
4,blocked,7,1.0,26.78,-0.8043251527187181,-0.7592624697124393,-0.8043251527187181,-0.0450626830062788,0.0
5,blocked,8,1.0,0.0,1.4756733347540631,2.279998487472781,1.4756733347540631,-0.8043251527187181,0.0
6,blocked,9,1.0,0.0,1.2014633505447563,-0.27420998420930687,1.2014633505447563,1.4756733347540631,0.0
7,blocked,10,1.0,26.78,1.5367378202994786,0.3352744697547223,1.5367378202994786,1.2014633505447563,0.0
8,blocked,11,1.0,0.0,1.9673355041027776,0.430597683803299,1.9673355041027776,1.5367378202994786,0.0
9,blocked,12,1.0,0.0,0.14639603335257334,-1.8209394707502042,0.14639603335257334,1.9673355041027776,0.0
10,blocked,13,1.0,0.0,4.204896685546089,4.058500652193516,4.204896685546089,0.14639603335257334,0.0
11,blocked,14,1.0,26.78,-0.49218721160039536,-4.697083897146484,-0.49218721160039536,4.204896685546089,0.0
12,blocked,15,1.0,26.78,0.8228356296927615,1.3150228412931568,0.8228356296927615,-0.49218721160039536,0.0
13,blocked,16,1.0,26.78,1.1739572185737899,0.3511215888810284,1.1739572185737899,0.8228356296927615,0.0
14,blocked,17,1.0,0.0,0.35123359193522674,-0.8227236266385631,0.35123359193522674,1.1739572185737899,0.0
15,blocked,18,1.0,0.0,1.040309313188743,0.6890757212535163,1.040309313188743,0.35123359193522674,0.0
16,blocked,19,1.0,26.78,1.7855329738775225,0.7452236606887794,1.7855329738775225,1.040309313188743,0.0
17,blocked,20,1.0,0.0,0.3958231931871694,-1.3897097806903531,0.3958231931871694,1.7855329738775225,0.0
18,blocked,21,1.0,0.0,0.41347511825586025,0.017651925068690844,0.41347511825586025,0.3958231931871694,0.0
19,blocked,22,1.0,0.0,0.1870541492266966,-0.22642096902916364,0.1870541492266966,0.41347511825586025,0.0
20,blocked,23,1.0,0.0,-0.004616487730942254,-0.19167063695763886,-0.004616487730942254,0.1870541492266966,0.0
21,blocked,24,1.0,0.0,-0.44495649605272547,-0.4403400083217832,-0.44495649605272547,-0.004616487730942254,0.0
22,blocked,25,1.0,0.0,-1.0772267099415416,-0.6322702138888161,-1.0772267099415416,-0.44495649605272547,0.0
23,blocked,26,1.0,0.0,1.4961718436231308,2.5733985535646724,1.4961718436231308,-1.0772267099415416,0.0
24,blocked,27,1.0,26.78,-0.280057431091322,-1.7762292747144528,-0.280057431091322,1.4961718436231308,0.0
25,blocked,28,1.0,0.0,1.1269515215550854,1.4070089526464074,1.1269515215550854,-0.280057431091322,0.0
26,blocked,29,1.0,0.0,1.4127419401624195,0.2857904186073341,1.4127419401624195,1.1269515215550854,0.0
27,blocked,30,1.0,26.78,-0.20020413679552007,-1.6129460769579396,-29.99400948359833,1.4127419401624195,29.79380534680281
28,blocked,31,2.0,0.0,-5.355409061575315,-5.155204924779795,-35.14921440837813,-29.99400948359833,29.79380534680281
29,blocked,32,2.0,0.0,-10.430099352566216,-5.074690290990901,-40.22390469936903,-35.14921440837813,29.79380534680281
30,blocked,33,2.0,0.0,-1.9915149319886893,8.438584420577527,-31.7853202787915,-40.22390469936903,29.79380534680281
31,blocked,34,2.0,0.0,-1.107582336085855,0.8839325959028344,-30.901387682888664,-31.7853202787915,29.79380534680281
32,blocked,35,2.0,0.0,-0.7085946836710377,0.39898765241481726,-30.502400030473847,-30.901387682888664,29.79380534680281
33,blocked,36,2.0,0.0,0.5775274676158944,1.286122151286932,-29.216277879186915,-30.502400030473847,29.79380534680281
34,blocked,37,2.0,0.0,-0.9056638164090458,-1.4831912840249402,-30.699469163211855,-29.216277879186915,29.79380534680281
35,blocked,38,2.0,0.0,1.0398163311640474,1.9454801475730932,-28.753989015638762,-30.699469163211855,29.79380534680281
36,blocked,39,2.0,0.0,-0.20053666949394255,-1.24035300065799,-29.994342016296752,-28.753989015638762,29.79380534680281
37,blocked,40,2.0,0.0,0.3952804115678106,0.5958170810617531,-29.398524935235,-29.994342016296752,29.79380534680281
38,blocked,41,2.0,0.0,-3.200187456071788,-3.5954678676395986,-32.9939928028746,-29.398524935235,29.79380534680281
39,blocked,42,2.0,0.0,-0.08071746704429472,3.1194699890274933,-29.874522813847104,-32.9939928028746,29.79380534680281
40,blocked,43,2.0,0.0,0.31419073744585546,0.3949082044901502,-29.479614609356954,-29.874522813847104,29.79380534680281
41,blocked,44,2.0,0.0,0.44901403376708515,0.1348232963212297,-29.344791313035724,-29.479614609356954,29.79380534680281
42,blocked,45,2.0,0.0,-2.6034157258439308,-3.052429759611016,-32.397221072646744,-29.344791313035724,29.79380534680281
43,blocked,46,2.0,0.0,0.7153292003866625,3.3187449262305933,-29.078476146416147,-32.397221072646744,29.79380534680281
44,blocked,47,2.0,0.0,0.08633833491832377,-0.6289908654683387,-29.707467011884486,-29.078476146416147,29.79380534680281
45,blocked,48,2.0,0.0,-3.1947984260975915,-3.2811367610159152,-32.988603772900404,-29.707467011884486,29.79380534680281
46,blocked,49,2.0,0.0,-0.8953385353250667,2.2994598907725248,-30.689143882127876,-32.988603772900404,29.79380534680281
47,blocked,50,2.0,0.0,-0.16952390461234756,0.7258146307127191,-29.963329251415157,-30.689143882127876,29.79380534680281
48,blocked,51,2.0,0.0,-0.8665198779436025,-0.696995973331255,-30.660325224746412,-29.963329251415157,29.79380534680281
49,blocked,52,2.0,0.0,0.13688146247105237,1.003401340414655,-29.656923884331757,-30.660325224746412,29.79380534680281
50,blocked,53,2.0,0.0,-1.7788650703379147,-1.9157465328089671,-31.572670417140724,-29.656923884331757,29.79380534680281
51,blocked,54,2.0,0.0,-1.798212163618345,-0.019347093280430272,-31.592017510421154,-31.572670417140724,29.79380534680281
52,blocked,55,2.0,0.0,-2.3062519698101056,-0.5080398061917606,-32.10005731661292,-31.592017510421154,29.79380534680281
53,blocked,56,2.0,0.0,-1.4566814075032681,0.8495705623068375,-31.250486754306078,-32.10005731661292,29.79380534680281
54,blocked,57,2.0,0.0,-4.810407169193127,-3.3537257616898586,-34.60421251599594,-31.250486754306078,29.79380534680281
55,blocked,58,2.0,0.0,-1.5465693941052763,3.2638377750878504,-31.340374740908086,-34.60421251599594,29.79380534680281
56,blocked,59,2.0,0.0,-4.669452453652539,-3.122883059547263,-34.46325780045535,-31.340374740908086,29.79380534680281
57,blocked,60,2.0,0.0,-2.701401367605996,1.9680510860465432,-32.49520671440881,-34.46325780045535,29.79380534680281
58,blocked,61,2.0,0.0,-1.566123182161249,1.1352781854447471,-31.35992852896406,-32.49520671440881,29.79380534680281
59,blocked,62,2.0,0.0,-0.6453192267834993,0.9208039553777496,-30.43912457358631,-31.35992852896406,29.79380534680281
60,blocked,63,2.0,0.0,-2.1462355600894227,-1.5009163333059234,-31.940040906892232,-30.43912457358631,29.79380534680281
61,blocked,64,2.0,0.0,-1.3997335477672834,0.7465020123221393,-31.193538894570093,-31.940040906892232,29.79380534680281
