condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pointer_middle,1002,171,2,107,27.08,54.6,0.03,0.86,100,2125,Incorrect
incongruent_pointer_middle,1002,172,1,106,65.5,38.36,0.07,0.6,106,5273,Correct
incongruent_pointer_middle,1002,173,2,107,32.6,48.25,0.04,0.76,100,3085,Incorrect
incongruent_pointer_middle,1002,174,1,106,57.92,40.17,0.06,0.63,106,1061,Correct
incongruent_pointer_middle,1002,175,1,102,43.11,50.06,0.05,0.79,106,1055,Incorrect
incongruent_pointer_middle,1002,176,1,106,73.03,40.33,0.08,0.63,106,1392,Correct
incongruent_pointer_middle,1002,177,2,107,39.72,54.03,0.04,0.85,100,1969,Incorrect
incongruent_pointer_middle,1002,178,1,102,34.37,49.93,0.04,0.78,102,2929,Correct
incongruent_pointer_middle,1002,179,1,106,77.38,52.86,0.09,0.83,106,522,Correct
incongruent_pointer_middle,1002,180,1,102,29.64,62.66,0.03,0.98,102,791,Correct
incongruent_pointer_middle,1002,181,1,106,51.27,26.3,0.06,0.41,106,614,Correct
incongruent_pointer_middle,1002,182,2,107,19.64,38.4,0.02,0.6,100,694,Incorrect
incongruent_pointer_middle,1002,183,2,107,33.39,49.87,0.04,0.78,100,2268,Incorrect
incongruent_pointer_middle,1002,184,1,102,17.41,43.5,0.02,0.68,102,810,Correct
incongruent_pointer_middle,1002,185,2,107,59.76,71.17,0.07,1.12,100,2851,Incorrect
incongruent_pointer_middle,1002,186,1,106,40.97,14.48,0.05,0.23,106,1441,Correct
incongruent_pointer_middle,1002,187,1,102,23.46,48.13,0.03,0.76,1073742050,749,Correct
incongruent_pointer_middle,1002,188,1,106,44.09,17.62,0.05,0.28,106,15768,Correct
incongruent_pointer_middle,1002,189,2,100,67.21,50.72,0.08,0.8,107,5185,Incorrect
incongruent_pointer_middle,1002,190,2,100,67.28,44.16,0.08,0.69,100,4267,Correct
incongruent_pointer_middle,1002,191,1,102,29.66,52.92,0.03,0.83,102,1555,Correct
incongruent_pointer_middle,1002,192,1,106,50.81,21.65,0.06,0.34,106,900,Correct
incongruent_pointer_middle,1002,193,1,102,42.51,69.56,0.05,1.09,102,2215,Correct
incongruent_pointer_middle,1002,194,2,100,64.32,53.19,0.07,0.84,107,2799,Incorrect
incongruent_pointer_middle,1002,195,1,102,59.84,76.07,0.07,1.19,102,1355,Correct
incongruent_pointer_middle,1002,196,2,107,15.17,43.49,0.02,0.68,107,1634,Correct
incongruent_pointer_middle,1002,197,1,106,75.29,43.0,0.08,0.68,106,1214,Correct
incongruent_pointer_middle,1002,198,1,102,22.9,48.38,0.03,0.76,102,956,Correct
incongruent_pointer_middle,1002,199,2,100,61.99,53.81,0.07,0.85,100,1024,Correct
incongruent_pointer_middle,1002,200,1,102,56.42,65.02,0.06,1.02,106,1347,Incorrect
incongruent_pointer_middle,1002,201,2,107,14.56,38.16,0.02,0.6,107,1140,Correct
incongruent_pointer_middle,1002,202,1,102,13.56,40.37,0.02,0.63,102,1096,Correct
incongruent_pointer_middle,1002,203,1,106,59.43,35.26,0.07,0.55,106,677,Correct
incongruent_pointer_middle,1002,204,1,102,37.78,62.59,0.04,0.98,102,895,Correct
incongruent_pointer_middle,1002,205,1,102,58.32,78.78,0.07,1.24,106,544,Incorrect
incongruent_pointer_middle,1002,206,1,102,62.65,82.1,0.07,1.29,106,763,Incorrect
incongruent_pointer_middle,1002,207,1,106,68.51,35.41,0.08,0.56,106,604,Correct
incongruent_pointer_middle,1002,208,2,100,38.24,24.23,0.04,0.38,100,1330,Correct
incongruent_pointer_middle,1002,209,1,106,72.93,51.12,0.08,0.8,106,1773,Correct
incongruent_pointer_middle,1002,210,2,107,38.88,71.64,0.04,1.13,107,1133,Correct
incongruent_pointer_middle,1002,211,1,106,59.57,52.25,0.07,0.82,106,1862,Correct
incongruent_pointer_middle,1002,212,1,102,69.04,88.17,0.08,1.39,102,705,Correct
incongruent_pointer_middle,1002,213,1,106,69.11,53.34,0.08,0.84,106,840,Correct
incongruent_pointer_middle,1002,214,1,106,47.57,17.02,0.05,0.27,106,1551,Correct
incongruent_pointer_middle,1002,215,1,106,36.64,16.74,0.04,0.26,106,1013,Correct
incongruent_pointer_middle,1002,216,2,107,14.58,37.12,0.02,0.58,100,704,Incorrect
incongruent_pointer_middle,1002,217,2,100,37.2,25.94,0.04,0.41,100,2653,Correct
incongruent_pointer_middle,1002,218,2,107,24.16,46.51,0.03,0.73,107,2217,Correct
incongruent_pointer_middle,1002,219,1,106,49.69,33.51,0.06,0.53,106,2944,Correct
incongruent_pointer_middle,1002,220,1,102,35.49,53.17,0.04,0.84,106,813,Incorrect
incongruent_pointer_middle,1002,221,1,106,62.19,44.5,0.07,0.7,106,977,Correct
incongruent_pointer_middle,1002,222,2,107,14.95,31.6,0.02,0.5,100,670,Incorrect
incongruent_pointer_middle,1002,223,1,102,43.09,62.04,0.05,0.97,106,956,Incorrect
incongruent_pointer_middle,1002,224,2,107,50.95,61.52,0.06,0.97,100,1372,Incorrect
incongruent_pointer_middle,1002,225,2,100,73.65,47.26,0.08,0.74,107,705,Incorrect
incongruent_pointer_middle,1002,226,2,107,61.01,72.36,0.07,1.14,107,1391,Correct
incongruent_pointer_middle,1002,227,2,107,60.38,81.58,0.07,1.28,107,899,Correct
incongruent_pointer_middle,1002,228,1,106,88.66,61.96,0.1,0.97,106,1055,Correct
incongruent_pointer_middle,1002,229,2,100,72.36,48.8,0.08,0.77,100,2745,Correct
incongruent_pointer_middle,1002,230,1,102,46.55,77.78,0.05,1.22,102,1185,Correct
incongruent_pointer_middle,1002,231,1,106,53.85,32.08,0.06,0.5,106,1280,Correct
incongruent_pointer_middle,1002,232,1,106,40.53,29.78,0.05,0.47,106,1700,Correct
incongruent_pointer_middle,1002,233,2,107,13.22,34.12,0.01,0.54,100,871,Incorrect
incongruent_pointer_middle,1002,234,1,102,63.62,76.61,0.07,1.2,102,1133,Correct
incongruent_pointer_middle,1002,235,2,100,72.94,48.56,0.08,0.76,100,1309,Correct
incongruent_pointer_middle,1002,236,2,100,48.58,20.68,0.05,0.32,100,1015,Correct
incongruent_pointer_middle,1002,237,1,102,17.06,42.17,0.02,0.66,102,1533,Correct
