condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pointer_middle,2,0,2,100,52.91,40.74,0.06,0.64,107,1120,Incorrect
incongruent_pointer_middle,2,1,2,100,88.07,69.68,0.1,1.09,100,603,Correct
incongruent_pointer_middle,2,2,2,100,62.54,46.89,0.07,0.74,107,646,Incorrect
incongruent_pointer_middle,2,3,2,100,51.71,35.45,0.06,0.56,100,607,Correct
incongruent_pointer_middle,2,4,2,107,57.39,85.68,0.06,1.35,100,1136,Incorrect
incongruent_pointer_middle,2,5,1,102,28.11,38.91,0.03,0.61,106,1078,Incorrect
incongruent_pointer_middle,2,6,2,107,30.15,47.08,0.03,0.74,100,1118,Incorrect
incongruent_pointer_middle,2,7,2,100,54.38,37.75,0.06,0.59,107,388,Incorrect
incongruent_pointer_middle,2,8,1,102,42.51,54.51,0.05,0.86,102,687,Correct
incongruent_pointer_middle,2,9,1,106,54.28,28.6,0.06,0.45,106,719,Correct
incongruent_pointer_middle,2,10,2,100,62.88,36.74,0.07,0.58,107,988,Incorrect
incongruent_pointer_middle,2,11,2,100,59.41,26.97,0.07,0.42,100,861,Correct
incongruent_pointer_middle,2,12,2,107,37.54,52.08,0.04,0.82,107,491,Correct
incongruent_pointer_middle,2,13,1,102,31.17,45.95,0.03,0.72,102,627,Correct
incongruent_pointer_middle,2,14,1,106,49.19,36.71,0.06,0.58,106,467,Correct
incongruent_pointer_middle,2,15,2,100,61.38,51.99,0.07,0.82,107,508,Incorrect
incongruent_pointer_middle,2,16,1,106,53.23,25.18,0.06,0.4,102,532,Incorrect
incongruent_pointer_middle,2,17,1,102,55.03,67.83,0.06,1.07,102,550,Correct
incongruent_pointer_middle,2,18,1,106,36.72,20.8,0.04,0.33,106,644,Correct
incongruent_pointer_middle,2,19,2,107,44.99,57.45,0.05,0.9,100,495,Incorrect
incongruent_pointer_middle,2,20,2,100,43.13,16.1,0.05,0.25,107,759,Incorrect
incongruent_pointer_middle,2,21,2,100,35.78,11.98,0.04,0.19,100,1625,Correct
incongruent_pointer_middle,2,22,2,100,83.48,56.36,0.09,0.89,107,524,Incorrect
incongruent_pointer_middle,2,23,1,106,41.68,16.5,0.05,0.26,102,778,Incorrect
incongruent_pointer_middle,2,24,1,102,29.81,41.72,0.03,0.66,102,835,Correct
incongruent_pointer_middle,2,25,2,100,88.06,67.49,0.1,1.06,107,1265,Incorrect
incongruent_pointer_middle,2,26,2,100,55.14,47.63,0.06,0.75,107,1373,Incorrect
incongruent_pointer_middle,2,27,1,102,33.27,58.48,0.04,0.92,102,905,Correct
incongruent_pointer_middle,2,28,2,100,83.69,58.8,0.09,0.92,100,840,Correct
incongruent_pointer_middle,2,29,2,107,24.82,43.85,0.03,0.69,107,1429,Correct
incongruent_pointer_middle,2,30,1,102,40.54,56.16,0.05,0.88,102,1103,Correct
incongruent_pointer_middle,2,31,1,106,57.71,49.76,0.06,0.78,106,743,Correct
incongruent_pointer_middle,2,32,1,102,49.37,74.67,0.06,1.17,102,723,Correct
incongruent_pointer_middle,2,33,1,106,50.48,20.27,0.06,0.32,106,644,Correct
incongruent_pointer_middle,2,34,1,102,38.65,60.08,0.04,0.94,102,728,Correct
incongruent_pointer_middle,2,35,1,102,60.11,71.21,0.07,1.12,102,618,Correct
incongruent_pointer_middle,2,36,1,102,63.43,82.19,0.07,1.29,106,542,Incorrect
incongruent_pointer_middle,2,37,2,100,61.32,37.02,0.07,0.58,100,519,Correct
