condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
congruent_pinky_thumb,3,0,1,99,47.43,68.5,0.05,1.08,99,1047,Correct
congruent_pinky_thumb,3,1,1,99,34.03,54.55,0.04,0.86,109,946,Incorrect
congruent_pinky_thumb,3,2,1,99,60.36,76.54,0.07,1.2,109,1174,Incorrect
congruent_pinky_thumb,3,3,1,109,71.4,49.3,0.08,0.77,99,923,Incorrect
congruent_pinky_thumb,3,4,1,109,87.17,68.16,0.1,1.07,109,995,Correct
congruent_pinky_thumb,3,5,2,113,24.58,51.79,0.03,0.81,112,824,Incorrect
congruent_pinky_thumb,3,6,1,109,62.42,35.84,0.07,0.56,109,1105,Correct
congruent_pinky_thumb,3,7,1,99,38.55,48.11,0.04,0.76,99,1109,Correct
congruent_pinky_thumb,3,8,1,99,31.85,40.46,0.04,0.64,99,1023,Correct
congruent_pinky_thumb,3,9,2,113,23.45,50.89,0.03,0.8,113,1328,Correct
congruent_pinky_thumb,3,10,1,109,78.45,59.34,0.09,0.93,109,1444,Correct
congruent_pinky_thumb,3,11,2,113,49.51,70.47,0.06,1.11,112,1579,Incorrect
congruent_pinky_thumb,3,12,1,99,30.12,49.38,0.03,0.78,99,973,Correct
congruent_pinky_thumb,3,13,1,99,32.59,49.83,0.04,0.78,99,1122,Correct
congruent_pinky_thumb,3,14,2,113,52.72,66.49,0.06,1.04,113,1263,Correct
congruent_pinky_thumb,3,15,2,112,73.79,47.36,0.08,0.74,112,1263,Correct
congruent_pinky_thumb,3,16,1,109,38.31,17.9,0.04,0.28,109,1604,Correct
congruent_pinky_thumb,3,17,1,109,36.32,22.43,0.04,0.35,109,991,Correct
congruent_pinky_thumb,3,18,1,109,53.71,45.45,0.06,0.71,99,1139,Incorrect
congruent_pinky_thumb,3,19,2,112,33.84,15.38,0.04,0.24,113,1253,Incorrect
congruent_pinky_thumb,3,20,2,113,48.76,68.62,0.05,1.08,113,1343,Correct
congruent_pinky_thumb,3,21,1,109,56.88,41.17,0.06,0.65,109,1052,Correct
congruent_pinky_thumb,3,22,2,112,83.7,61.3,0.09,0.96,113,1852,Incorrect
congruent_pinky_thumb,3,23,2,112,62.5,48.92,0.07,0.77,112,1232,Correct
congruent_pinky_thumb,3,24,1,109,50.73,23.63,0.06,0.37,99,1480,Incorrect
congruent_pinky_thumb,3,25,2,113,32.37,61.7,0.04,0.97,113,1163,Correct
congruent_pinky_thumb,3,26,2,113,11.49,33.07,0.01,0.52,112,1140,Incorrect
congruent_pinky_thumb,3,27,2,113,29.33,47.34,0.03,0.74,112,1125,Incorrect
congruent_pinky_thumb,3,28,2,112,47.63,22.35,0.05,0.35,113,949,Incorrect
congruent_pinky_thumb,3,29,1,109,78.3,50.74,0.09,0.8,99,1817,Incorrect
congruent_pinky_thumb,3,30,1,99,38.95,69.94,0.04,1.1,99,1645,Correct
congruent_pinky_thumb,3,31,1,109,66.47,37.76,0.07,0.59,99,1499,Incorrect
congruent_pinky_thumb,3,32,2,113,23.78,36.17,0.03,0.57,112,1091,Incorrect
congruent_pinky_thumb,3,33,2,113,21.2,38.13,0.02,0.6,113,1056,Correct
congruent_pinky_thumb,3,34,1,99,44.32,56.84,0.05,0.89,109,1929,Incorrect
congruent_pinky_thumb,3,35,2,113,65.37,76.61,0.07,1.2,113,2127,Correct
congruent_pinky_thumb,3,36,2,112,39.0,11.82,0.04,0.19,112,1899,Correct
congruent_pinky_thumb,3,37,1,109,54.93,36.09,0.06,0.57,109,970,Correct
congruent_pinky_thumb,3,38,1,109,34.66,16.22,0.04,0.25,99,1072,Incorrect
congruent_pinky_thumb,3,39,1,109,70.7,52.45,0.08,0.82,99,1768,Incorrect
congruent_pinky_thumb,3,40,2,113,61.78,88.14,0.07,1.38,113,1205,Correct
congruent_pinky_thumb,3,41,2,112,74.45,50.97,0.08,0.8,112,1071,Correct
congruent_pinky_thumb,3,42,2,112,79.99,57.33,0.09,0.9,112,1062,Correct
congruent_pinky_thumb,3,43,2,113,40.93,67.28,0.05,1.06,113,937,Correct
congruent_pinky_thumb,3,44,1,99,50.87,77.59,0.06,1.22,109,600,Incorrect
congruent_pinky_thumb,3,45,2,112,74.42,51.01,0.08,0.8,113,2225,Correct
congruent_pinky_thumb,3,46,2,113,56.3,67.96,0.06,1.07,105,1329,Incorrect
congruent_pinky_thumb,3,47,1,99,34.78,66.13,0.04,1.04,109,1946,Incorrect
congruent_pinky_thumb,3,48,1,109,48.17,38.38,0.05,0.6,99,988,Incorrect
congruent_pinky_thumb,3,49,1,109,79.52,60.02,0.09,0.94,99,1592,Incorrect
congruent_pinky_thumb,3,50,1,109,82.25,54.74,0.09,0.86,109,734,Correct
congruent_pinky_thumb,3,51,1,109,61.8,52.71,0.07,0.83,109,967,Correct
congruent_pinky_thumb,3,52,2,112,71.61,52.67,0.08,0.83,113,1212,Incorrect
congruent_pinky_thumb,3,53,2,113,32.34,56.39,0.04,0.89,112,648,Incorrect
congruent_pinky_thumb,3,54,1,109,39.07,13.27,0.04,0.21,99,262,Incorrect
congruent_pinky_thumb,3,55,2,113,26.61,52.57,0.03,0.83,113,516,Correct
congruent_pinky_thumb,3,56,1,109,86.24,59.79,0.1,0.94,99,1941,Incorrect
congruent_pinky_thumb,3,57,1,109,56.49,23.9,0.06,0.38,109,1080,Correct
congruent_pinky_thumb,3,58,1,99,38.66,65.08,0.04,1.02,99,717,Correct
congruent_pinky_thumb,3,59,1,99,46.14,72.4,0.05,1.14,99,1190,Correct
congruent_pinky_thumb,3,60,1,99,16.61,43.19,0.02,0.68,99,2338,Correct
congruent_pinky_thumb,3,61,2,112,61.56,32.56,0.07,0.51,112,1388,Correct
congruent_pinky_thumb,3,62,2,113,62.0,77.92,0.07,1.22,112,885,Incorrect
congruent_pinky_thumb,3,63,1,109,62.88,42.26,0.07,0.66,99,1135,Incorrect
congruent_pinky_thumb,3,64,2,113,39.06,58.0,0.04,0.91,113,684,Correct
congruent_pinky_thumb,3,65,2,113,63.71,84.72,0.07,1.33,113,1700,Correct
congruent_pinky_thumb,3,66,1,99,39.52,70.75,0.04,1.11,109,2563,Incorrect
congruent_pinky_thumb,3,67,1,109,64.97,39.29,0.07,0.62,109,1278,Correct
congruent_pinky_thumb,3,68,2,112,47.85,38.65,0.05,0.61,112,1641,Correct
congruent_pinky_thumb,3,69,2,112,39.14,12.49,0.04,0.2,113,1214,Incorrect
congruent_pinky_thumb,3,70,2,112,79.39,47.64,0.09,0.75,113,957,Incorrect
congruent_pinky_thumb,3,71,2,113,66.71,79.89,0.07,1.25,112,712,Incorrect
congruent_pinky_thumb,3,72,2,113,66.65,83.5,0.07,1.31,113,966,Correct
congruent_pinky_thumb,3,73,1,99,50.89,64.91,0.06,1.02,109,1980,Incorrect
congruent_pinky_thumb,3,74,2,112,39.33,29.11,0.04,0.46,112,1200,Correct
congruent_pinky_thumb,3,75,2,112,87.31,64.0,0.1,1.01,112,1494,Correct
congruent_pinky_thumb,3,76,2,113,13.49,35.97,0.02,0.57,113,946,Correct
congruent_pinky_thumb,3,77,2,113,64.18,74.42,0.07,1.17,112,1062,Incorrect
congruent_pinky_thumb,3,78,1,99,36.41,52.8,0.04,0.83,99,851,Correct
congruent_pinky_thumb,3,79,1,109,60.49,41.03,0.07,0.64,109,833,Correct
congruent_pinky_thumb,3,80,2,113,46.83,57.25,0.05,0.9,113,655,Correct
congruent_pinky_thumb,3,81,1,99,24.28,53.62,0.03,0.84,99,478,Correct
congruent_pinky_thumb,3,82,2,113,38.12,47.41,0.04,0.74,112,644,Incorrect
congruent_pinky_thumb,3,83,1,99,48.28,72.87,0.05,1.14,99,926,Correct
congruent_pinky_thumb,3,84,1,109,63.06,42.5,0.07,0.67,109,464,Correct
