experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
1,new_learn,1002,0,B,50.9636838176522,39.78462052708579,2.54818419088261,0.624935357868752,A,4022,Incorrect
1,new_learn,1002,1,B,70.54986818392126,47.244968720858274,3.527493409196063,0.7421222332626396,A,962,Incorrect
1,new_learn,1002,2,A,38.794070561691164,48.93457010763496,1.9397035280845583,0.7686624297836034,A,603,Correct
1,new_learn,1002,3,B,56.733480335913804,24.355379849184658,2.83667401679569,0.382573412047937,B,484,Correct
1,new_learn,1002,4,A,43.40050666817775,62.33966529820563,2.1700253334088875,0.9792291726404466,A,469,Correct
1,new_learn,1002,5,A,59.85169847361292,70.09762722278147,2.992584923680646,1.1010909535858309,B,417,Incorrect
1,new_learn,1002,6,B,54.21502865695963,39.231741103175786,2.7107514328479816,0.6162507481863689,B,1226,Correct
1,new_learn,1002,7,A,43.36941238246835,60.480776577360565,2.168470619123417,0.950029816894208,A,374,Correct
1,new_learn,1002,8,A,25.880282956407015,38.4139367032972,1.2940141478203508,0.603404706712709,A,640,Correct
