experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,relearn,43,0,B,65.80061089770463,50.45665460626908,3.290030544885232,0.7925712771788628,B,12535,Correct
2,relearn,43,1,A,51.03893190834127,59.831929032686446,2.5519465954170637,0.9398377434959679,A,5219,Correct
2,relearn,43,2,A,47.337306308668374,76.93013199904027,2.3668653154334187,1.20841568763939,A,3064,Correct
2,relearn,43,3,A,21.424356111268317,44.25397243369558,1.0712178055634158,0.6951397734493162,B,2987,Incorrect
2,relearn,43,4,A,36.46711994911029,69.53952588649484,1.8233559974555147,1.0923243182956472,A,6699,Correct
2,relearn,43,5,B,32.113071476313024,15.188311089761108,1.6056535738156512,0.23857743270014942,A,1978,Incorrect
2,relearn,43,6,A,13.277076078788653,39.660865756670404,0.6638538039394326,0.6229914224808337,A,1584,Correct
2,relearn,43,7,A,41.11435259776791,59.228488359790006,2.0557176298883957,0.9303589195717243,A,1472,Correct
2,relearn,43,8,A,49.13713908939458,66.64397670655069,2.4568569544697287,1.0468411381365448,A,2939,Correct
2,relearn,43,9,B,75.84987201781843,61.788481101837284,3.7924936008909214,0.9705711915300188,A,922,Incorrect
2,relearn,43,10,B,51.85696780160335,24.761537577844507,2.5928483900801678,0.3889533227307195,B,2873,Correct
2,relearn,43,11,B,57.28928890532647,25.7701383082307,2.8644644452663237,0.4047963859556523,B,767,Correct
2,relearn,43,12,B,60.44361987502573,50.12113245249063,3.0221809937512862,0.7873009075117277,B,895,Correct
2,relearn,43,13,A,25.675152578150566,46.9279524919411,1.2837576289075283,0.737142553983465,A,971,Correct
2,relearn,43,14,A,39.27129779503868,64.12115506655655,1.9635648897519338,1.0072127484839302,A,983,Correct
2,relearn,43,15,A,16.692919171179785,40.836840309565616,0.8346459585589892,0.6414635875617544,A,965,Correct
2,relearn,43,16,A,19.94782779994064,44.134472791380965,0.997391389997032,0.6932626774573053,A,882,Correct
2,relearn,43,17,B,50.38595780388634,27.33440989539999,2.5192978901943173,0.4293679065880037,B,865,Correct
2,relearn,43,18,A,15.644031412916647,32.20099311187848,0.7822015706458323,0.5058120169928648,A,832,Correct
2,relearn,43,19,B,73.56441281266325,56.823502217939264,3.6782206406331626,0.8925814855956066,B,587,Correct
2,relearn,43,20,A,33.29281463031856,52.427149230832114,1.664640731515928,0.8235237343611898,A,1520,Correct
2,relearn,43,21,A,40.88595224530023,49.17375792606393,2.044297612265012,0.7724195832496266,A,809,Correct
2,relearn,43,22,A,48.05150228758916,62.875343161455966,2.402575114379458,0.9876435808398366,B,967,Incorrect
2,relearn,43,23,B,74.19582612146255,46.14298322968423,3.7097913060731273,0.7248122856454651,B,828,Correct
2,relearn,43,24,B,43.45505755162037,15.193998925627188,2.1727528775810185,0.23866677701700792,B,1175,Correct
2,relearn,43,25,B,77.62730962000236,60.33528149008651,3.8813654810001186,0.9477443854076399,B,521,Correct
2,relearn,43,26,A,17.901249158778896,43.54620314408442,0.8950624579389448,0.6840221594459219,A,669,Correct
2,relearn,43,27,B,78.71116776303876,65.23740517474454,3.935558388151938,1.024746764181191,B,797,Correct
2,relearn,43,28,A,51.73725487490295,61.60072120368775,2.5868627437451477,0.9676218659466921,B,1038,Incorrect
2,relearn,43,29,B,56.04398799860603,25.149393751953447,2.8021993999303016,0.39504575326686997,B,902,Correct
2,relearn,43,30,B,73.50910147646889,49.7112233011952,3.6754550738234446,0.780862069619983,B,732,Correct
2,relearn,43,31,A,26.73520169087073,56.292250039575315,1.3367600845435366,0.8842365958918478,A,710,Correct
2,relearn,43,32,B,70.66725434095791,39.09060674129741,3.5333627170478956,0.6140338148141379,B,888,Correct
2,relearn,43,33,B,79.72427977788661,63.33881732499674,3.9862139888943307,0.9949238159763784,B,708,Correct
2,relearn,43,34,A,57.65314537122158,72.62170642173422,2.882657268561079,1.1407390969283744,B,3956,Incorrect
2,relearn,43,35,A,56.261669235383124,63.68906279355949,2.813083461769156,1.0004254589313277,A,1214,Correct
2,relearn,43,36,A,29.565925097771487,62.512410265933994,1.4782962548885743,0.981942644248247,A,733,Correct
2,relearn,43,37,A,67.14852806866458,85.72874298391739,3.357426403433229,1.3466239457988118,B,1559,Incorrect
2,relearn,43,38,B,72.18378761025573,54.18025750928929,3.609189380512787,0.8510614948039321,B,1555,Correct
2,relearn,43,39,A,54.05205789743779,78.07935657409492,2.7026028948718896,1.2264676650509725,A,1323,Correct
2,relearn,43,40,A,29.679938853244497,40.375846880229325,1.483996942662225,0.6342223197069741,A,616,Correct
2,relearn,43,41,A,55.42735251194871,70.9460146106504,2.7713676255974353,1.1144173915114668,A,1830,Correct
2,relearn,43,42,B,76.07933735220243,55.029142250399254,3.803966867610121,0.8643957451360099,B,873,Correct
2,relearn,43,43,B,84.25128109896596,58.309336136839605,4.212564054948298,0.9159209102159658,B,833,Correct
2,relearn,43,44,A,18.08805283060174,34.613867996753804,0.904402641530087,0.543713367054643,A,499,Correct
2,relearn,43,45,B,56.92938125084866,27.711488157417435,2.846469062542433,0.43529103807691577,A,1640,Incorrect
2,relearn,43,46,B,71.12729962026089,53.758519155397046,3.5563649810130444,0.8444368442323076,B,1498,Correct
2,relearn,43,47,B,49.267856390289055,20.290679438977858,2.463392819514453,0.3187252473091915,A,2742,Incorrect
2,relearn,43,48,B,77.57701739610175,55.083793421503756,3.8788508698050874,0.8652542037242698,B,1060,Correct
2,relearn,43,49,B,50.78328618731441,43.65087142733391,2.5391643093657206,0.6856662849945241,B,4790,Correct
2,relearn,43,50,A,42.446191456517504,57.252637390772044,2.122309572825875,0.8993223251274489,A,947,Correct
2,relearn,43,51,A,43.05779658673525,52.95507615272295,2.152889829336763,0.8318163910584124,A,4669,Correct
2,relearn,43,52,B,70.57408194036496,58.049390616975444,3.5287040970182484,0.9118376955382717,B,745,Correct
2,relearn,43,53,A,36.8679309703117,45.23540798031656,1.843396548515585,0.7105561269654981,A,1018,Correct
2,relearn,43,54,B,78.09181371041313,51.00832320047777,3.904590685520657,0.801236867192774,B,685,Correct
2,relearn,43,55,B,42.182728232289435,26.136022944999873,2.1091364116144717,0.4105436883903294,A,1047,Incorrect
2,relearn,43,56,A,54.82349870688313,80.89066096975537,2.7411749353441563,1.2706275312330304,B,750,Incorrect
2,relearn,43,57,A,29.533134957232605,42.48625735123679,1.4766567478616304,0.6673725698658541,A,1088,Correct
2,relearn,43,58,A,45.909309974242795,73.22763363095936,2.2954654987121397,1.150256979273934,A,4192,Correct
2,relearn,43,59,B,63.74967971343556,40.64618091044583,3.187483985671778,0.6384687167236915,A,1288,Incorrect
2,relearn,43,60,A,41.825624989564965,64.99449421922074,2.0912812494782482,1.0209311278144406,A,590,Correct
2,relearn,43,61,B,78.78761038838938,59.32058122860281,3.939380519419469,0.931805510972276,B,730,Correct
2,relearn,43,62,A,39.43477368648717,67.53221319340057,1.9717386843243585,1.0607935242452344,A,1089,Correct
2,relearn,43,63,B,43.786063985796936,20.79294904621574,2.189303199289847,0.3266148798502913,A,8156,Incorrect
2,relearn,43,64,B,41.959078167272935,23.545669044790433,2.097953908363647,0.36985450447485113,B,3403,Correct
2,relearn,43,65,B,83.02080097879477,55.55034605268182,4.1510400489397385,0.8725827953173797,B,720,Correct
