experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,relearn,45,0,B,55.6126175985718,30.95237104325068,2.78063087992859,0.4861987074033089,A,2027,Incorrect
2,relearn,45,1,A,53.44671371474951,78.60242654109244,2.6723356857374756,1.234684028879137,B,890,Incorrect
2,relearn,45,2,A,35.337173181945346,58.50124268965233,1.7668586590972672,0.9189353712984268,A,579,Correct
2,relearn,45,3,B,67.48788732671281,36.48368439379585,3.37439436633564,0.5730843743371882,A,1102,Incorrect
2,relearn,45,4,A,49.20797430392201,78.47971027617686,2.4603987151961006,1.232756406297463,B,948,Incorrect
2,relearn,45,5,B,32.07700655165458,15.485060133058173,1.6038503275827287,0.2432387557720587,A,1678,Incorrect
2,relearn,45,6,B,58.87707216988022,36.38535680771653,2.943853608494011,0.5715398482268281,A,1909,Incorrect
2,relearn,45,7,B,63.03650735670691,53.86790808620764,3.1518253678353454,0.8461551215394008,A,1197,Incorrect
2,relearn,45,8,B,42.41220309902742,27.7522708556432,2.120610154951371,0.43593165120261396,A,829,Incorrect
2,relearn,45,9,A,12.820627167582018,36.67531128806758,0.6410313583791009,0.5760944425535597,B,683,Incorrect
2,relearn,45,10,B,71.12896654709229,42.41129030438054,3.5564483273546146,0.6661949902475297,A,595,Incorrect
2,relearn,45,11,B,51.573145186292024,36.286936298987165,2.5786572593146015,0.5699938624908945,B,877,Correct
2,relearn,45,12,B,46.64413676042717,27.42511323983813,2.3322068380213583,0.4307926713907182,B,590,Correct
2,relearn,45,13,B,65.65853907622056,46.69213171924011,3.282926953811028,0.7334382899480585,B,736,Correct
2,relearn,45,14,A,43.44838014521449,75.98687956436275,2.1724190072607246,1.1935991130430719,B,923,Incorrect
2,relearn,45,15,B,71.38937395979819,41.3288673726264,3.56946869798991,0.64919233059515,B,619,Correct
2,relearn,45,16,B,65.56131814915076,48.80575738687159,3.2780659074575387,0.7666390442974078,B,556,Correct
2,relearn,45,17,A,43.553675474579606,51.85471368585105,2.1776837737289805,0.8145319378473588,A,721,Correct
2,relearn,45,18,A,45.297995099690354,65.69607436683307,2.264899754984518,1.0319515230026575,B,645,Incorrect
2,relearn,45,19,B,50.591269330831615,39.39881278737562,2.5295634665415805,0.6188751040648942,A,1366,Incorrect
2,relearn,45,20,B,78.17640974287296,61.94041903825587,3.9088204871436485,0.9729578270542899,A,801,Incorrect
2,relearn,45,21,A,63.06573120232608,72.60327791255749,3.153286560116304,1.1404496225831435,B,483,Incorrect
2,relearn,45,22,A,22.844141961482286,47.38730196909776,1.1422070980741141,0.7443579986977933,A,1012,Correct
2,relearn,45,23,A,39.06938645848551,55.37864438424917,1.9534693229242754,0.8698857118165942,B,728,Incorrect
2,relearn,45,24,A,62.961198947714195,76.37277843802485,3.14805994738571,1.1996607983756993,A,758,Correct
2,relearn,45,25,B,82.58471841484806,54.8329337022914,4.129235920742403,0.8613137084694743,A,705,Incorrect
2,relearn,45,26,A,45.91096105903983,62.569025827115816,2.2955480529519914,0.9828319594036854,B,1172,Incorrect
2,relearn,45,27,B,66.90933206003957,35.37868136952003,3.3454666030019786,0.5557270274208912,A,292,Incorrect
2,relearn,45,28,B,63.202202678691194,35.32849541619561,3.16011013393456,0.5549387083095041,B,657,Correct
2,relearn,45,29,B,39.55592774103882,16.65153772828038,1.9777963870519413,0.2615617429906946,A,718,Incorrect
2,relearn,45,30,B,72.94903197029096,57.158329161009554,3.647451598514548,0.8978409349184743,B,346,Correct
2,relearn,45,31,A,41.72973192891427,52.32146458664683,2.0864865964457135,0.821863643852341,A,651,Correct
2,relearn,45,32,A,50.48364859948379,62.25678294659657,2.5241824299741897,0.9779272597058105,B,655,Incorrect
2,relearn,45,33,A,49.65455935862242,64.53943290199054,2.4827279679311207,1.013783041358724,A,1154,Correct
2,relearn,45,34,A,38.16905355383332,51.01287675620061,1.9084526776916662,0.8013083942788068,A,758,Correct
2,relearn,45,35,A,62.60892615623062,86.52364473529254,3.130446307811531,1.3591102333110412,A,633,Correct
2,relearn,45,36,B,68.67877039123017,42.85567797874266,3.4339385195615084,0.6731754155131392,A,507,Incorrect
2,relearn,45,37,B,57.96718297537563,45.92853515040996,2.8983591487687814,0.7214437430933427,B,745,Correct
2,relearn,45,38,B,63.371362463446104,42.75642037301841,3.168568123172305,0.671616280688358,B,662,Correct
2,relearn,45,39,A,53.45743130465185,63.48670785409068,2.672871565232592,0.9972468749750636,B,1168,Incorrect
2,relearn,45,40,B,38.25147989199009,27.36077514365392,1.9125739945995042,0.4297820509391269,A,674,Incorrect
2,relearn,45,41,B,60.347038083263996,39.58750677605733,3.0173519041632,0.6218391023079893,A,835,Incorrect
2,relearn,45,42,B,69.5735673698265,48.819768056273425,3.478678368491325,0.7668591233777311,B,610,Correct
2,relearn,45,43,B,69.41122083583852,50.07374495389609,3.4705610417919264,0.7865565464244446,B,797,Correct
2,relearn,45,44,B,47.48344152104014,31.6258065192584,2.374172076052007,0.49677700712377193,A,610,Incorrect
2,relearn,45,45,B,54.08909957866958,32.99887579792226,2.7044549789334793,0.5183451289173729,B,518,Correct
2,relearn,45,46,A,37.05617925587122,66.76743044361187,1.852808962793561,1.0487803449035928,A,575,Correct
2,relearn,45,47,A,56.709452967716025,74.81666802510986,2.8354726483858013,1.1752174731687577,A,526,Correct
2,relearn,45,48,A,20.278183038826864,34.979784671817995,1.0139091519413432,0.5494611727456814,A,1244,Correct
2,relearn,45,49,B,65.75199273442898,35.203828406201666,3.287599636721449,0.5529804434957941,A,711,Incorrect
2,relearn,45,50,B,63.70293851074113,55.583368594842206,3.1851469255370564,0.8731015121966497,A,654,Incorrect
2,relearn,45,51,B,46.46998358104288,27.94536010687846,2.3234991790521438,0.43896469006845323,B,577,Correct
2,relearn,45,52,B,51.60551554706289,19.95226121870465,2.580275777353145,0.31340938633593524,B,542,Correct
2,relearn,45,53,B,70.96802165242616,57.307358956342654,3.548401082621308,0.9001818894693966,B,830,Correct
2,relearn,45,54,A,18.040535921742013,37.011068073165596,0.9020267960871007,0.581368497800844,A,585,Correct
2,relearn,45,55,B,51.480159138762154,28.748650695515913,2.574007956938108,0.4515827491282594,B,680,Correct
2,relearn,45,56,A,60.386704873338765,82.11404946878122,3.019335243666938,1.2898444728381597,B,603,Incorrect
2,relearn,45,57,B,66.06348823538835,34.419112532143316,3.3031744117694175,0.5406541553703091,A,800,Incorrect
