experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
1,relearn,5,0,B,43.77629688490339,27.89152750326639,2.1888148442451696,0.43811908950829676,B,5927,Correct
1,relearn,5,1,B,85.43353776110591,64.32606353319166,4.271676888055295,1.010431443151126,B,717,Correct
1,relearn,5,2,B,67.55028545361347,40.25175894205269,3.3775142726806733,0.6322731509320999,B,739,Correct
1,relearn,5,3,A,41.15339986836688,66.8260329165117,2.0576699934183442,1.0497008703953143,B,933,Incorrect
1,relearn,5,4,B,74.8580137511423,51.10832914093603,3.7429006875571145,0.8028077568320687,B,534,Correct
1,relearn,5,5,B,58.435424607253275,50.37231207886205,2.9217712303626637,0.7912464278564271,B,797,Correct
1,relearn,5,6,A,47.48449916754589,68.71568851077474,2.3742249583772947,1.0793835110590724,A,1184,Correct
1,relearn,5,7,A,29.51698900154245,56.247824220752996,1.4758494500771224,0.8835387567616383,A,711,Correct
1,relearn,5,8,A,51.188153481046534,68.68823069412069,2.5594076740523266,1.0789522046836524,A,953,Correct
1,relearn,5,9,B,53.35727021867244,27.543756740408384,2.667863510933622,0.43265631913965663,B,603,Correct
1,relearn,5,10,A,61.095342308697326,79.79783465436486,3.0547671154348666,1.2534614556126285,B,576,Incorrect
1,relearn,5,11,B,63.5158801656904,38.225384318207304,3.17579400828452,0.6004429327736328,B,733,Correct
1,relearn,5,12,B,60.98294319658332,38.18102155346068,3.0491471598291664,0.5997460840945281,B,1308,Correct
1,relearn,5,13,B,88.10814432375969,66.59366809629451,4.405407216187984,1.046050892334579,B,920,Correct
1,relearn,5,14,B,51.79177868394342,40.87072137480536,2.589588934197171,0.6419957900900192,A,846,Incorrect
1,relearn,5,15,A,59.75759818341028,68.26497803222964,2.987879909170514,1.0723037674176061,B,1294,Incorrect
1,relearn,5,16,A,51.40987909070661,64.89247013031722,2.5704939545353307,1.0193285371734984,A,2090,Correct
1,relearn,5,17,B,79.28948254585157,60.30593853926119,3.9644741272925783,0.9472834674139027,B,759,Correct
1,relearn,5,18,B,52.02667443392599,42.701501843270705,2.6013337216963,0.6707536224403513,B,673,Correct
1,relearn,5,19,A,32.19214471995111,56.053285688579635,1.6096072359975553,0.8804829526440584,A,824,Correct
1,relearn,5,20,A,37.49947664944588,65.60531836124066,1.874973832472294,1.0305259310004662,A,549,Correct
1,relearn,5,21,B,76.74706743421731,57.73435791468624,3.837353371710866,0.9068891734225102,B,767,Correct
1,relearn,5,22,B,47.20528744133733,38.716232126331704,2.3602643720668666,0.608153152113804,B,927,Correct
1,relearn,5,23,A,62.18887887608251,84.21388323428768,3.1094439438041257,1.3228285844955343,B,926,Incorrect
1,relearn,5,24,A,52.81842378919597,77.40418264957536,2.6409211894597986,1.2158620578451425,A,1760,Correct
1,relearn,5,25,B,88.3634955503866,64.01138231975378,4.418174777519329,1.0054884422093302,B,1393,Correct
1,relearn,5,26,B,46.347870307548845,31.816375900502173,2.317393515377442,0.4997704639643449,A,795,Incorrect
1,relearn,5,27,A,62.872050493205165,85.38483227002472,3.1436025246602584,1.3412218089375316,B,604,Incorrect
1,relearn,5,28,B,38.844126807242496,15.263651957554309,1.9422063403621248,0.2397608842840204,A,1937,Incorrect
1,relearn,5,29,B,38.77534849494369,21.93442110442671,1.9387674247471847,0.34454508101205933,A,1789,Incorrect
1,relearn,5,30,B,38.006602063652835,22.058920682772776,1.9003301031826418,0.34650071581559444,B,814,Correct
1,relearn,5,31,B,66.73468954694701,34.08438448806502,3.336734477347351,0.5353962595491749,B,902,Correct
1,relearn,5,32,A,39.008282111034006,51.56056519792973,1.9504141055517004,0.8099114642037681,A,1062,Correct
1,relearn,5,33,B,54.19806212148651,36.724379437063305,2.7099031060743255,0.5768652032356107,B,632,Correct
1,relearn,5,34,B,53.154952852290315,33.637289875381875,2.657747642614516,0.5283733137958501,B,649,Correct
1,relearn,5,35,A,29.42199918571327,59.09559729607535,1.4710999592856635,0.9282714716242556,A,669,Correct
1,relearn,5,36,B,55.0909539710917,37.99899914599816,2.754547698554585,0.5968868828041631,B,1132,Correct
1,relearn,5,37,A,50.204846626020576,81.38232762675837,2.5102423313010287,1.278350613021309,A,1438,Correct
1,relearn,5,38,B,86.74922586514934,62.585087089121956,4.337461293257467,0.9830842491173146,B,658,Correct
1,relearn,5,39,B,61.261518391172814,29.39610767124551,3.0630759195586403,0.4617529795205973,B,616,Correct
1,relearn,5,40,A,43.412975588590825,75.67325516794064,2.1706487794295413,1.1886727125441405,A,1207,Correct
1,relearn,5,41,A,18.854058569920902,36.87947144017449,0.9427029284960452,0.5793013827236339,A,859,Correct
1,relearn,5,42,A,56.73109854008087,84.43877075337392,2.8365549270040433,1.3263611093847607,B,706,Incorrect
1,relearn,5,43,A,26.3194096956285,52.15323723351614,1.315970484781425,0.8192211347686998,A,779,Correct
1,relearn,5,44,A,45.659827280438186,68.01723214473392,2.282991364021909,1.0684121841170382,A,1309,Correct
1,relearn,5,45,B,42.29941133154324,20.097171970222146,2.114970566577162,0.315685639097903,A,1100,Incorrect
1,relearn,5,46,B,57.193543993801,32.72656625999396,2.85967719969005,0.514067700698083,B,389,Correct
1,relearn,5,47,B,35.95108925118178,16.976413503170953,1.7975544625590887,0.2666648797293221,A,1546,Incorrect
1,relearn,5,48,B,36.51032453070948,14.287992349745931,1.825516226535474,0.22443525900254488,B,1778,Correct
1,relearn,5,49,B,40.37221666449227,13.513991537516322,2.0186108332246135,0.2122772826746796,A,1377,Incorrect
