experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
1,relearn,23,0,A,57.99556709540262,73.31064175855971,2.899778354770131,1.1515608678932214,A,2200,Correct
1,relearn,23,1,A,48.715509613565374,67.17875646832044,2.4357754806782683,1.0552414389908666,A,2831,Correct
1,relearn,23,2,A,56.3347364814544,73.93308722636773,2.81673682407272,1.1613382184378511,A,1182,Correct
1,relearn,23,3,B,79.20519702503104,49.90123309184419,3.960259851251552,0.7838467364320479,B,1116,Correct
1,relearn,23,4,B,37.68351802088322,11.48026348887587,1.884175901044161,0.1803315571896378,B,1747,Correct
1,relearn,23,5,B,70.22570231595287,55.733357868877256,3.5112851157976435,0.8754575382037783,A,799,Incorrect
1,relearn,23,6,A,67.61459642157952,81.79039739930931,3.380729821078976,1.2847605580192993,A,1291,Correct
1,relearn,23,7,A,51.36702926902582,80.45617113099198,2.568351463451291,1.263802580805438,A,1561,Correct
1,relearn,23,8,B,78.298652317603,51.01543508890696,3.91493261588015,0.8013485804749853,B,931,Correct
1,relearn,23,9,B,36.47182090971599,15.705662104441615,1.8235910454857993,0.24670396343538695,A,1266,Incorrect
1,relearn,23,10,B,62.672887693004895,34.33607272389294,3.133644384650245,0.5393497691125346,A,978,Incorrect
1,relearn,23,11,B,65.701981473494,44.46510060471307,3.2850990736747003,0.6984561670044883,A,1462,Incorrect
1,relearn,23,12,A,66.72580037565601,82.09200050249052,3.3362900187828006,1.289498128485569,A,1808,Correct
1,relearn,23,13,A,68.79921118171231,84.36330407140201,3.4399605590856153,1.3251756815163922,A,1241,Correct
1,relearn,23,14,B,59.556388880754014,33.166470299713666,2.9778194440377006,0.5209776971954226,A,1901,Incorrect
1,relearn,23,15,B,53.72723485912343,42.55893188971869,2.6863617429561715,0.6685141388468432,B,904,Correct
1,relearn,23,16,A,19.288738043104704,34.03597987037128,0.9644369021552351,0.5346359215924424,B,1458,Incorrect
1,relearn,23,17,A,25.638192648349037,55.08391872513498,1.2819096324174517,0.8652561719891065,A,1656,Correct
1,relearn,23,18,A,40.255735536860065,57.23522149279095,2.0127867768430034,0.8990487568416834,B,1276,Incorrect
1,relearn,23,19,B,45.360118590909074,33.06430876189707,2.268005929545454,0.5193729475120022,A,1490,Incorrect
1,relearn,23,20,B,50.62286948212252,20.80230686328861,2.531143474106126,0.32676187209714014,B,1367,Correct
1,relearn,23,21,A,30.539964380934563,53.90746918086406,1.5269982190467284,0.8467765457611035,B,1670,Incorrect
1,relearn,23,22,B,83.83096717646137,61.642541233375006,4.191548358823069,0.9682787734368841,B,2956,Correct
1,relearn,23,23,B,51.31359385102715,30.290024718858355,2.5656796925513574,0.4757945956690932,A,1594,Incorrect
1,relearn,23,24,A,50.08578010554609,80.16025816007607,2.504289005277305,1.2591543907277811,B,1093,Incorrect
1,relearn,23,25,A,35.93266785837717,51.35805644106865,1.7966333929188585,0.8067304640895561,A,3815,Correct
1,relearn,23,26,A,16.254301908418928,38.11689634325927,0.8127150954209463,0.5987388076481348,A,3025,Correct
1,relearn,23,27,A,55.367081966595215,70.85167285990715,2.7683540983297608,1.1129354747561584,B,1188,Incorrect
1,relearn,23,28,A,42.59431830360337,72.88165999544594,2.1297159151801686,1.1448224381156107,B,1430,Incorrect
1,relearn,23,29,A,52.05044066826487,59.09358687992985,2.6025220334132433,0.9282398920812889,B,1860,Incorrect
1,relearn,23,30,B,38.452995714138865,12.888930931590203,1.9226497857069433,0.20245885363655017,B,1371,Correct
1,relearn,23,31,B,50.046227325331,30.574202618529412,2.50231136626655,0.48025845167868914,B,761,Correct
1,relearn,23,32,B,77.78982053093567,64.8309076655844,3.889491026546784,1.018361516238791,B,2066,Correct
1,relearn,23,33,A,48.57733710224139,76.411957894473,2.4288668551120693,1.2002762278384451,A,944,Correct
1,relearn,23,34,B,78.30813765700388,58.55980346610904,3.9154068828501942,0.9198552418239514,A,1229,Incorrect
1,relearn,23,35,A,33.22012826312428,50.78142713868546,1.6610064131562141,0.7976727921884981,A,2012,Correct
1,relearn,23,36,B,65.91631022681486,39.92107529248474,3.295815511340743,0.6270787843113753,A,2725,Incorrect
1,relearn,23,37,B,55.14499190169684,35.01018127284248,2.7572495950848417,0.5499386414380444,A,2408,Incorrect
1,relearn,23,38,B,68.12578986670096,38.71056686605056,3.406289493335048,0.6080641624134044,B,1117,Correct
1,relearn,23,39,A,41.440377152065516,57.50223503502552,2.072018857603276,0.9032429957551489,A,2326,Correct
1,relearn,23,40,B,64.32040034702136,37.01834316268232,3.216020017351068,0.5814827746397436,B,1471,Correct
1,relearn,23,41,A,53.74255081523101,77.68199537612577,2.687127540761551,1.220225929949165,B,1593,Incorrect
1,relearn,23,42,B,33.968111197584115,10.074640103957925,1.6984055598792056,0.15825207669077662,A,4203,Incorrect
1,relearn,23,43,A,36.21358321111893,64.08591407501851,1.8106791605559465,1.0066591842833243,A,1542,Correct
1,relearn,23,44,A,56.85229629837737,83.67620266521378,2.8426148149188686,1.3143827178666312,A,1515,Correct
1,relearn,23,45,A,12.717654497526699,37.29718886379159,0.6358827248763349,0.5858628726701934,B,2064,Incorrect
1,relearn,23,46,A,60.87313068577138,75.69777097647098,3.043656534288569,1.1890578059640196,A,1206,Correct
1,relearn,23,47,A,55.15722588369741,70.22720541349825,2.75786129418487,1.1031263630459376,B,2933,Incorrect
1,relearn,23,48,B,64.99530345640069,36.03620066022415,3.2497651728200343,0.5660553162872392,B,1006,Correct
1,relearn,23,49,B,63.393646082233495,35.84935967035932,3.169682304111675,0.5631204248814952,A,1692,Incorrect
1,relearn,23,50,B,74.84930809563494,44.50428459246694,3.7424654047817465,0.6990716676448178,A,1952,Incorrect
1,relearn,23,51,B,75.35026120349877,44.536470512099555,3.767513060174939,0.699577242888152,B,1564,Correct
1,relearn,23,52,B,44.00973416156078,31.223476510595145,2.200486708078039,0.4904572221260958,A,749,Incorrect
1,relearn,23,53,B,32.4314838778372,11.710280539498171,1.62157419389186,0.18394465657181489,A,1590,Incorrect
1,relearn,23,54,B,49.83956272438669,41.223152398635975,2.4919781362193345,0.6475317636668362,A,2652,Incorrect
1,relearn,23,55,A,54.596450721121,75.7867620144909,2.72982253605605,1.190455673920413,B,1788,Incorrect
1,relearn,23,56,B,62.70818124148993,50.81908782388706,3.1354090620744968,0.7982643648482906,B,909,Correct
1,relearn,23,57,B,65.14295834495117,33.87997596603609,3.2571479172475586,0.5321854179934887,A,2552,Incorrect
1,relearn,23,58,B,32.47026682628582,16.676607875232992,1.623513341314291,0.2619555439381483,A,2518,Incorrect
1,relearn,23,59,B,54.07093558614237,25.59071426486073,2.703546779307118,0.40197799967300996,B,1595,Correct
