experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
1,relearn,3,0,A,30.900294262731393,45.23528487303135,1.5450147131365697,0.710554193200784,B,4568,Incorrect
1,relearn,3,1,B,53.91502235633637,43.23727867772041,2.6957511178168185,0.6791695852757053,B,2573,Correct
1,relearn,3,2,B,67.31520831347937,34.61000762218016,3.365760415673969,0.5436527284326397,B,2267,Correct
1,relearn,3,3,A,56.097620741669914,76.10932903423924,2.804881037083496,1.195522544818072,A,1776,Correct
1,relearn,3,4,B,54.103803438417685,41.30299985685353,2.705190171920884,0.6487860046075566,B,831,Correct
1,relearn,3,5,B,62.66082297455954,44.26865145531543,3.133041148727977,0.6953703509817303,B,1130,Correct
1,relearn,3,6,B,41.161531917928386,25.189834995503272,2.058076595896419,0.39568100283506075,B,1008,Correct
1,relearn,3,7,A,30.05482444458122,56.32967113793333,1.502741222229061,0.8848244051303017,A,1122,Correct
1,relearn,3,8,A,62.29923893967103,84.76851591280905,3.114961946983551,1.3315407342369519,A,731,Correct
1,relearn,3,9,B,64.82594946158639,45.63058188497875,3.2412974730793196,0.7167635041443836,B,588,Correct
1,relearn,3,10,B,51.28836933720254,30.556773095037556,2.564418466860127,0.47998466936390116,B,571,Correct
1,relearn,3,11,B,57.003691042108095,48.35738839709222,2.850184552105405,0.7595960806754661,A,786,Incorrect
1,relearn,3,12,A,13.432332241400381,41.21148071150217,0.6716166120700191,0.6473484252340633,B,988,Incorrect
1,relearn,3,13,A,53.69005398840089,65.44000532996182,2.6845026994200447,1.0279291999774247,B,955,Incorrect
1,relearn,3,14,A,55.1540575638999,71.76838625315924,2.7577028781949946,1.1273351750645988,A,956,Correct
1,relearn,3,15,A,32.991207814775336,61.43997829028493,1.649560390738767,0.9650969221673774,A,796,Correct
1,relearn,3,16,A,34.30312800530981,67.7006855482161,1.7151564002654904,1.063439881806342,A,630,Correct
1,relearn,3,17,B,48.47872753180319,33.29853884004196,2.4239363765901594,0.523052224975751,B,780,Correct
1,relearn,3,18,B,47.28167976292278,21.90939462728259,2.364083988146139,0.34415196602835335,B,653,Correct
1,relearn,3,19,A,35.25095529317879,53.148845667113015,1.7625477646589394,0.8348601154728996,A,484,Correct
1,relearn,3,20,B,84.33591470871535,66.54563456006348,4.216795735435768,1.0452963833118323,B,1451,Correct
1,relearn,3,21,B,40.22524970930214,15.78312053113094,2.011262485465107,0.24792067755661595,B,784,Correct
1,relearn,3,22,A,32.20402028748104,49.30531504171369,1.6102010143740524,0.7744860775898903,A,795,Correct
1,relearn,3,23,A,11.300802753633633,37.549890238884146,0.5650401376816816,0.5898322965879076,A,645,Correct
1,relearn,3,24,A,21.979651478861577,48.115304582908614,1.0989825739430787,0.755793437014505,A,460,Correct
1,relearn,3,25,A,48.77085057370681,57.61923624570091,2.4385425286853404,0.9050808464747436,B,585,Incorrect
1,relearn,3,26,A,58.48272523994231,75.39611839100851,2.9241362619971154,1.1843194582318932,A,4007,Correct
1,relearn,3,27,B,81.56161726471186,57.813477892997355,4.078080863235593,0.908131987135582,B,649,Correct
1,relearn,3,28,B,45.898041463088056,19.479103415074313,2.2949020731544025,0.3059770409365666,B,769,Correct
1,relearn,3,29,B,54.95614580876811,37.17848742930431,2.7478072904384057,0.5839983148974146,B,614,Correct
1,relearn,3,30,B,66.00688519177365,41.51873048809909,3.3003442595886825,0.6521746934389333,B,631,Correct
1,relearn,3,31,B,78.71492476150088,66.39220378396591,3.935746238075044,1.0428862983167189,B,1081,Correct
1,relearn,3,32,A,52.51331790483427,78.17943885336454,2.6256658952417133,1.2280397538175125,A,833,Correct
1,relearn,3,33,B,70.02376286124202,47.54165520131994,3.501188143062101,0.7467825735998285,B,529,Correct
1,relearn,3,34,B,75.52652263682782,61.20979384761094,3.776326131841391,0.9614811933970011,B,1060,Correct
