experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
1,new_learn,8,0,B,70.42520661293823,56.08308319151945,3.521260330646911,0.8809510107257135,B,716,Correct
1,new_learn,8,1,A,58.97118558486642,85.99643700532602,2.948559279243321,1.350828873654148,B,651,Incorrect
1,new_learn,8,2,B,78.50697872984216,62.52322715600638,3.925348936492108,0.9821125555601774,B,664,Correct
1,new_learn,8,3,A,62.26658737593169,73.7531391756613,3.1133293687965846,1.1585116010672156,A,1023,Correct
1,new_learn,8,4,B,63.39367617703606,48.53417665185897,3.169683808851803,0.7623730640875469,B,907,Correct
1,new_learn,8,5,B,65.11562253184782,45.78291307263863,3.2557811265923906,0.7191563168447082,A,1656,Incorrect
1,new_learn,8,6,B,61.882199844405505,31.074249276586034,3.094109992220275,0.4881131662157031,A,968,Incorrect
1,new_learn,8,7,A,31.788914020349146,57.51022809140652,1.5894457010174574,0.9033685503911804,A,1060,Correct
1,new_learn,8,8,A,25.89548416156009,40.33116956840028,1.2947742080780045,0.6335205301338528,A,630,Correct
1,new_learn,8,9,A,12.252563094313093,39.479290568178456,0.6126281547156546,0.6201392460896312,A,604,Correct
1,new_learn,8,10,A,52.2838252460931,75.03296271989544,2.6141912623046553,1.1786150222895018,B,461,Incorrect
1,new_learn,8,11,B,64.0965179324831,51.3105576553436,3.204825896624155,0.8059843549081149,B,748,Correct
1,new_learn,8,12,B,59.23785669798845,40.863875503967186,2.9618928348994222,0.6418882554023561,B,564,Correct
1,new_learn,8,13,B,50.7350794636621,29.216876924985193,2.536753973183105,0.45893762954185313,B,1053,Correct
1,new_learn,8,14,A,13.305133516732507,30.520171250803127,0.6652566758366254,0.47940972893912753,A,531,Correct
1,new_learn,8,15,B,71.99073771452669,41.86940291148646,3.5995368857263346,0.6576830429845848,B,546,Correct
1,new_learn,8,16,A,26.0771619863266,52.93809898047786,1.30385809931633,0.8315497142603929,A,549,Correct
1,new_learn,8,17,B,66.82492263563691,45.777581160412964,3.3412461317818454,0.7190725633633194,B,546,Correct
1,new_learn,8,18,A,53.8902606425148,84.01069287156608,2.6945130321257396,1.319636877741502,B,521,Incorrect
1,new_learn,8,19,A,33.32463657794848,62.79787231975346,1.666231828897424,0.9864266717040365,A,561,Correct
1,new_learn,8,20,B,48.93176056477839,35.92643006085836,2.4465880282389194,0.5643310437445006,B,839,Correct
1,new_learn,8,21,B,68.92087589875926,45.868670500719084,3.4460437949379634,0.7205033913749497,B,557,Correct
1,new_learn,8,22,A,43.2651980628615,72.22717934102458,2.163259903143075,1.1345418800363765,A,572,Correct
1,new_learn,8,23,A,47.756505188666765,76.47707918697654,2.3878252594333382,1.2012991507090516,B,528,Incorrect
1,new_learn,8,24,A,66.06917017657621,80.46321143479781,3.3034585088288106,1.2639131696390151,B,581,Incorrect
1,new_learn,8,25,A,34.95072172287235,53.33192874078271,1.7475360861436176,0.8377359776690865,B,392,Incorrect
1,new_learn,8,26,B,68.04201471150031,38.75036162181427,3.402100735575016,0.6086892569751979,B,395,Correct
1,new_learn,8,27,A,47.70815229907559,78.39414713890501,2.3854076149537797,1.2314123836801063,A,458,Correct
1,new_learn,8,28,B,46.976483767344234,34.32123270861641,2.3488241883672116,0.5391166626976751,A,490,Incorrect
1,new_learn,8,29,B,81.53569212310204,58.62607658411656,4.076784606155102,0.9208962575272659,B,661,Correct
1,new_learn,8,30,B,66.5279036467525,36.58805734362002,3.3263951823376257,0.5747238607991938,B,722,Correct
1,new_learn,8,31,A,53.06197409957115,64.11397469407004,2.6530987049785573,1.0070999594566616,A,518,Correct
1,new_learn,8,32,A,66.21419534045421,87.66024829389218,3.310709767022711,1.3769639602597445,B,618,Incorrect
1,new_learn,8,33,B,80.74250732395043,65.07768830401437,4.037125366197522,1.0222379374424897,B,643,Correct
1,new_learn,8,34,A,48.00310971081891,58.919741115393805,2.4001554855409455,0.9255091291976683,A,822,Correct
1,new_learn,8,35,A,29.0685744429899,41.05011802000291,1.453428722149495,0.6448137460031756,A,716,Correct
1,new_learn,8,36,B,57.22695160624177,38.31561111590785,2.8613475803120885,0.6018602119976976,B,548,Correct
1,new_learn,8,37,B,78.87524291515989,49.84251844360002,3.9437621457579946,0.7829244488941378,B,605,Correct
1,new_learn,8,38,A,39.85939215308137,60.782712738373924,1.9929696076540688,0.9547726190206712,A,548,Correct
1,new_learn,8,39,B,63.10782127538353,51.44436639620195,3.1553910637691764,0.8080862176944481,B,581,Correct
1,new_learn,8,40,B,46.08170157866094,33.93678379250145,2.3040850789330474,0.5330777532449386,A,1314,Incorrect
1,new_learn,8,41,B,62.38654861944824,30.126206385979582,3.119327430972412,0.4732213433136169,B,575,Correct
1,new_learn,8,42,B,59.049741375258115,26.50549507381921,2.9524870687629057,0.41634734301835435,B,604,Correct
1,new_learn,8,43,A,18.854438550201404,48.30293514749353,0.9427219275100702,0.7587407310309493,A,624,Correct
1,new_learn,8,44,A,35.611558921370566,64.90534077035215,1.7805779460685285,1.019530708714402,A,809,Correct
1,new_learn,8,45,A,32.370006020747496,40.56229335925356,1.6185003010373749,0.6371510141509252,A,599,Correct
1,new_learn,8,46,B,59.10202533358703,36.96147286740212,2.9551012666793515,0.5805894581304448,B,571,Correct
1,new_learn,8,47,A,18.5540336852628,44.63589336308511,0.92770168426314,0.7011389733794279,A,659,Correct
1,new_learn,8,48,B,55.225649955561636,40.98723854004637,2.7612824977780814,0.6438260374417105,B,597,Correct
1,new_learn,8,49,B,59.32413731168875,39.34978258618609,2.9662068655844376,0.618104939465589,B,487,Correct
1,new_learn,8,50,B,73.40498721442856,52.50413173827734,3.670249360721428,0.8247329727604138,B,436,Correct
1,new_learn,8,51,B,67.47944399016338,46.622247253073546,3.3739721995081684,0.732340547320514,B,371,Correct
1,new_learn,8,52,A,29.40593397636736,41.08824252706936,1.470296698818368,0.6454126043597841,A,1111,Correct
1,new_learn,8,53,B,61.137230692974114,50.33047817173071,3.056861534648706,0.7905893023798531,B,660,Correct
1,new_learn,8,54,B,89.74824035616727,67.47859569917324,4.487412017808364,1.0599513026153922,B,502,Correct
1,new_learn,8,55,A,52.81595141666031,82.28331913431273,2.6407975708330156,1.2925033545267066,A,573,Correct
1,new_learn,8,56,A,56.47074117262042,78.84493464731838,2.823537058631021,1.238493337303914,A,794,Correct
1,new_learn,8,57,A,45.032396610214256,58.40437154891525,2.251619830510713,0.9174137229780044,B,613,Incorrect
1,new_learn,8,58,B,54.37424146306865,42.898054590251874,2.7187120731534327,0.6738410657701459,A,672,Incorrect
1,new_learn,8,59,B,78.51774987714192,49.361657985766655,3.925887493857096,0.7753711104854825,B,609,Correct
1,new_learn,8,60,B,80.26390974294367,57.72783696152033,4.0131954871471835,0.906786742529708,B,567,Correct
1,new_learn,8,61,B,55.60780269816426,40.237092408011435,2.7803901349082127,0.6320427695541118,B,556,Correct
1,new_learn,8,62,B,35.88086868348079,12.756340218143592,1.7940434341740397,0.20037612358005966,A,734,Incorrect
1,new_learn,8,63,B,47.9127636629568,30.422344238533586,2.39563818314784,0.47787306582378447,B,699,Correct
1,new_learn,8,64,B,42.894208460467596,23.12961221934836,2.1447104230233798,0.3633190991434276,B,582,Correct
1,new_learn,8,65,B,48.34531082416558,33.92173189444003,2.417265541208279,0.5328413185830768,B,890,Correct
1,new_learn,8,66,A,40.97457987377205,55.21236392557385,2.0487289936886026,0.8672737844795446,B,494,Incorrect
1,new_learn,8,67,A,16.603488280362736,32.782975760670126,0.8301744140181369,0.5149537790626676,A,565,Correct
