experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,new_learn,46,0,A,47.319485562655025,55.16420727224194,2.365974278132751,0.8665173415378995,A,1505,Correct
2,new_learn,46,1,A,17.681391569775524,44.97778696272891,0.8840695784887762,0.7065094254841796,B,914,Incorrect
2,new_learn,46,2,B,53.3860346047488,26.66052684408845,2.66930173023744,0.4187825763711088,A,1186,Incorrect
2,new_learn,46,3,A,57.25043865156975,71.71742993482523,2.862521932578488,1.1265347550879383,B,1017,Incorrect
2,new_learn,46,4,B,55.95975505310292,26.843987001638414,2.7979877526551458,0.42166436178703576,A,879,Incorrect
2,new_learn,46,5,B,56.231077159104956,47.519787141185866,2.811553857955248,0.746439070914501,B,719,Correct
2,new_learn,46,6,A,17.45529547159614,34.24103114900795,0.8727647735798071,0.5378568595453134,A,658,Correct
2,new_learn,46,7,B,76.18246130113732,59.36121904627612,3.809123065056866,0.9324438483195779,B,791,Correct
2,new_learn,46,8,A,29.111822014759433,54.187976388363225,1.4555911007379718,0.8511827426728953,A,859,Correct
2,new_learn,46,9,B,64.8146884057677,45.220053863067676,3.2407344202883848,0.7103149450557408,B,689,Correct
2,new_learn,46,10,A,22.505721609531392,51.22636212719337,1.1252860804765696,0.8046618146446055,A,691,Correct
2,new_learn,46,11,A,31.94240613077389,53.644762265124335,1.5971203065386945,0.8426499551784278,B,1001,Incorrect
2,new_learn,46,12,B,68.63600291439963,41.85397474220814,3.4318001457199814,0.6574406978682692,B,864,Correct
2,new_learn,46,13,A,37.50158468085493,70.55455784705566,1.8750792340427467,1.1082684030479308,B,1018,Incorrect
2,new_learn,46,14,A,26.24560152897123,49.77263427098375,1.3122800764485616,0.7818267108776706,B,1204,Incorrect
2,new_learn,46,15,B,52.9153814598767,39.35339323174514,2.645769072993835,0.6181616553534041,A,611,Incorrect
2,new_learn,46,16,A,46.79582624768011,64.41274690963651,2.3397913123840057,1.0117930624442635,A,537,Correct
2,new_learn,46,17,B,49.04703205588132,35.610340634352525,2.452351602794066,0.55936592264356,A,848,Incorrect
2,new_learn,46,18,B,82.25682980218076,65.836477647599,4.112841490109037,1.034156972579628,B,875,Correct
