condition,subject,trial,su,rotation,rt,mt,ep
blocked,1201,1,0.0,0.0,825,117,-1.53
blocked,1201,2,0.0,1.0,857,84,-2.59
blocked,1201,3,0.0,1.0,1941,92,-2.64
blocked,1201,4,26.78,0.0,858,109,-1.6
blocked,1201,5,0.0,0.0,1092,91,-1.51
blocked,1201,6,0.0,0.0,1209,83,-1.57
blocked,1201,7,0.0,0.0,533,117,-1.7
blocked,1201,8,0.0,0.0,533,116,-1.54
blocked,1201,9,26.78,0.0,559,108,-1.51
blocked,1201,10,0.0,0.0,650,100,-1.61
blocked,1201,11,26.78,0.0,550,116,-1.49
blocked,1201,12,26.78,0.0,650,133,-1.56
blocked,1201,13,0.0,0.0,691,126,-1.5
blocked,1201,14,0.0,0.0,858,141,-1.51
blocked,1201,15,26.78,0.0,18782,166,-1.73
blocked,1201,16,0.0,0.0,801,183,-1.66
blocked,1201,17,26.78,0.0,7766,108,-1.63
blocked,1201,18,0.0,0.0,625,109,-1.58
blocked,1201,19,0.0,0.0,1459,158,-1.64
blocked,1201,20,26.78,0.0,541,126,-1.61
blocked,1201,21,26.78,0.0,709,133,-1.59
blocked,1201,22,26.78,0.0,2575,134,-1.6
blocked,1201,23,26.78,0.0,792,108,-1.59
blocked,1201,24,26.78,0.0,533,117,-1.59
blocked,1201,25,0.0,0.0,625,108,-1.63
blocked,1201,26,26.78,0.0,500,133,-1.55
blocked,1201,27,0.0,0.0,584,108,-1.51
blocked,1201,28,0.0,0.0,724,126,-1.57
blocked,1201,29,26.78,0.0,500,151,-1.6
blocked,1201,30,26.78,0.26,1033,117,-1.93
blocked,1201,31,26.78,0.26,550,109,-1.95
blocked,1201,32,26.78,0.26,633,117,-1.95
blocked,1201,33,26.78,0.26,3375,111,-1.92
blocked,1201,34,26.78,0.26,492,116,-1.84
blocked,1201,35,26.78,0.26,434,124,-1.9
blocked,1201,36,26.78,0.26,424,117,-1.91
blocked,1201,37,26.78,0.26,325,133,-1.95
blocked,1201,38,26.78,0.26,416,142,-1.92
blocked,1201,39,26.78,0.26,524,167,-1.93
blocked,1201,40,26.78,0.26,1633,133,-1.84
blocked,1201,41,26.78,0.26,708,125,-1.88
blocked,1201,42,26.78,0.26,1333,159,-1.92
blocked,1201,43,26.78,0.26,842,175,-1.94
blocked,1201,44,26.78,0.26,700,117,-1.95
blocked,1201,45,26.78,0.26,541,142,-1.91
blocked,1201,46,26.78,0.26,841,142,-1.91
blocked,1201,47,26.78,0.26,575,100,-1.91
blocked,1201,48,26.78,0.26,617,167,-1.99
blocked,1201,49,26.78,0.26,575,141,-1.94
blocked,1201,50,26.78,0.26,442,141,-1.91
blocked,1201,51,26.78,0.26,550,150,-1.91
blocked,1201,52,26.78,0.26,566,126,-1.86
blocked,1201,53,26.78,0.26,469,150,-1.9
blocked,1201,54,26.78,0.26,567,158,-1.88
blocked,1201,55,26.78,0.26,567,133,-1.92
blocked,1201,56,26.78,0.26,750,142,-1.96
blocked,1201,57,26.78,0.26,532,150,-1.91
blocked,1201,58,26.78,0.26,475,141,-1.91
blocked,1201,59,26.78,0.26,541,142,-1.93
blocked,1201,60,26.78,0.26,567,141,-1.88
blocked,1201,61,26.78,0.26,500,133,-1.82
blocked,1201,62,26.78,0.26,600,141,-1.97
blocked,1201,63,26.78,0.26,666,134,-1.91
blocked,1201,64,26.78,0.26,658,142,-1.88
blocked,1201,65,26.78,0.26,517,175,-1.89
blocked,1201,66,26.78,0.26,565,142,-1.83
blocked,1201,67,26.78,0.26,583,150,-1.92
blocked,1201,68,26.78,0.26,509,150,-1.85
blocked,1201,69,26.78,0.26,608,142,-1.86
blocked,1201,70,26.78,0.26,642,142,-1.85
blocked,1201,71,26.78,0.26,600,150,-1.94
blocked,1201,72,26.78,0.26,442,158,-1.93
blocked,1201,73,26.78,0.26,1316,142,-1.95
blocked,1201,74,26.78,0.26,436,149,-1.96
blocked,1201,75,26.78,0.26,458,150,-1.93
blocked,1201,76,26.78,0.26,458,167,-1.99
blocked,1201,77,26.78,0.26,457,151,-1.97
blocked,1201,78,26.78,0.26,1591,142,-1.9
blocked,1201,79,26.78,0.26,458,183,-1.93
blocked,1201,80,26.78,0.26,523,159,-1.99
blocked,1201,81,26.78,0.26,466,150,-1.95
blocked,1201,82,26.78,0.26,434,174,-1.96
blocked,1201,83,26.78,0.26,350,158,-1.94
blocked,1201,84,26.78,0.26,467,158,-1.92
blocked,1201,85,26.78,0.26,359,158,-1.93
blocked,1201,86,26.78,0.26,433,142,-1.94
blocked,1201,87,26.78,0.26,441,143,-1.93
blocked,1201,88,26.78,0.26,292,158,-1.99
blocked,1201,89,26.78,0.26,358,167,-1.96
blocked,1201,90,26.78,0.26,567,158,-1.96
blocked,1201,91,26.78,0.26,459,150,-2.06
blocked,1201,92,26.78,0.26,458,134,-1.94
blocked,1201,93,26.78,0.26,475,175,-1.91
blocked,1201,94,26.78,0.26,1225,125,-1.98
blocked,1201,95,26.78,0.26,1916,150,-1.94
blocked,1201,96,26.78,0.26,492,150,-1.98
blocked,1201,97,26.78,0.26,524,142,-1.95
blocked,1201,98,26.78,0.26,359,133,-1.84
blocked,1201,99,26.78,0.26,441,184,-1.95
blocked,1201,100,26.78,0.26,424,159,-1.98
blocked,1201,101,26.78,0.26,550,166,-1.98
blocked,1201,102,26.78,0.26,633,177,-1.95
blocked,1201,103,26.78,0.26,467,158,-1.96
blocked,1201,104,26.78,0.26,474,175,-1.94
blocked,1201,105,26.78,0.26,550,167,-1.96
blocked,1201,106,26.78,0.26,367,174,-1.92
blocked,1201,107,26.78,0.26,415,160,-1.9
blocked,1201,108,26.78,0.26,408,193,-1.94
blocked,1201,109,26.78,0.26,509,150,-2.0
blocked,1201,110,26.78,0.26,425,167,-1.96
blocked,1201,111,26.78,0.26,458,166,-1.92
blocked,1201,112,26.78,0.26,384,175,-1.96
blocked,1201,113,26.78,0.26,458,158,-1.92
blocked,1201,114,26.78,0.26,450,149,-2.03
blocked,1201,115,26.78,0.26,516,176,-2.0
blocked,1201,116,26.78,0.26,409,200,-1.93
blocked,1201,117,26.78,0.26,564,192,-1.89
blocked,1201,118,26.78,0.26,534,174,-1.88
blocked,1201,119,26.78,0.26,358,175,-1.92
blocked,1201,120,26.78,0.26,366,192,-1.93
blocked,1201,121,26.78,0.26,334,166,-1.89
blocked,1201,122,26.78,0.26,333,183,-1.95
blocked,1201,123,26.78,0.26,875,142,-1.9
blocked,1201,124,26.78,0.26,483,167,-1.95
blocked,1201,125,26.78,0.26,500,167,-1.98
blocked,1201,126,26.78,0.26,465,167,-1.92
blocked,1201,127,26.78,0.26,416,183,-1.91
blocked,1201,128,26.78,0.26,509,166,-1.93
blocked,1201,129,26.78,0.26,791,159,-2.0
blocked,1201,130,26.78,0.0,9732,142,-1.81
blocked,1201,131,26.78,0.0,11116,116,-1.65
blocked,1201,132,26.78,0.0,516,142,-1.59
blocked,1201,133,26.78,0.0,475,150,-1.57
blocked,1201,134,26.78,0.0,559,166,-1.58
blocked,1201,135,26.78,0.0,400,175,-1.63
blocked,1201,136,26.78,0.0,466,159,-1.65
blocked,1201,137,26.78,0.0,467,141,-1.65
blocked,1201,138,26.78,0.0,466,151,-1.62
blocked,1201,139,26.78,0.0,418,141,-1.67
blocked,1201,140,26.78,0.0,416,142,-1.72
blocked,1201,141,26.78,0.0,492,133,-1.66
blocked,1201,142,26.78,0.0,509,132,-1.65
blocked,1201,143,26.78,0.0,576,116,-1.63
blocked,1201,144,26.78,0.0,424,126,-1.63
blocked,1201,145,26.78,0.0,317,166,-1.64
blocked,1201,146,26.78,0.0,500,167,-1.69
blocked,1201,147,26.78,0.0,559,141,-1.69
blocked,1201,148,26.78,0.0,500,150,-1.68
blocked,1201,149,26.78,0.0,425,158,-1.68
blocked,1201,150,26.78,0.0,841,125,-1.59
blocked,1201,151,26.78,0.0,508,150,-1.69
blocked,1201,152,26.78,0.0,442,159,-1.68
blocked,1201,153,26.78,0.0,441,159,-1.66
blocked,1201,154,26.78,0.0,483,159,-1.71
blocked,1201,155,26.78,0.0,451,166,-1.73
blocked,1201,156,26.78,0.0,458,175,-1.67
blocked,1201,157,26.78,0.0,417,183,-1.68
blocked,1201,158,26.78,0.0,467,133,-1.63
blocked,1201,159,26.78,0.0,517,117,-1.65
blocked,1201,160,26.78,0.0,566,158,-1.68
blocked,1201,161,26.78,0.0,541,134,-1.64
blocked,1201,162,26.78,0.0,541,150,-1.69
blocked,1201,163,26.78,0.0,499,169,-1.69
blocked,1201,164,26.78,0.0,574,150,-1.63
blocked,1201,165,26.78,0.0,408,159,-1.7
blocked,1201,166,26.78,0.0,400,175,-1.73
blocked,1201,167,26.78,0.0,434,166,-1.7
blocked,1201,168,26.78,0.0,517,166,-1.64
blocked,1201,169,26.78,0.0,374,159,-1.66
blocked,1201,170,26.78,0.0,450,133,-1.68
blocked,1201,171,26.78,0.0,426,150,-1.73
blocked,1201,172,26.78,0.0,357,141,-1.67
blocked,1201,173,26.78,0.0,400,150,-1.63
blocked,1201,174,26.78,0.0,333,134,-1.66
blocked,1201,175,26.78,0.0,383,150,-1.69
blocked,1201,176,26.78,0.0,341,159,-1.7
blocked,1201,177,26.78,0.0,450,167,-1.69
blocked,1201,178,26.78,0.0,458,167,-1.7
blocked,1201,179,26.78,0.0,416,142,-1.74
blocked,1201,180,26.78,0.0,581,133,-1.67
blocked,1201,181,26.78,0.0,409,157,-1.71
blocked,1201,182,26.78,0.0,841,124,-1.57
blocked,1201,183,26.78,0.0,442,124,-1.57
blocked,1201,184,26.78,0.0,375,125,-1.63
blocked,1201,185,26.78,0.0,376,124,-1.67
blocked,1201,186,26.78,0.0,400,175,-1.56
blocked,1201,187,26.78,0.0,491,117,-1.64
blocked,1201,188,26.78,0.0,350,126,-1.66
blocked,1201,189,26.78,0.0,700,141,-1.69
blocked,1201,190,26.78,0.0,283,133,-1.73
blocked,1201,191,26.78,0.0,517,109,-1.68
blocked,1201,192,26.78,0.0,417,116,-1.63
blocked,1201,193,26.78,0.0,408,142,-1.72
blocked,1201,194,26.78,0.0,433,141,-1.67
blocked,1201,195,26.78,0.0,425,158,-1.64
blocked,1201,196,26.78,0.0,534,124,-1.68
blocked,1201,197,26.78,0.0,559,141,-1.67
blocked,1201,198,26.78,0.0,517,125,-1.61
blocked,1201,199,26.78,0.0,475,134,-1.7
blocked,1201,200,26.78,0.0,490,150,-1.73
blocked,1201,201,26.78,0.0,483,133,-1.7
blocked,1201,202,26.78,0.0,343,141,-1.7
blocked,1201,203,26.78,0.0,350,166,-1.6
blocked,1201,204,26.78,0.0,458,126,-1.67
blocked,1201,205,26.78,0.0,433,134,-1.66
blocked,1201,206,26.78,0.0,375,159,-1.65
blocked,1201,207,26.78,0.0,403,175,-1.64
blocked,1201,208,26.78,0.0,367,183,-1.61
blocked,1201,209,26.78,0.0,500,167,-1.62
blocked,1201,210,26.78,0.0,484,168,-1.66
blocked,1201,211,26.78,0.0,709,150,-1.65
blocked,1201,212,26.78,0.0,417,133,-1.71
blocked,1201,213,26.78,0.0,336,122,-1.62
blocked,1201,214,26.78,0.0,358,142,-1.76
blocked,1201,215,0.0,0.0,325,125,-1.7
blocked,1201,216,0.0,0.0,260,132,-1.74
blocked,1201,217,0.0,0.0,550,133,-1.67
blocked,1201,218,0.0,0.0,383,133,-1.75
blocked,1201,219,0.0,0.0,442,163,-1.67
blocked,1201,220,0.0,0.0,409,150,-1.65
blocked,1201,221,0.0,0.0,350,150,-1.59
blocked,1201,222,0.0,0.0,333,150,-1.67
blocked,1201,223,0.0,0.0,365,158,-1.54
blocked,1201,224,0.0,0.0,358,183,-1.7
blocked,1201,225,0.0,0.0,566,150,-1.62
blocked,1201,226,0.0,0.0,683,175,-1.53
blocked,1201,227,0.0,0.0,417,183,-1.68
blocked,1201,228,0.0,0.0,358,159,-1.7
blocked,1201,229,0.0,0.0,559,167,-1.61
blocked,1201,230,0.0,0.26,567,142,-1.93
blocked,1201,231,0.0,0.26,467,142,-1.91
blocked,1201,232,0.0,0.26,293,165,-1.85
blocked,1201,233,0.0,0.26,375,158,-1.95
blocked,1201,234,0.0,0.26,388,133,-1.92
blocked,1201,235,0.0,0.26,416,142,-1.9
blocked,1201,236,0.0,0.26,508,150,-2.01
blocked,1201,237,0.0,0.26,441,167,-1.85
blocked,1201,238,0.0,0.26,441,150,-1.91
blocked,1201,239,0.0,0.26,475,158,-1.93
blocked,1201,240,0.0,0.26,342,141,-1.99
blocked,1201,241,0.0,0.26,325,133,-1.86
blocked,1201,242,0.0,0.26,333,142,-1.93
blocked,1201,243,0.0,0.26,300,150,-1.97
blocked,1201,244,0.0,0.26,400,133,-1.93
blocked,1201,245,0.0,0.26,242,155,-1.97
blocked,1201,246,0.0,0.26,341,150,-1.94
blocked,1201,247,0.0,0.26,351,140,-1.96
blocked,1201,248,0.0,0.26,343,149,-1.99
blocked,1201,249,0.0,0.26,400,141,-1.96
blocked,1201,250,0.0,0.26,376,141,-2.0
blocked,1201,251,0.0,0.26,400,141,-1.98
blocked,1201,252,0.0,0.26,176,150,-1.93
blocked,1201,253,0.0,0.26,442,150,-1.92
blocked,1201,254,0.0,0.26,358,142,-2.0
blocked,1201,255,0.0,0.26,383,142,-1.89
blocked,1201,256,0.0,0.26,392,167,-1.93
blocked,1201,257,0.0,0.26,76,207,-2.0
blocked,1201,258,0.0,0.26,401,165,-1.94
blocked,1201,259,0.0,0.26,366,150,-1.95
blocked,1201,260,0.0,0.26,425,167,-1.92
blocked,1201,261,0.0,0.26,334,183,-1.92
blocked,1201,262,0.0,0.26,392,158,-1.97
blocked,1201,263,0.0,0.26,425,158,-1.95
blocked,1201,264,0.0,0.26,341,150,-1.98
blocked,1201,265,0.0,0.26,505,141,-1.95
blocked,1201,266,0.0,0.26,425,142,-1.95
blocked,1201,267,0.0,0.26,374,138,-1.97
blocked,1201,268,0.0,0.26,526,146,-2.0
blocked,1201,269,0.0,0.26,318,155,-2.03
blocked,1201,270,0.0,0.26,427,181,-1.86
blocked,1201,271,0.0,0.26,336,155,-1.91
blocked,1201,272,0.0,0.26,490,145,-1.91
blocked,1201,273,0.0,0.26,356,154,-1.86
blocked,1201,274,0.0,0.26,438,136,-1.96
blocked,1201,275,0.0,0.26,482,144,-2.01
blocked,1201,276,0.0,0.26,400,153,-1.93
blocked,1201,277,0.0,0.26,353,155,-1.95
blocked,1201,278,0.0,0.26,455,119,-1.92
blocked,1201,279,0.0,0.26,735,100,-2.01
blocked,1201,280,0.0,0.26,519,119,-1.89
blocked,1201,281,0.0,0.26,564,109,-1.94
blocked,1201,282,0.0,0.26,482,127,-1.93
blocked,1201,283,0.0,0.26,554,145,-1.85
blocked,1201,284,0.0,0.26,509,127,-1.97
blocked,1201,285,0.0,0.26,507,118,-1.93
blocked,1201,286,0.0,0.26,509,155,-1.97
blocked,1201,287,0.0,0.26,372,148,-1.93
blocked,1201,288,0.0,0.26,482,109,-1.94
blocked,1201,289,0.0,0.26,482,117,-2.0
blocked,1201,290,0.0,0.26,355,127,-1.96
blocked,1201,291,0.0,0.26,425,117,-1.93
blocked,1201,292,0.0,0.26,633,108,-2.0
blocked,1201,293,0.0,0.26,524,134,-1.99
blocked,1201,294,0.0,0.26,332,117,-2.01
blocked,1201,295,0.0,0.26,1076,141,-1.95
blocked,1201,296,0.0,0.26,509,116,-1.88
blocked,1201,297,0.0,0.26,408,126,-1.94
blocked,1201,298,0.0,0.26,284,142,-2.01
blocked,1201,299,0.0,0.26,286,131,-1.99
blocked,1201,300,0.0,0.26,341,159,-1.96
blocked,1201,301,0.0,0.26,300,141,-1.94
blocked,1201,302,0.0,0.26,409,125,-2.03
blocked,1201,303,0.0,0.26,375,133,-2.0
blocked,1201,304,0.0,0.26,409,125,-1.97
blocked,1201,305,0.0,0.26,300,116,-2.02
blocked,1201,306,0.0,0.26,359,150,-2.01
blocked,1201,307,0.0,0.26,333,125,-2.0
blocked,1201,308,0.0,0.26,366,126,-1.94
blocked,1201,309,0.0,0.26,309,133,-2.04
blocked,1201,310,0.0,0.26,258,168,-2.0
blocked,1201,311,0.0,0.26,433,150,-1.97
blocked,1201,312,0.0,0.26,434,150,-1.9
blocked,1201,313,0.0,0.26,1833,167,-1.92
blocked,1201,314,0.0,0.26,1392,150,-1.89
blocked,1201,315,0.0,0.26,541,150,-1.9
blocked,1201,316,0.0,0.26,383,159,-1.96
blocked,1201,317,0.0,0.26,349,174,-1.94
blocked,1201,318,0.0,0.26,152,198,-1.89
blocked,1201,319,0.0,0.26,508,150,-1.94
blocked,1201,320,0.0,0.26,216,176,-1.99
blocked,1201,321,0.0,0.26,358,158,-1.93
blocked,1201,322,0.0,0.26,433,167,-1.94
blocked,1201,323,0.0,0.26,375,150,-1.97
blocked,1201,324,0.0,0.26,292,150,-2.01
blocked,1201,325,0.0,0.26,457,141,-1.97
blocked,1201,326,0.0,0.26,424,133,-2.03
blocked,1201,327,0.0,0.26,325,167,-1.94
blocked,1201,328,0.0,0.26,416,134,-1.96
blocked,1201,329,0.0,0.26,343,166,-2.05
blocked,1201,330,0.0,0.0,658,142,-1.71
blocked,1201,331,0.0,0.0,964,125,-1.71
blocked,1201,332,0.0,0.0,483,142,-1.64
blocked,1201,333,0.0,0.0,442,124,-1.61
blocked,1201,334,0.0,0.0,500,133,-1.6
blocked,1201,335,0.0,0.0,434,141,-1.71
blocked,1201,336,0.0,0.0,358,157,-1.67
blocked,1201,337,0.0,0.0,499,143,-1.77
blocked,1201,338,0.0,0.0,467,133,-1.73
blocked,1201,339,0.0,0.0,389,127,-1.69
blocked,1201,340,0.0,0.0,466,151,-1.67
blocked,1201,341,0.0,0.0,383,117,-1.71
blocked,1201,342,0.0,0.0,658,117,-1.73
blocked,1201,343,0.0,0.0,341,142,-1.71
blocked,1201,344,0.0,0.0,366,125,-1.67
blocked,1201,345,0.0,0.0,383,142,-1.71
blocked,1201,346,0.0,0.0,483,117,-1.74
blocked,1201,347,0.0,0.0,533,126,-1.67
blocked,1201,348,0.0,0.0,492,124,-1.66
blocked,1201,349,0.0,0.0,367,150,-1.64
blocked,1201,350,0.0,0.0,343,142,-1.72
blocked,1201,351,0.0,0.0,375,142,-1.62
blocked,1201,352,0.0,0.0,391,134,-1.69
blocked,1201,353,0.0,0.0,426,150,-1.75
blocked,1201,354,0.0,0.0,417,133,-1.69
blocked,1201,355,0.0,0.0,509,133,-1.69
blocked,1201,356,0.0,0.0,442,142,-1.67
blocked,1201,357,0.0,0.0,515,142,-1.7
blocked,1201,358,0.0,0.0,525,125,-1.65
blocked,1201,359,0.0,0.0,342,149,-1.68
blocked,1201,360,0.0,0.0,383,142,-1.71
blocked,1201,361,0.0,0.0,384,143,-1.75
blocked,1201,362,0.0,0.0,368,133,-1.66
blocked,1201,363,0.0,0.0,424,150,-1.66
blocked,1201,364,0.0,0.0,358,158,-1.71
blocked,1201,365,0.0,0.0,508,143,-1.66
blocked,1201,366,0.0,0.0,442,141,-1.73
blocked,1201,367,0.0,0.0,384,158,-1.76
blocked,1201,368,0.0,0.0,350,158,-1.67
blocked,1201,369,0.0,0.0,367,133,-1.67
blocked,1201,370,0.0,0.0,258,125,-1.73
blocked,1201,371,0.0,0.0,434,132,-1.69
blocked,1201,372,0.0,0.0,383,150,-1.7
blocked,1201,373,0.0,0.0,333,135,-1.75
blocked,1201,374,0.0,0.0,275,150,-1.78
blocked,1201,375,0.0,0.0,542,150,-1.71
blocked,1201,376,0.0,0.0,734,141,-1.69
blocked,1201,377,0.0,0.0,392,158,-1.78
blocked,1201,378,0.0,0.0,367,133,-1.71
blocked,1201,379,0.0,0.0,317,133,-1.71
blocked,1201,380,0.0,0.0,358,142,-1.71
blocked,1201,381,0.0,0.0,383,150,-1.64
blocked,1201,382,0.0,0.0,359,150,-1.66
blocked,1201,383,0.0,0.0,424,150,-1.69
blocked,1201,384,0.0,0.0,425,150,-1.67
blocked,1201,385,0.0,0.0,385,167,-1.65
blocked,1201,386,0.0,0.0,450,184,-1.62
blocked,1201,387,0.0,0.0,384,166,-1.63
blocked,1201,388,0.0,0.0,225,192,-1.6
blocked,1201,389,0.0,0.0,359,158,-1.69
blocked,1201,390,0.0,0.0,417,224,-1.67
blocked,1201,391,0.0,0.0,483,175,-1.7
blocked,1201,392,0.0,0.0,433,183,-1.66
blocked,1201,393,0.0,0.0,158,233,-1.66
blocked,1201,394,0.0,0.0,491,150,-1.67
blocked,1201,395,0.0,0.0,241,176,-1.67
blocked,1201,396,0.0,0.0,267,192,-1.71
blocked,1201,397,0.0,0.0,425,159,-1.62
blocked,1201,398,0.0,0.0,475,150,-1.62
blocked,1201,399,0.0,0.0,433,167,-1.64
blocked,1201,400,0.0,0.0,384,158,-1.66
blocked,1201,401,0.0,0.0,416,175,-1.58
blocked,1201,402,0.0,0.0,408,175,-1.61
blocked,1201,403,0.0,0.0,1417,141,-1.55
blocked,1201,404,0.0,0.0,441,159,-1.59
blocked,1201,405,0.0,0.0,308,192,-1.66
blocked,1201,406,0.0,0.0,484,159,-1.55
blocked,1201,407,0.0,0.0,392,158,-1.74
blocked,1201,408,0.0,0.0,381,167,-1.68
blocked,1201,409,0.0,0.0,383,183,-1.59
blocked,1201,410,0.0,0.0,399,167,-1.65
blocked,1201,411,0.0,0.0,450,175,-1.66
blocked,1201,412,0.0,0.0,376,133,-1.73
blocked,1201,413,0.0,0.0,350,158,-1.64
blocked,1201,414,0.0,0.0,324,134,-1.68
blocked,1201,415,0.0,0.0,383,167,-1.57
blocked,1201,416,0.0,0.0,383,159,-1.65
blocked,1201,417,0.0,0.0,425,166,-1.63
blocked,1201,418,0.0,0.0,325,192,-1.58
blocked,1201,419,0.0,0.0,349,167,-1.67
blocked,1201,420,0.0,0.0,466,150,-1.59
blocked,1201,421,0.0,0.0,410,165,-1.75
blocked,1201,422,0.0,0.0,424,225,-1.55
blocked,1201,423,0.0,0.0,359,191,-1.65
blocked,1201,424,0.0,0.0,384,174,-1.54
blocked,1201,425,0.0,0.0,484,174,-1.69
blocked,1201,426,0.0,0.0,450,183,-1.67
blocked,1201,427,0.0,0.0,366,184,-1.66
blocked,1201,428,0.0,0.0,466,142,-1.6
blocked,1201,429,0.0,0.0,500,158,-1.66
