condition,subject,trial,su,rotation,rt,mt,ep
blocked,1301,1,26.78,0.0,984,100,-1.54
blocked,1301,2,26.78,0.0,566,108,-1.57
blocked,1301,3,0.0,0.0,1391,117,-1.59
blocked,1301,4,26.78,0.0,725,92,-1.54
blocked,1301,5,26.78,0.0,457,93,-1.53
blocked,1301,6,26.78,0.0,450,84,-1.54
blocked,1301,7,26.78,0.0,433,109,-1.54
blocked,1301,8,0.0,0.0,500,125,-1.54
blocked,1301,9,26.78,0.0,458,100,-1.53
blocked,1301,10,0.0,0.0,633,117,-1.56
blocked,1301,11,0.0,0.0,490,125,-1.57
blocked,1301,12,26.78,0.0,317,150,-1.61
blocked,1301,13,26.78,0.0,392,125,-1.58
blocked,1301,14,26.78,0.0,359,125,-1.54
blocked,1301,15,26.78,0.0,425,108,-1.56
blocked,1301,16,26.78,0.0,517,117,-1.63
blocked,1301,17,0.0,0.0,317,133,-1.58
blocked,1301,18,26.78,0.0,367,133,-1.61
blocked,1301,19,26.78,0.0,426,124,-1.58
blocked,1301,20,26.78,0.0,425,125,-1.58
blocked,1301,21,0.0,0.0,442,117,-1.61
blocked,1301,22,0.0,0.0,450,116,-1.56
blocked,1301,23,0.0,0.0,459,117,-1.59
blocked,1301,24,26.78,0.0,383,117,-1.6
blocked,1301,25,0.0,0.0,392,141,-1.59
blocked,1301,26,0.0,0.0,466,133,-1.59
blocked,1301,27,0.0,0.0,358,108,-1.59
blocked,1301,28,0.0,0.0,392,133,-1.6
blocked,1301,29,26.78,0.0,484,150,-1.61
blocked,1301,30,0.0,0.26,692,108,-1.85
blocked,1301,31,0.0,0.26,449,134,-1.8
blocked,1301,32,0.0,0.26,217,133,-1.84
blocked,1301,33,0.0,0.26,350,142,-1.95
blocked,1301,34,0.0,0.26,350,117,-1.94
blocked,1301,35,0.0,0.26,375,133,-1.94
blocked,1301,36,0.0,0.26,293,134,-1.95
blocked,1301,37,0.0,0.26,358,134,-2.04
blocked,1301,38,0.0,0.26,234,183,-1.93
blocked,1301,39,0.0,0.26,408,134,-1.89
blocked,1301,40,0.0,0.26,458,134,-1.94
blocked,1301,41,0.0,0.26,367,133,-1.93
blocked,1301,42,0.0,0.26,275,133,-1.92
blocked,1301,43,0.0,0.26,409,125,-1.93
blocked,1301,44,0.0,0.26,310,107,-1.92
blocked,1301,45,0.0,0.26,350,125,-1.9
blocked,1301,46,0.0,0.26,350,133,-1.94
blocked,1301,47,0.0,0.26,392,123,-1.89
blocked,1301,48,0.0,0.26,447,137,-1.95
blocked,1301,49,0.0,0.26,458,125,-1.94
blocked,1301,50,0.0,0.26,391,142,-1.94
blocked,1301,51,0.0,0.26,291,125,-1.95
blocked,1301,52,0.0,0.26,525,141,-1.95
blocked,1301,53,0.0,0.26,317,166,-2.02
blocked,1301,54,0.0,0.26,358,150,-1.9
blocked,1301,55,0.0,0.26,359,158,-1.94
blocked,1301,56,0.0,0.26,549,150,-1.92
blocked,1301,57,0.0,0.26,425,159,-1.92
blocked,1301,58,0.0,0.26,482,167,-1.9
blocked,1301,59,0.0,0.26,383,126,-1.86
blocked,1301,60,0.0,0.26,324,141,-1.98
blocked,1301,61,0.0,0.26,342,141,-1.92
blocked,1301,62,0.0,0.26,300,142,-1.93
blocked,1301,63,0.0,0.26,383,142,-1.84
blocked,1301,64,0.0,0.26,425,151,-1.95
blocked,1301,65,0.0,0.26,392,150,-2.01
blocked,1301,66,0.0,0.26,492,184,-2.0
blocked,1301,67,0.0,0.26,441,150,-1.97
blocked,1301,68,0.0,0.26,458,167,-1.99
blocked,1301,69,0.0,0.26,291,159,-1.92
blocked,1301,70,0.0,0.26,584,167,-1.91
blocked,1301,71,0.0,0.26,616,208,-1.89
blocked,1301,72,0.0,0.26,408,142,-1.93
blocked,1301,73,0.0,0.26,325,158,-1.92
blocked,1301,74,0.0,0.26,334,133,-1.94
blocked,1301,75,0.0,0.26,375,150,-1.99
blocked,1301,76,0.0,0.26,317,141,-1.95
blocked,1301,77,0.0,0.26,308,158,-1.96
blocked,1301,78,0.0,0.26,409,150,-1.98
blocked,1301,79,0.0,0.26,700,150,-1.96
blocked,1301,80,0.0,0.26,391,92,-1.97
