condition,subject,trial,state,t,xx,yy
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49598.0,0.4506343010127125,864.35684009808
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49607.0,0.5071464759367359,864.4657345556775
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49617.0,0.8174147761268387,864.7755579725444
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49628.0,1.1456060314706633,864.7583503886624
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49637.0,1.4192968721628176,865.0864677267776
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49645.0,1.303894987447336,864.3046524510034
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49654.0,1.2888067854045175,864.5321314955054
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49662.0,1.4445353192162997,865.1893656021131
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49672.0,1.3989963821416609,865.2726224978659
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49680.0,1.3507141356045054,865.012422971891
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49688.0,1.3578467402066394,864.9242558312428
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49696.0,1.3709231819771048,864.8325689575274
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49704.0,1.3803418777977754,864.8439972266209
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49712.0,1.4269781386573186,864.8807154296017
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49721.0,1.4356652852881666,865.0036453659715
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49729.0,1.403477120930006,864.9004867696682
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49738.0,1.397350396464219,864.9364228097453
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49746.0,1.4271610259549448,865.0855986568847
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49754.0,1.417559442836648,865.0320204979791
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49762.0,1.398722051195307,865.0150301815702
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49771.0,1.4376770455605197,865.163293505322
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49780.0,1.5169586890218625,865.1317462682048
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49788.0,1.4835817572302403,864.8240086190813
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49796.0,1.4532224658469772,864.8778909524494
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49804.0,1.3759525826579875,864.7883767534668
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49812.0,1.3711975129232883,865.0492280818612
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49821.0,1.3758611390092597,865.0806015049998
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49830.0,1.413535922291942,865.1157119286784
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49838.0,1.447187185029918,865.1110624047507
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49846.0,1.4846790810151447,865.05248709396
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49855.0,1.5234511880827313,865.0460559767515
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49863.0,1.454136902334426,864.7874207765844
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49871.0,1.5314067855235862,865.0565717224573
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49879.0,1.5303094617386819,865.1128005445366
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49888.0,1.4785523565491872,864.952674416745
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49896.0,1.4670304568074357,865.0792544466656
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49905.0,1.4792839057391802,865.1108016837827
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49913.0,1.474071617760842,864.9591924409426
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49921.0,1.4811127787140776,865.0499233377756
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49929.0,1.4754432724919297,864.9588448129855
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49938.0,1.4531310221982494,864.9338156000662
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49946.0,1.4627326053165461,865.0408415573933
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49955.0,1.4726085193808558,865.0210702173268
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49963.0,1.4833074262840569,864.8945770943956
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49971.0,1.460446514097839,864.7889416488971
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49979.0,1.4887026015598508,864.7593063655447
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49988.0,1.476906370871916,864.7181559061094
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,49996.0,1.4671219004561635,864.8537742629177
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,50005.0,1.4637384854527227,864.961538929654
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,50013.0,1.4424321152952189,864.7951554986323
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,50021.0,1.4176508864853758,864.714462359064
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,50029.0,1.3291334345008181,864.5738468503711
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,50038.0,1.3479708261421592,864.537172100885
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,50046.0,1.3796103286077823,864.7911577771243
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,50055.0,1.413444478643214,864.8062795932632
"{'cat': 'RB', 'resp': 'reach'}",6,0,state_init,50063.0,1.440877573266505,865.0033411915089
