condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'RB', 'resp': 'button'}",2345,0,Left,35.16186478882622,51.49700967168737,1.7580932394413111,0.808913136332078,Right,Incorrect,0.0,0.0,-45,45,28609,-1,-1
"{'cat': 'RB', 'resp': 'button'}",2345,1,Right,58.65606370381158,43.719763798004735,2.932803185190579,0.6867484438224634,Left,Incorrect,0.0,0.0,-45,45,4414,-1,-1
"{'cat': 'RB', 'resp': 'button'}",2345,2,Right,51.15606597171488,37.40486055272439,2.5578032985857444,0.587554175604948,Left,Incorrect,0.0,0.0,-45,45,1929,-1,-1
"{'cat': 'RB', 'resp': 'button'}",2345,3,Right,57.56228023839505,14.385481548023343,2.8781140119197524,0.22596661574810828,Left,Incorrect,0.0,0.0,-45,45,315,-1,-1
"{'cat': 'RB', 'resp': 'button'}",2345,4,Left,43.41278498424306,34.69026774736608,2.1706392492121527,0.5449134515309411,Left,Correct,0.0,0.0,-45,45,258,-1,-1
