condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'RB', 'resp': 'reach'}",18,0,Left,35.97855950575809,60.133089183206614,1.7989279752879046,0.9445683560781087,Left,Correct,0.0,0.0,-45,45,2013,1481,-2.79
"{'cat': 'RB', 'resp': 'reach'}",18,1,Left,42.228601794576655,76.74593494203043,2.1114300897288327,1.2055223270338151,Left,Correct,0.0,0.0,-45,45,2002,3278,-2.77
"{'cat': 'RB', 'resp': 'reach'}",18,2,Left,45.85877396510479,49.765945401613074,2.2929386982552393,0.7817216423632919,Left,Correct,0.0,0.0,-45,45,2004,2289,-2.84
"{'cat': 'RB', 'resp': 'reach'}",18,3,Left,48.80912135627575,47.49806213947093,2.4404560678137877,0.7460978153855667,Right,Incorrect,0.0,0.0,-45,45,2007,1526,-0.73
"{'cat': 'RB', 'resp': 'reach'}",18,4,Left,40.801858735591395,83.54172323842812,2.04009293677957,1.3122703199703873,Left,Correct,0.0,0.0,-45,45,2009,2058,-2.78
"{'cat': 'RB', 'resp': 'reach'}",18,5,Right,67.66388878355423,63.49104101847978,3.3831944391777116,0.9973149401621215,Right,Correct,0.0,0.0,-45,45,2001,5810,-0.56
"{'cat': 'RB', 'resp': 'reach'}",18,6,Right,60.18799496921911,12.078107813457947,3.0093997484609556,0.18972247388012486,Left,Incorrect,0.0,0.0,-45,45,2006,2363,-2.85
"{'cat': 'RB', 'resp': 'reach'}",18,7,Right,62.039074740847624,57.416274882971535,3.1019537370423813,0.9018927368441778,Right,Correct,0.0,0.0,-45,45,2002,3393,-0.56
"{'cat': 'RB', 'resp': 'reach'}",18,8,Left,43.44164640431962,63.90454243877222,2.172082320215981,1.0038102052833198,Left,Correct,0.0,0.0,-45,45,2002,3333,-2.69
"{'cat': 'RB', 'resp': 'reach'}",18,9,Right,62.50360731936938,44.09682992059535,3.125180365968469,0.6926713846257045,Left,Incorrect,0.0,0.0,-45,45,2004,5212,-2.79
"{'cat': 'RB', 'resp': 'reach'}",18,10,Left,31.8092647875605,30.40000311792419,1.590463239378025,0.4775221323218872,Left,Correct,0.0,0.0,-45,45,2001,5008,-2.77
"{'cat': 'RB', 'resp': 'reach'}",18,11,Right,58.205975253476275,89.61917122222785,2.910298762673814,1.407734649662784,Left,Incorrect,0.0,0.0,-45,45,2006,3753,-2.76
"{'cat': 'RB', 'resp': 'reach'}",18,12,Left,44.87808723748113,56.84237939573385,2.2439043618740566,0.8928780076110064,Left,Correct,0.0,0.0,-45,45,2001,1998,-2.78
"{'cat': 'RB', 'resp': 'reach'}",18,13,Right,58.41716249235004,80.46606715909488,2.920858124617502,1.2639580272513768,Right,Correct,0.0,0.0,-45,45,2008,2745,-0.65
"{'cat': 'RB', 'resp': 'reach'}",18,14,Left,30.66618660399056,48.786236624806584,1.533309330199528,0.7663324128839284,Left,Correct,0.0,0.0,-45,45,2004,3027,-2.77
"{'cat': 'RB', 'resp': 'reach'}",18,15,Right,67.7200589758045,57.7297211674199,3.386002948790225,0.9068163395667675,Right,Correct,0.0,0.0,-45,45,2007,2003,-0.63
"{'cat': 'RB', 'resp': 'reach'}",18,16,Left,32.47557055146186,39.078111831564414,1.623778527573093,0.6138375452310157,Right,Incorrect,0.0,0.0,-45,45,2007,2478,-0.63
"{'cat': 'RB', 'resp': 'reach'}",18,17,Right,52.926437072251,72.05329823172973,2.64632185361255,1.1318105619585828,Right,Correct,0.0,0.0,-45,45,2001,2679,-0.61
