condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",16,0,Right,75.94872437571635,60.08443146628956,3.7974362187858173,0.9438040424480734,Left,Incorrect,0.0,0.0,-45,45,2006,11750,-2.7
"{'cat': 'II', 'resp': 'reach'}",16,1,Right,85.1848916990495,59.97417053044837,4.259244584952475,0.9420720677179903,Right,Correct,0.0,0.0,-45,45,2015,2275,-0.75
"{'cat': 'II', 'resp': 'reach'}",16,2,Right,33.066743755318726,12.802470631190896,1.6533371877659362,0.20110073841374201,Left,Incorrect,0.0,0.0,-45,45,2009,1342,-2.49
"{'cat': 'II', 'resp': 'reach'}",16,3,Right,87.04854110117634,63.25946807221063,4.352427055058817,0.9936774008282749,Right,Correct,0.0,0.0,-45,45,2001,913,-0.64
"{'cat': 'II', 'resp': 'reach'}",16,4,Left,55.695988944439165,72.13096904089886,2.784799447221958,1.1330306121760032,Right,Incorrect,0.0,0.0,-45,45,2006,1755,-0.64
"{'cat': 'II', 'resp': 'reach'}",16,5,Right,62.71239732719639,35.218072554177375,3.1356198663598196,0.5532041900489797,Right,Correct,0.0,0.0,-45,45,2007,1383,-0.7
"{'cat': 'II', 'resp': 'reach'}",16,6,Left,14.256710327462358,32.68444677830941,0.7128355163731179,0.5134060894269171,Left,Correct,0.0,0.0,-45,45,2002,2079,-2.65
"{'cat': 'II', 'resp': 'reach'}",16,7,Right,51.183737541287286,31.694468132573583,2.559186877064364,0.4978555412236449,Right,Correct,0.0,0.0,-45,45,2007,929,-0.63
"{'cat': 'II', 'resp': 'reach'}",16,8,Right,83.12322277318972,62.64355136604803,4.156161138659486,0.9840026038317566,Right,Correct,0.0,0.0,-45,45,2012,1060,-0.75
"{'cat': 'II', 'resp': 'reach'}",16,9,Left,31.23351239444606,48.44909852856489,1.561675619722303,0.7610366600519375,Left,Correct,0.0,0.0,-45,45,2008,763,-2.65
"{'cat': 'II', 'resp': 'reach'}",16,10,Right,48.48651819923123,20.589862059045867,2.4243259099615613,0.3234247969156286,Right,Correct,0.0,0.0,-45,45,2002,852,-0.63
"{'cat': 'II', 'resp': 'reach'}",16,11,Left,58.685489822334866,71.78205210434346,2.934274491116743,1.127549837753026,Right,Incorrect,0.0,0.0,-45,45,2007,974,-0.71
"{'cat': 'II', 'resp': 'reach'}",16,12,Left,60.25064535945547,70.91471824377646,3.0125322679727735,1.1139257893301913,Right,Incorrect,0.0,0.0,-45,45,2007,1645,-0.68
"{'cat': 'II', 'resp': 'reach'}",16,13,Right,62.69488661788221,49.98085168701074,3.1347443308941103,0.7850973824003697,Left,Incorrect,0.0,0.0,-45,45,2005,2437,-2.63
"{'cat': 'II', 'resp': 'reach'}",16,14,Right,47.85069598389134,25.38422558841102,2.392534799194567,0.39873448312809057,Left,Incorrect,0.0,0.0,-45,45,2008,1167,-2.58
"{'cat': 'II', 'resp': 'reach'}",16,15,Left,60.91983664724969,88.0390732515067,3.0459918323624846,1.3829145287789353,Right,Incorrect,0.0,0.0,-45,45,2005,1027,-0.64
"{'cat': 'II', 'resp': 'reach'}",16,16,Right,55.82857576141221,32.430598312085536,2.7914287880706103,0.5094186470438473,Left,Incorrect,0.0,0.0,-45,45,2004,2010,-2.6
"{'cat': 'II', 'resp': 'reach'}",16,17,Right,70.59965965776034,40.34170035782979,3.529982982888017,0.6336859473873939,Right,Correct,0.0,0.0,-45,45,2005,914,-0.67
"{'cat': 'II', 'resp': 'reach'}",16,18,Right,36.67573069394248,12.863023273306993,1.8337865346971238,0.20205189709187896,Left,Incorrect,0.0,0.0,-45,45,2008,993,-2.57
"{'cat': 'II', 'resp': 'reach'}",16,19,Right,61.153242553316545,42.27132903208523,3.0576621276658273,0.6639964837233795,Right,Correct,0.0,0.0,-45,45,2007,1024,-0.64
"{'cat': 'II', 'resp': 'reach'}",16,20,Left,55.60916842275472,81.74280290405947,2.7804584211377357,1.2840129454361582,Right,Incorrect,0.0,0.0,-45,45,2008,798,-0.58
"{'cat': 'II', 'resp': 'reach'}",16,21,Right,69.43786428832175,60.37939515095532,3.4718932144160872,0.9484373211721819,Right,Correct,0.0,0.0,-45,45,2010,1484,-0.8
"{'cat': 'II', 'resp': 'reach'}",16,22,Left,42.34287111652105,68.60741820297989,2.1171435558260527,1.0776828050412213,Left,Correct,0.0,0.0,-45,45,2008,958,-2.54
"{'cat': 'II', 'resp': 'reach'}",16,23,Right,82.96222705339,61.38351484796469,4.1481113526695,0.9642099964894293,Right,Correct,0.0,0.0,-45,45,2002,631,-0.64
"{'cat': 'II', 'resp': 'reach'}",16,24,Left,28.565679991733415,43.280134273772084,1.4282839995866707,0.679842759404311,Left,Correct,0.0,0.0,-45,45,2014,794,-2.66
"{'cat': 'II', 'resp': 'reach'}",16,25,Right,66.73181161041632,33.63066841478877,3.336590580520816,0.5282693041360734,Right,Correct,0.0,0.0,-45,45,2001,740,-0.73
"{'cat': 'II', 'resp': 'reach'}",16,26,Right,70.75775659913289,50.87717940957879,3.5378878299566447,0.7991768653425131,Left,Incorrect,0.0,0.0,-45,45,2002,786,-2.47
"{'cat': 'II', 'resp': 'reach'}",16,27,Right,30.831802799730216,12.203690255630331,1.5415901399865108,0.19169511826886795,Left,Incorrect,0.0,0.0,-45,45,2013,991,-2.42
"{'cat': 'II', 'resp': 'reach'}",16,28,Right,79.5847905579272,59.54566084333005,3.97923952789636,0.9353410532927754,Right,Correct,0.0,0.0,-45,45,2009,1894,-0.65
