condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",4,0,Right,47.42767965755044,19.902962075824416,2.3713839828775223,0.3126349972104312,Right,Correct,0.0,0.0,-45,45,2011,1922,-0.81
"{'cat': 'II', 'resp': 'reach'}",4,1,Left,53.80488952700134,77.80459399099185,2.6902444763500672,1.2221517044881827,Left,Correct,0.0,0.0,-45,45,2008,2827,-2.56
"{'cat': 'II', 'resp': 'reach'}",4,2,Left,60.17269552028313,72.09550794630566,3.0086347760141563,1.1324735906046919,Right,Incorrect,0.0,0.0,-45,45,2009,1476,-0.88
"{'cat': 'II', 'resp': 'reach'}",4,3,Right,58.274124398940884,26.613436933670798,2.9137062199470445,0.41804288978797716,Left,Incorrect,0.0,0.0,-45,45,2005,1298,-2.57
"{'cat': 'II', 'resp': 'reach'}",4,4,Right,43.470508659406846,21.41965996855821,2.1735254329703424,0.33645923199806926,Right,Correct,0.0,0.0,-45,45,2007,1476,-0.87
"{'cat': 'II', 'resp': 'reach'}",4,5,Right,64.08843697837911,54.57801038441225,3.204421848918955,0.8573093823560849,Right,Correct,0.0,0.0,-45,45,2001,1061,-0.89
"{'cat': 'II', 'resp': 'reach'}",4,6,Left,33.80834080726212,56.325878806527406,1.6904170403631058,0.8847648353278775,Right,Incorrect,0.0,0.0,-45,45,2005,1123,-0.87
"{'cat': 'II', 'resp': 'reach'}",4,7,Left,15.386434294031073,36.31847494672604,0.7693217147015536,0.5704892704110974,Left,Correct,0.0,0.0,-45,45,2005,1170,-2.62
"{'cat': 'II', 'resp': 'reach'}",4,8,Left,68.12406774581243,85.97960234197615,3.4062033872906214,1.35056443538062,Left,Correct,0.0,0.0,-45,45,2002,1400,-2.56
"{'cat': 'II', 'resp': 'reach'}",4,9,Left,64.81087466359537,84.38220082457251,3.2405437331797686,1.3254725110210779,Right,Incorrect,0.0,0.0,-45,45,2002,850,-0.79
"{'cat': 'II', 'resp': 'reach'}",4,10,Left,30.841377929913797,44.3566432223989,1.5420688964956897,0.6967525224269594,Left,Correct,0.0,0.0,-45,45,2006,827,-2.61
"{'cat': 'II', 'resp': 'reach'}",4,11,Right,46.173821303913776,38.17673538028851,2.308691065195689,0.5996787570437797,Right,Correct,0.0,0.0,-45,45,2009,533,-0.88
"{'cat': 'II', 'resp': 'reach'}",4,12,Left,25.436519687669247,45.325647392208246,1.2718259843834623,0.711973604332814,Left,Correct,0.0,0.0,-45,45,2010,634,-2.61
"{'cat': 'II', 'resp': 'reach'}",4,13,Right,36.44292427381658,13.453884227282416,1.8221462136908289,0.21133311925339016,Left,Incorrect,0.0,0.0,-45,45,2008,607,-2.61
"{'cat': 'II', 'resp': 'reach'}",4,14,Right,49.79390815887179,30.4168958829693,2.4896954079435893,0.4777874832547099,Right,Correct,0.0,0.0,-45,45,2006,720,-0.79
"{'cat': 'II', 'resp': 'reach'}",4,15,Left,28.364645193756235,60.533027403744576,1.4182322596878116,0.9508505709557679,Right,Incorrect,0.0,0.0,-45,45,2006,724,-0.84
"{'cat': 'II', 'resp': 'reach'}",4,16,Left,21.45432984301159,48.615344518102624,1.0727164921505794,0.76364804594904,Left,Correct,0.0,0.0,-45,45,2003,665,-2.6
"{'cat': 'II', 'resp': 'reach'}",4,17,Right,64.74909371946616,36.017194941611365,3.237454685973308,0.5657567751573886,Right,Correct,0.0,0.0,-45,45,2006,784,-0.93
"{'cat': 'II', 'resp': 'reach'}",4,18,Left,67.70210620511564,87.41277184930206,3.3851053102557818,1.3730766093584401,Right,Incorrect,0.0,0.0,-45,45,2005,806,-0.89
"{'cat': 'II', 'resp': 'reach'}",4,19,Right,59.423802003381596,45.200421977087764,2.9711901001690797,0.7100065681118878,Right,Correct,0.0,0.0,-45,45,2008,758,-0.9
"{'cat': 'II', 'resp': 'reach'}",4,20,Left,52.65768740997918,65.13096001365021,2.632884370498959,1.0230747275006704,Right,Incorrect,0.0,0.0,-45,45,2007,702,-0.82
"{'cat': 'II', 'resp': 'reach'}",4,21,Left,18.83665301348022,37.84956435763331,0.9418326506740109,0.5945395666375746,Left,Correct,0.0,0.0,-45,45,2005,664,-2.51
"{'cat': 'II', 'resp': 'reach'}",4,22,Right,35.874692549801125,10.518745171935503,1.7937346274900563,0.16522806278567842,Left,Incorrect,0.0,0.0,-45,45,2008,704,-2.65
"{'cat': 'II', 'resp': 'reach'}",4,23,Left,34.06677123212874,52.070124636868215,1.7033385616064367,0.8179156051534504,Right,Incorrect,0.0,0.0,-45,45,2004,685,-0.82
"{'cat': 'II', 'resp': 'reach'}",4,24,Right,49.487496123385434,37.00693028963697,2.4743748061692714,0.5813035016491654,Right,Correct,0.0,0.0,-45,45,2008,730,-0.85
"{'cat': 'II', 'resp': 'reach'}",4,25,Right,41.66595480687814,27.31388027775438,2.083297740343907,0.4290454281081215,Left,Incorrect,0.0,0.0,-45,45,2007,738,-2.63
"{'cat': 'II', 'resp': 'reach'}",4,26,Right,66.63745254598962,44.543281202245055,3.331872627299481,0.6996842249587869,Right,Correct,0.0,0.0,-45,45,2007,634,-0.97
"{'cat': 'II', 'resp': 'reach'}",4,27,Right,80.70318785780694,57.66956563385248,4.035159392890347,0.9058714186551269,Right,Correct,0.0,0.0,-45,45,2012,605,-0.92
"{'cat': 'II', 'resp': 'reach'}",4,28,Left,42.807007836524974,62.18715611037305,2.1403503918262485,0.9768335639199479,Right,Incorrect,0.0,0.0,-45,45,2008,639,-0.98
"{'cat': 'II', 'resp': 'reach'}",4,29,Right,76.3313995854984,48.343689034812996,3.81656997927492,0.7593808915959898,Right,Correct,0.0,0.0,-45,45,2009,1010,-0.89
"{'cat': 'II', 'resp': 'reach'}",4,30,Right,55.67348086816705,31.968068402635826,2.7836740434083524,0.5021532442158835,Right,Correct,0.0,0.0,-45,45,2009,701,-0.88
"{'cat': 'II', 'resp': 'reach'}",4,31,Right,61.45034010094648,36.56736862583587,3.0725170050473243,0.5743988831801793,Left,Incorrect,0.0,0.0,-45,45,2003,654,-2.65
"{'cat': 'II', 'resp': 'reach'}",4,32,Left,41.68738155198534,73.68656127163983,2.084369077599267,1.1574657977963891,Right,Incorrect,0.0,0.0,-45,45,2003,726,-0.94
"{'cat': 'II', 'resp': 'reach'}",4,33,Left,37.575264941475645,57.27502896134571,1.878763247073782,0.8996740510955317,Left,Correct,0.0,0.0,-45,45,2008,1078,-2.59
"{'cat': 'II', 'resp': 'reach'}",4,34,Left,36.15238032668905,54.21976230182186,1.8076190163344523,0.851682034633942,Left,Correct,0.0,0.0,-45,45,2006,666,-2.54
"{'cat': 'II', 'resp': 'reach'}",4,35,Right,67.99556905675706,38.47093349132132,3.399778452837853,0.6043000101653829,Left,Incorrect,0.0,0.0,-45,45,2013,658,-2.52
"{'cat': 'II', 'resp': 'reach'}",4,36,Right,62.83922960084189,42.402540645404976,3.1419614800420947,0.6660575509257344,Right,Correct,0.0,0.0,-45,45,2003,642,-0.88
"{'cat': 'II', 'resp': 'reach'}",4,37,Right,54.89821568512956,30.63914943512556,2.744910784256478,0.4812786338881517,Right,Correct,0.0,0.0,-45,45,2005,680,-0.86
"{'cat': 'II', 'resp': 'reach'}",4,38,Left,26.049415654545605,38.19860083301039,1.3024707827272803,0.600022218771972,Right,Incorrect,0.0,0.0,-45,45,2003,720,-0.9
