condition,subject,trial,state,t,xx,yy
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,1.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,53.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,57.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,61.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,63.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,65.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,68.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,70.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,73.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,102.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,137.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,140.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,142.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,145.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,148.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,150.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,153.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,155.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,158.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,160.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,163.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,165.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,167.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,170.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,172.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,175.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,177.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,180.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,182.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,185.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,188.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,190.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,192.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,197.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,199.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,202.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,205.0,280,375
"{'cat': 'RB', 'resp': 'button'}",1,0,state_init,207.0,280,375
