condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",1456780,0,Right,59.25596791309319,40.1409669710305,2.962798395654659,0.6305328347208998,Right,Correct,0.0,0.0,-45,45,2014,26530,1.38
"{'cat': 'II', 'resp': 'reach'}",1456780,1,Left,43.49265300671717,51.17097576802652,2.1746326503358584,0.8037918077492672,Right,Incorrect,0.0,0.0,-45,45,2001,3182,-0.99
"{'cat': 'II', 'resp': 'reach'}",1456780,2,Left,50.479283634665805,80.9495638769943,2.5239641817332905,1.271552775936315,Left,Correct,0.0,0.0,-45,45,2008,3831,-2.45
"{'cat': 'II', 'resp': 'reach'}",1456780,3,Left,41.097691123470796,54.8938089446093,2.0548845561735396,0.8622699345397312,Right,Incorrect,0.0,0.0,-45,45,2002,3284,-0.94
"{'cat': 'II', 'resp': 'reach'}",1456780,4,Left,45.55861090797797,55.77425751718399,2.2779305453988985,0.8760999883770526,Left,Correct,0.0,0.0,-45,45,2003,1391,-2.71
"{'cat': 'II', 'resp': 'reach'}",1456780,5,Right,53.29173112589121,32.74123755292396,2.6645865562945605,0.5142981568285209,Right,Correct,0.0,0.0,-45,45,2008,5201,-0.89
"{'cat': 'II', 'resp': 'reach'}",1456780,6,Right,86.05229910280686,69.32145688380915,4.302614955140343,1.088898898411582,Right,Correct,0.0,0.0,-45,45,2008,5358,-0.99
