condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'button'}",19,34,Left,50.677603357520105,81.18646205806357,2.533880167876005,1.275273963862795,Left,Correct,0.0,0.0,-45,45,55,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,35,Left,48.67731297993488,55.400318693133976,2.433865648996744,0.870226171064415,Right,Incorrect,0.0,0.0,-45,45,798,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,36,Right,65.23453607385173,34.80603731954826,3.261726803692586,0.5467319557183249,Right,Correct,0.0,0.0,-45,45,2825,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,37,Left,38.759715607092495,53.937737687756496,1.9379857803546248,0.8472520023555457,Left,Correct,0.0,0.0,-45,45,3902,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,38,Right,77.56244407560122,60.50942261505074,3.8781222037800607,0.9504797878020175,Right,Correct,0.0,0.0,-45,45,986,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,39,Left,17.866012890429843,41.28860036764725,0.8933006445214922,0.648559817960027,Left,Correct,0.0,0.0,-45,45,5742,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,40,Right,75.6006786050892,49.1331957426275,3.78003393025446,0.7717824339621393,Right,Correct,0.0,0.0,-45,45,618,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,41,Right,64.33577132826535,46.39456508548826,3.2167885664132676,0.7287641241953172,Right,Correct,0.0,0.0,-45,45,725,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,42,Left,42.715615732714475,65.50157090727825,2.1357807866357237,1.0288962698044812,100,Correct,0.0,0.0,-45,45,782,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,43,Right,52.24306567515531,32.30082648944441,2.6121532837577655,0.5073801960205858,Right,Correct,0.0,0.0,-45,45,475,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,44,Right,82.04220408722435,59.10337793910665,4.102110204361217,0.9283936896791923,Right,Correct,0.0,0.0,-45,45,982,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,45,Right,65.32131649721322,41.92605932728692,3.266065824860661,0.658572999882872,Right,Correct,0.0,0.0,-45,45,2289,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,46,Right,68.118948575276,54.020661665461816,3.4059474287638,0.8485545691513731,Right,Correct,0.0,0.0,-45,45,945,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,47,Right,36.34587096694749,20.42100035927861,1.8172935483473742,0.3207723235383211,Right,Correct,0.0,0.0,-45,45,6583,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,48,Right,33.48072593172348,20.472659436141946,1.6740362965861737,0.32158378242014646,Right,Correct,0.0,0.0,-45,45,1468,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,49,Left,63.70761710558425,87.56334914917875,3.185380855279212,1.3754418720538901,Left,Correct,0.0,0.0,-45,45,2828,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,50,Right,64.62363579556862,52.571341414140456,3.2311817897784305,0.8257886998801224,Right,Correct,0.0,0.0,-45,45,1153,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,51,Left,58.020110390194645,77.90912096675204,2.901005519509732,1.2237936103839337,Left,Correct,0.0,0.0,-45,45,3703,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,52,Left,25.090854835791724,57.074272403123906,1.2545427417895862,0.8965205744531837,Left,Correct,0.0,0.0,-45,45,1283,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,53,Left,50.69771073168154,63.3422453697356,2.534885536584077,0.9949776635772174,Right,Incorrect,0.0,0.0,-45,45,1104,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,54,Right,42.87922831814632,23.913659964963838,2.1439614159073157,0.37563489233187364,Right,Correct,0.0,0.0,-45,45,753,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,55,Right,66.85508098302327,51.75694829946702,3.342754049151164,0.8129962427491615,Left,Incorrect,0.0,0.0,-45,45,813,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,56,Right,37.54817757680678,24.51503144630008,1.877408878840339,0.3850812134710955,Right,Correct,0.0,0.0,-45,45,1443,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,57,Right,76.17036731233335,46.74424447964212,3.808518365616668,0.7342568752742447,Right,Correct,0.0,0.0,-45,45,801,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,58,Left,28.39415437805632,50.915156756373094,1.4197077189028162,0.7997734121109722,Right,Incorrect,0.0,0.0,-45,45,1306,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,59,Right,73.10944870523639,56.34136270962631,3.6554724352618195,0.8850080559089997,Right,Correct,0.0,0.0,-45,45,583,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,60,Left,10.687952322252826,32.074021166550374,0.5343976161126414,0.5038175463395909,Left,Correct,0.0,0.0,-45,45,894,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,61,Right,79.82119902857445,63.21826067495487,3.991059951428723,0.9930301165458137,Right,Correct,0.0,0.0,-45,45,1248,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,62,Left,39.59789973398072,52.737927635988896,1.9798949866990359,0.8284054301338643,Left,Correct,0.0,0.0,-45,45,6529,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,63,Left,26.74494248546938,54.571474163284556,1.337247124273469,0.8572067116346999,Left,Correct,0.0,0.0,-45,45,10283,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,64,Right,60.411918817273,38.426537889363836,3.02059594086365,0.6036026456805763,Right,Correct,0.0,0.0,-45,45,627,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,65,Left,30.70281552893268,60.05844836018223,1.5351407764466338,0.9433959007717522,Left,Correct,0.0,0.0,-45,45,4721,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,66,Right,54.87274224258753,34.34604445651045,2.743637112129376,0.5395064047222083,Right,Correct,0.0,0.0,-45,45,674,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,67,Right,78.98396407108737,47.36565717965797,3.9491982035543685,0.7440180031403306,Right,Correct,0.0,0.0,-45,45,1067,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,68,Left,61.015436647512736,88.0931882391145,3.050771832375637,1.3837645650165242,Left,Correct,0.0,0.0,-45,45,1090,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,69,Left,40.23850998181448,56.24330515013122,2.011925499090724,0.8834677713663062,Right,Incorrect,0.0,0.0,-45,45,985,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,70,Left,43.82494280273302,60.92045532817492,2.191247140136651,0.9569362745616975,Right,Incorrect,0.0,0.0,-45,45,504,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,71,Right,47.37512421703383,23.37902329498863,2.3687562108516915,0.3672368391582046,Right,Correct,0.0,0.0,-45,45,1159,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,72,Left,16.947461745435646,43.032715720515306,0.8473730872717823,0.6759563178579445,Left,Correct,0.0,0.0,-45,45,608,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,73,Right,50.089649079784955,30.25090547492939,2.504482453989248,0.4751801120223871,Right,Correct,0.0,0.0,-45,45,380,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,74,Left,26.966505144497155,54.94054697519373,1.3483252572248576,0.8630040938073679,Left,Correct,0.0,0.0,-45,45,344,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,75,Left,17.99829704232054,41.47779622312906,0.8999148521160271,0.6515316995083837,Right,Incorrect,0.0,0.0,-45,45,549,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,76,Right,49.35588231600633,18.683152589581347,2.4677941158003165,0.2934742746066294,Right,Correct,0.0,0.0,-45,45,511,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,77,Right,60.19399449502521,51.76208480690741,3.0096997247512602,0.8130769268193608,Right,Correct,0.0,0.0,-45,45,673,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,78,Left,69.41593358553713,85.20708000815412,3.4707966792768565,1.3384296829372737,Left,Correct,0.0,0.0,-45,45,821,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,79,Left,45.625024604552834,72.68672530319988,2.2812512302276415,1.1417604111301602,Right,Incorrect,0.0,0.0,-45,45,320,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,80,Right,74.91658421560356,62.43613839828744,3.7458292107801783,0.9807445685528772,Right,Correct,0.0,0.0,-45,45,357,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,81,Right,55.15024575896287,42.55666423911414,2.7575122879481433,0.6684785186744422,Left,Incorrect,0.0,0.0,-45,45,679,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,82,Left,38.7603907011249,62.34180406273843,1.9380195350562448,0.979262768275167,Right,Incorrect,0.0,0.0,-45,45,549,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,83,Right,86.92659841160948,68.78132346981155,4.346329920580474,1.0804145025847158,Right,Correct,0.0,0.0,-45,45,449,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,84,Left,47.9192826093308,54.62754520399112,2.39596413046654,0.8580874734825142,Right,Incorrect,0.0,0.0,-45,45,650,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,85,Right,54.80160598029383,27.18464143724499,2.7400802990146915,0.4270153491486077,Right,Correct,0.0,0.0,-45,45,485,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,86,Right,56.141306764548645,34.47473980717633,2.807065338227432,0.5415279465632237,Right,Correct,0.0,0.0,-45,45,600,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,87,Right,66.21020095251546,49.83979002244493,3.3105100476257734,0.7828815909548543,Left,Incorrect,0.0,0.0,-45,45,543,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,88,Right,74.1831441694886,44.764091457848814,3.7091572084744304,0.7031527043429971,Right,Correct,0.0,0.0,-45,45,835,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,89,Left,29.149796981224213,44.65994242126469,1.4574898490612105,0.7015167351019416,Right,Incorrect,0.0,0.0,-45,45,524,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,90,Left,37.12168714628641,49.97485294611667,1.8560843573143204,0.7850031543987517,Left,Correct,0.0,0.0,-45,45,672,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,91,Right,57.35093680861032,26.050435181032412,2.867546840430516,0.40919927893774255,Right,Correct,0.0,0.0,-45,45,1305,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,92,Right,42.30368226250445,13.618904236038315,2.1151841131252227,0.21392524748940442,Right,Correct,0.0,0.0,-45,45,880,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,93,Left,60.08303696980816,80.72749100064051,3.0041518484904084,1.268064463351742,Left,Correct,0.0,0.0,-45,45,931,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,94,Right,84.25722783915072,54.54588432736092,4.212861391957535,0.8568047474319785,Right,Correct,0.0,0.0,-45,45,520,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,95,Right,71.49308583818474,48.423726874110756,3.574654291909237,0.760638123035725,107,Correct,0.0,0.0,-45,45,568,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,96,Right,39.056998178937626,12.494918454713662,1.9528499089468812,0.1962697201226599,Right,Correct,0.0,0.0,-45,45,475,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,97,Right,63.80537474301837,34.06565368153541,3.190268737150918,0.5351020367282286,Right,Correct,0.0,0.0,-45,45,925,-1,-1
