condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'RB', 'resp': 'reach'}",2,0,B,56.8110305105249,74.79112383509685,2.8405515255262452,1.1748162259703236,A,Incorrect,0.0,0.0,-45,45,2001,256791,-1.93
"{'cat': 'RB', 'resp': 'reach'}",2,1,B,63.9733594360858,22.772052153978066,3.19866797180429,0.35770255877050555,B,Correct,0.0,0.0,-45,45,2007,3836,-1.04
"{'cat': 'RB', 'resp': 'reach'}",2,2,A,35.268039585194344,47.1553944548955,1.7634019792597173,0.7407152039831427,A,Correct,0.0,0.0,-45,45,2009,1261,-2.38
"{'cat': 'RB', 'resp': 'reach'}",2,3,A,40.77314723736734,46.710608843572125,2.038657361868367,0.7337285279383631,B,Incorrect,0.0,0.0,-45,45,2003,1839,-0.83
"{'cat': 'RB', 'resp': 'reach'}",2,4,B,51.73037620982624,51.20919392852809,2.5865188104913117,0.8043921372105944,A,Incorrect,0.0,0.0,-45,45,2001,2868,-2.23
"{'cat': 'RB', 'resp': 'reach'}",2,5,B,52.71408372564097,31.448167435421073,2.6357041862820485,0.49398665891990307,B,Correct,0.0,0.0,-45,45,2008,1294,-0.97
"{'cat': 'RB', 'resp': 'reach'}",2,6,A,43.346828327800615,59.6449978294264,2.167341416390031,0.9369014350215257,B,Incorrect,0.0,0.0,-45,45,2005,1870,-0.93
"{'cat': 'RB', 'resp': 'reach'}",2,7,B,59.71188861762722,46.85127366119421,2.985594430881361,0.7359380857266637,A,Incorrect,0.0,0.0,-45,45,2009,2122,-2.4
"{'cat': 'RB', 'resp': 'reach'}",2,8,B,57.23380523654105,34.3204870632975,2.8616902618270523,0.5391049501283948,B,Correct,0.0,0.0,-45,45,2001,1972,-1.04
"{'cat': 'RB', 'resp': 'reach'}",2,9,A,42.74663800397455,36.406756719463964,2.1373319001987277,0.5718759972544941,A,Correct,0.0,0.0,-45,45,2007,1177,-2.31
"{'cat': 'RB', 'resp': 'reach'}",2,10,B,65.74771679838317,17.140580791600286,3.2873858399191587,0.2692436134657689,B,Correct,0.0,0.0,-45,45,2012,901,-1.07
"{'cat': 'RB', 'resp': 'reach'}",2,11,B,68.96871056902661,38.91519473761204,3.4484355284513306,0.6112784495034908,B,Correct,0.0,0.0,-45,45,2012,795,-1.1
"{'cat': 'RB', 'resp': 'reach'}",2,12,A,33.412093258190716,62.25883918586507,1.6706046629095357,0.9779595590367103,A,Correct,0.0,0.0,-45,45,2012,869,-2.39
"{'cat': 'RB', 'resp': 'reach'}",2,13,B,64.4976606756305,16.11138944456765,3.2248830337815253,0.25307711359088936,B,Correct,0.0,0.0,-45,45,2007,654,-1.06
"{'cat': 'RB', 'resp': 'reach'}",2,14,A,40.645717213181236,35.654649286215765,2.0322858606590617,0.5600619213194801,A,Correct,0.0,0.0,-45,45,2004,762,-2.3
"{'cat': 'RB', 'resp': 'reach'}",2,15,B,61.50849384985411,77.13488757472692,3.0754246924927053,1.2116319807011835,B,Correct,0.0,0.0,-45,45,2007,755,-1.09
"{'cat': 'RB', 'resp': 'reach'}",2,16,A,40.08869783333838,50.37032582094099,2.0044348916669192,0.7912152277899623,A,Correct,0.0,0.0,-45,45,2007,754,-2.18
"{'cat': 'RB', 'resp': 'reach'}",2,17,A,45.35348911264148,35.58334351064449,2.2676744556320743,0.5589418528160138,A,Correct,0.0,0.0,-45,45,2002,806,-2.13
