condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",2345680,0,Left,61.0855717322533,78.1457595759102,3.054278586612665,1.2275107209643688,Right,Incorrect,0.0,0.0,-45,45,2011,22329,2.33
"{'cat': 'II', 'resp': 'reach'}",2345680,1,Right,61.752266780413045,42.64833976784913,3.0876133390206526,0.6699185545123812,Right,Correct,0.0,0.0,-45,45,2002,6827,-0.87
"{'cat': 'II', 'resp': 'reach'}",2345680,2,Right,59.16807252071267,38.21065473726063,2.9584036260356332,0.6002115610571702,Left,Incorrect,0.0,0.0,-45,45,2005,1991,-2.44
"{'cat': 'II', 'resp': 'reach'}",2345680,3,Left,10.820631073716704,31.771501770169095,0.5410315536858352,0.49906558277339175,Right,Incorrect,0.0,0.0,-45,45,2008,793,-0.77
