condition,subject,trial,state,t,xx,yy
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29158.0,869,650
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29162.0,869,650
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29164.0,868,652
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29168.0,868,652
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29170.0,868,652
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29173.0,868,652
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29175.0,867,653
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29178.0,867,653
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29181.0,866,655
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29184.0,866,655
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29187.0,866,655
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29190.0,865,656
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29193.0,865,656
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29196.0,865,656
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29198.0,865,656
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29201.0,864,658
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29205.0,864,658
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29208.0,863,659
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29211.0,863,659
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29214.0,862,660
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29218.0,862,660
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29220.0,862,660
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29222.0,862,660
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29225.0,861,661
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29228.0,861,661
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29231.0,860,661
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29234.0,860,661
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29237.0,859,662
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29240.0,859,662
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29243.0,859,662
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29246.0,859,662
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29249.0,859,663
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29252.0,859,663
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29255.0,858,664
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29258.0,858,664
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29261.0,858,664
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29264.0,857,664
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29267.0,857,664
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29270.0,857,664
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29273.0,856,665
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29277.0,856,665
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29279.0,856,666
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29283.0,856,666
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29285.0,856,666
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29288.0,855,667
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29291.0,855,667
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29294.0,855,667
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29298.0,855,667
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29301.0,855,667
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29303.0,855,667
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29306.0,855,667
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29309.0,854,668
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29311.0,854,668
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29315.0,853,669
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29318.0,853,670
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29320.0,853,670
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29323.0,853,670
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29326.0,853,670
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29329.0,852,671
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29332.0,852,671
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29335.0,852,671
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29337.0,851,672
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29341.0,851,672
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29344.0,851,673
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29347.0,851,673
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29350.0,851,673
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29352.0,851,673
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29355.0,850,674
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29358.0,850,674
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29361.0,849,675
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29365.0,849,675
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29367.0,849,675
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29370.0,849,675
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29373.0,849,675
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29376.0,848,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29381.0,848,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29383.0,848,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29386.0,848,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29389.0,848,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29392.0,848,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29395.0,848,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29398.0,848,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29401.0,847,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29404.0,847,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29407.0,847,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29410.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29413.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29416.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29419.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29421.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29424.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29427.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29431.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29433.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29436.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29440.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29443.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29445.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29448.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29451.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29454.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29457.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29460.0,847,677
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29463.0,847,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29466.0,847,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29469.0,847,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29472.0,847,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29475.0,847,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29478.0,847,676
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29481.0,847,674
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29484.0,847,674
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29486.0,847,674
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29490.0,847,672
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29493.0,847,672
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29496.0,848,669
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29498.0,848,669
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29501.0,848,669
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29504.0,848,669
