condition,subject,trial,su,rotation,rt,mt,ep
interleaved,1000,117,26.78,0.26,395,206,-1.83
interleaved,1000,118,26.78,0.26,382,198,-1.85
interleaved,1000,119,0.0,0.26,682,237,-1.77
interleaved,1000,120,0.0,0.26,697,216,-1.72
interleaved,1000,121,0.0,0.26,656,206,-1.76
interleaved,1000,122,26.78,0.26,475,207,-1.8
interleaved,1000,123,0.0,0.26,430,248,-1.82
interleaved,1000,124,0.0,0.26,527,291,-1.84
interleaved,1000,125,26.78,0.26,455,227,-1.83
interleaved,1000,126,0.0,0.26,524,281,-1.81
interleaved,1000,127,0.0,0.26,505,228,-1.81
interleaved,1000,128,0.0,0.26,493,216,-1.83
interleaved,1000,129,0.0,0.26,336,236,-1.88
interleaved,1000,130,0.0,0.0,1830,207,-1.52
interleaved,1000,131,26.78,0.0,407,225,-1.53
interleaved,1000,132,26.78,0.0,422,280,-1.54
interleaved,1000,133,26.78,0.0,447,182,-1.5
interleaved,1000,134,0.0,0.0,380,180,-1.55
interleaved,1000,135,0.0,0.0,360,185,-1.58
interleaved,1000,136,26.78,0.0,277,180,-1.62
interleaved,1000,137,0.0,0.0,673,208,-1.56
interleaved,1000,138,26.78,0.0,526,236,-1.52
interleaved,1000,139,0.0,0.0,1107,216,-1.55
interleaved,1000,140,26.78,0.0,501,187,-1.57
interleaved,1000,141,0.0,0.0,12963,144,-1.52
interleaved,1000,142,0.0,0.0,450,156,-1.54
interleaved,1000,143,26.78,0.0,540,191,-1.55
interleaved,1000,144,0.0,0.0,579,196,-1.59
interleaved,1000,145,26.78,0.0,384,156,-1.58
interleaved,1000,146,0.0,0.0,645,205,-1.54
interleaved,1000,147,0.0,0.0,4289,177,-1.54
interleaved,1000,148,0.0,0.0,548,193,-1.59
interleaved,1000,149,26.78,0.0,475,195,-1.56
interleaved,1000,150,26.78,0.0,550,211,-1.58
interleaved,1000,151,26.78,0.0,613,176,-1.58
interleaved,1000,152,26.78,0.0,691,175,-1.58
interleaved,1000,153,0.0,0.0,775,226,-1.58
interleaved,1000,154,0.0,0.0,1212,315,-1.51
interleaved,1000,155,0.0,0.0,725,208,-1.48
interleaved,1000,156,26.78,0.0,557,232,-1.48
interleaved,1000,157,26.78,0.0,598,216,-1.56
interleaved,1000,158,26.78,0.0,975,217,-1.54
interleaved,1000,159,26.78,0.0,493,289,-1.58
interleaved,1000,160,26.78,0.0,1000,250,-1.61
interleaved,1000,161,26.78,0.0,867,282,-1.52
interleaved,1000,162,0.0,0.0,573,172,-1.6
interleaved,1000,163,0.0,0.0,513,181,-1.49
interleaved,1000,164,26.78,0.0,394,211,-1.47
interleaved,1000,165,26.78,0.0,517,282,-1.48
interleaved,1000,166,0.0,0.0,323,227,-1.47
interleaved,1000,167,26.78,0.0,4673,352,-1.45
interleaved,1000,168,26.78,0.0,602,227,-1.46
interleaved,1000,169,26.78,0.0,484,278,-1.5
interleaved,1000,170,0.0,0.0,556,217,-1.49
interleaved,1000,171,0.0,0.0,433,258,-1.52
interleaved,1000,172,26.78,0.0,980,237,-1.47
interleaved,1000,173,26.78,0.0,693,188,-1.48
interleaved,1000,174,0.0,0.0,611,200,-1.5
interleaved,1000,175,0.0,0.0,506,260,-1.51
interleaved,1000,176,26.78,0.0,734,188,-1.49
interleaved,1000,177,26.78,0.0,782,5571,-1.33
interleaved,1000,178,26.78,0.0,525,207,-1.48
interleaved,1000,179,26.78,0.0,543,212,-1.48
interleaved,1000,180,0.0,0.0,508,135,-1.49
interleaved,1000,181,0.0,0.0,662,177,-1.47
interleaved,1000,182,26.78,0.0,515,205,-1.56
interleaved,1000,183,26.78,0.0,575,222,-1.55
interleaved,1000,184,0.0,0.0,595,215,-1.55
interleaved,1000,185,0.0,0.0,1182,196,-1.56
interleaved,1000,186,26.78,0.0,644,197,-1.57
interleaved,1000,187,0.0,0.0,731,187,-1.53
interleaved,1000,188,0.0,0.0,538,170,-1.43
interleaved,1000,189,0.0,0.0,693,177,-1.48
interleaved,1000,190,26.78,0.0,600,186,-1.56
interleaved,1000,191,26.78,0.0,490,220,-1.58
interleaved,1000,192,0.0,0.0,429,174,-1.58
interleaved,1000,193,0.0,0.0,447,237,-1.51
interleaved,1000,194,26.78,0.0,558,196,-1.56
interleaved,1000,195,0.0,0.0,531,197,-1.6
interleaved,1000,196,0.0,0.0,437,199,-1.61
interleaved,1000,197,0.0,0.0,682,198,-1.53
interleaved,1000,198,26.78,0.0,362,224,-1.55
interleaved,1000,199,0.0,0.0,399,204,-1.59
interleaved,1000,200,26.78,0.0,685,173,-1.54
interleaved,1000,201,26.78,0.0,540,217,-1.54
interleaved,1000,202,0.0,0.0,406,194,-1.54
interleaved,1000,203,0.0,0.0,520,273,-1.55
interleaved,1000,204,26.78,0.0,472,186,-1.58
interleaved,1000,205,0.0,0.0,624,217,-1.6
interleaved,1000,206,0.0,0.0,38079,411,1.55
