condition,subject,trial,su,rotation,rt,mt,ep
blocked,999,1,0.0,0.0,9868,47942,1.51
blocked,999,2,0.0,0.0,1735,60,-1.61
blocked,999,3,26.78,0.0,5102,94,-1.59
blocked,999,4,0.0,0.0,644,51,-1.55
blocked,999,5,0.0,0.0,942,41,-1.47
blocked,999,6,26.78,0.0,881,62,-1.56
blocked,999,7,0.0,0.0,776,51,-1.58
blocked,999,8,0.0,0.0,723,52,-1.53
blocked,999,9,26.78,0.0,820,61,-1.57
blocked,999,10,0.0,0.0,2611,62,-1.57
blocked,999,11,0.0,0.0,505,61,-1.52
blocked,999,12,0.0,0.0,724,79,-1.58
blocked,999,13,26.78,0.0,1896,61,-1.51
blocked,999,14,26.78,0.0,683,51,-1.58
blocked,999,15,26.78,0.0,1190,62,-1.53
blocked,999,16,0.0,0.0,689,82,-1.52
blocked,999,17,0.0,0.0,565,83,-1.52
blocked,999,18,26.78,0.0,1087,100,-1.51
blocked,999,19,0.0,0.0,1120,73,-1.53
blocked,999,20,0.0,0.0,695,85,-1.57
blocked,999,21,0.0,0.0,1777,73,-1.57
blocked,999,22,0.0,0.0,3112,52,-1.56
blocked,999,23,0.0,0.0,760,67,-1.55
blocked,999,24,0.0,0.0,744,63,-1.58
blocked,999,25,0.0,0.0,1000,63,-1.6
blocked,999,26,26.78,0.0,683,125,-1.53
blocked,999,27,0.0,0.0,490,73,-1.55
blocked,999,28,0.0,0.0,1020,92,-1.53
blocked,999,29,26.78,0.0,813,90,-1.55
blocked,999,30,0.0,0.26,492,63,-1.85
blocked,999,31,0.0,0.26,1215,103,-1.93
blocked,999,32,0.0,0.26,3426,90,-2.04
blocked,999,33,0.0,0.26,613,73,-1.86
blocked,999,34,0.0,0.26,485,72,-1.86
blocked,999,35,0.0,0.26,6145,71,-1.84
blocked,999,36,0.0,0.26,1401,82,-1.83
blocked,999,37,0.0,0.26,702,72,-1.83
blocked,999,38,0.0,0.26,1805,95,-1.78
blocked,999,39,0.0,0.26,536,71,-1.82
blocked,999,40,0.0,0.26,422,83,-1.8
blocked,999,41,0.0,0.26,433,83,-1.87
blocked,999,42,0.0,0.26,513,82,-1.86
blocked,999,43,0.0,0.26,470,83,-1.84
blocked,999,44,0.0,0.26,434,83,-1.83
blocked,999,45,0.0,0.26,579,93,-1.85
blocked,999,46,0.0,0.26,579,62,-1.81
