condition,subject,trial,su,rotation,rt,mt,ep
blocked,999,1,26.78,0.0,242,4566,-1.56
blocked,999,2,0.0,0.0,517,141,-1.58
blocked,999,3,26.78,0.0,533,109,-1.54
blocked,999,4,26.78,0.0,325,108,-1.58
blocked,999,5,26.78,0.0,308,112,-1.57
blocked,999,6,26.78,0.0,321,117,-1.57
blocked,999,7,26.78,0.0,408,117,-1.56
blocked,999,8,0.0,0.0,383,100,-1.55
blocked,999,9,0.0,0.0,333,118,-1.57
blocked,999,10,26.78,0.0,248,114,-1.57
blocked,999,11,0.0,0.0,280,100,-1.56
blocked,999,12,0.0,0.0,295,89,-1.57
blocked,999,13,0.0,0.0,434,91,-1.57
blocked,999,14,26.78,0.0,324,102,-1.6
blocked,999,15,0.0,0.0,350,92,-1.59
blocked,999,16,26.78,0.0,400,83,-1.56
blocked,999,17,0.0,0.0,305,126,-1.55
blocked,999,18,26.78,0.0,301,100,-1.56
blocked,999,19,26.78,0.0,293,92,-1.57
blocked,999,20,26.78,0.0,359,100,-1.59
blocked,999,21,26.78,0.0,317,100,-1.57
blocked,999,22,0.0,0.0,280,100,-1.58
blocked,999,23,0.0,0.0,317,100,-1.59
blocked,999,24,0.0,0.0,289,94,-1.59
blocked,999,25,26.78,0.0,276,100,-1.57
blocked,999,26,0.0,0.0,298,88,-1.59
blocked,999,27,0.0,0.0,317,100,-1.6
blocked,999,28,26.78,0.0,241,100,-1.55
blocked,999,29,26.78,0.0,303,89,-1.59
blocked,999,30,26.78,0.26,313,95,-1.84
blocked,999,31,26.78,0.26,425,83,-1.8
blocked,999,32,26.78,0.26,426,102,-1.83
blocked,999,33,26.78,0.26,375,84,-1.73
blocked,999,34,26.78,0.26,417,74,-1.7
blocked,999,35,26.78,0.26,308,75,-1.7
blocked,999,36,26.78,0.26,283,100,-1.65
blocked,999,37,26.78,0.26,324,75,-1.57
blocked,999,38,26.78,0.26,346,90,-1.6
blocked,999,39,26.78,0.26,308,66,-1.58
blocked,999,40,26.78,0.26,317,74,-1.59
blocked,999,41,26.78,0.26,392,67,-1.59
blocked,999,42,26.78,0.26,300,80,-1.57
blocked,999,43,26.78,0.26,292,66,-1.6
blocked,999,44,26.78,0.26,306,75,-1.6
blocked,999,45,26.78,0.26,599,75,-1.57
blocked,999,46,26.78,0.26,284,91,-1.81
blocked,999,47,26.78,0.26,294,81,-1.54
blocked,999,48,26.78,0.26,325,92,-1.54
blocked,999,49,26.78,0.26,258,125,-1.55
blocked,999,50,26.78,0.26,266,83,-1.61
blocked,999,51,26.78,0.26,251,99,-1.53
blocked,999,52,26.78,0.26,261,116,-1.64
blocked,999,53,26.78,0.26,288,88,-1.62
blocked,999,54,26.78,0.26,426,82,-1.81
blocked,999,55,26.78,0.26,366,84,-1.57
blocked,999,56,26.78,0.26,250,100,-1.59
blocked,999,57,26.78,0.26,270,70,-1.59
blocked,999,58,26.78,0.26,241,75,-1.56
blocked,999,59,26.78,0.26,361,84,-1.55
blocked,999,60,26.78,0.26,343,100,-1.54
blocked,999,61,26.78,0.26,241,83,-1.56
blocked,999,62,26.78,0.26,191,92,-1.54
blocked,999,63,26.78,0.26,300,74,-1.59
blocked,999,64,26.78,0.26,294,80,-1.62
blocked,999,65,26.78,0.26,225,100,-1.59
blocked,999,66,26.78,0.26,267,92,-1.56
blocked,999,67,26.78,0.26,275,92,-1.58
blocked,999,68,26.78,0.26,256,85,-1.62
blocked,999,69,26.78,0.26,302,65,-1.58
blocked,999,70,26.78,0.26,301,91,-1.59
blocked,999,71,26.78,0.26,303,81,-1.6
blocked,999,72,26.78,0.26,317,85,-1.56
blocked,999,73,26.78,0.26,366,76,-1.55
blocked,999,74,26.78,0.26,386,48,-1.56
blocked,999,75,26.78,0.26,341,67,-1.51
blocked,999,76,26.78,0.26,350,50,-1.52
blocked,999,77,26.78,0.26,291,58,-1.52
blocked,999,78,26.78,0.26,317,74,-1.55
blocked,999,79,26.78,0.26,392,75,-1.5
blocked,999,80,26.78,0.26,276,66,-1.64
blocked,999,81,26.78,0.26,288,67,-1.5
blocked,999,82,26.78,0.26,250,75,-1.48
blocked,999,83,26.78,0.26,275,67,-1.56
blocked,999,84,26.78,0.26,241,58,-1.57
blocked,999,85,26.78,0.26,284,58,-1.55
blocked,999,86,26.78,0.26,259,101,-1.48
blocked,999,87,26.78,0.26,264,67,-1.53
blocked,999,88,26.78,0.26,242,74,-1.54
blocked,999,89,26.78,0.26,317,67,-1.54
blocked,999,90,26.78,0.26,276,75,-1.56
blocked,999,91,26.78,0.26,342,83,-1.53
blocked,999,92,26.78,0.26,434,92,-1.56
blocked,999,93,26.78,0.26,225,92,-1.5
blocked,999,94,26.78,0.26,325,75,-1.55
blocked,999,95,26.78,0.26,302,75,-1.52
blocked,999,96,26.78,0.26,876,75,-1.55
blocked,999,97,26.78,0.26,300,109,-1.53
blocked,999,98,26.78,0.26,358,74,-1.56
blocked,999,99,26.78,0.26,240,67,-1.58
blocked,999,100,26.78,0.26,300,66,-1.55
blocked,999,101,26.78,0.26,233,66,-1.6
blocked,999,102,26.78,0.26,257,75,-1.62
blocked,999,103,26.78,0.26,216,76,-1.61
blocked,999,104,26.78,0.26,298,59,-1.62
blocked,999,105,26.78,0.26,284,75,-1.63
blocked,999,106,26.78,0.26,250,92,-1.62
