condition,subject,trial,su,rotation,rt,mt,ep
interleaved,1000,117,0.0,0.26,301,78,-1.58
interleaved,1000,118,0.0,0.26,300,84,-1.61
interleaved,1000,119,0.0,0.26,265,103,-1.54
interleaved,1000,120,0.0,0.26,291,76,-1.57
interleaved,1000,121,0.0,0.26,283,76,-1.59
interleaved,1000,122,26.78,0.26,358,92,-1.58
interleaved,1000,123,0.0,0.26,375,92,-1.62
interleaved,1000,124,26.78,0.26,292,79,-1.6
interleaved,1000,125,0.0,0.26,426,91,-1.55
interleaved,1000,126,0.0,0.26,1450,66,-1.56
interleaved,1000,127,0.0,0.26,254,83,-1.59
interleaved,1000,128,26.78,0.26,2595,92,-1.62
interleaved,1000,129,26.78,0.26,2412,325,-1.63
interleaved,1000,130,0.0,0.0,3977,83,-1.38
interleaved,1000,131,0.0,0.0,2591,93,-1.39
interleaved,1000,132,0.0,0.0,4100,83,-1.41
interleaved,1000,133,0.0,0.0,11023,83,-1.33
interleaved,1000,134,26.78,0.0,4092,83,-1.36
interleaved,1000,135,0.0,0.0,2592,66,-1.38
interleaved,1000,136,0.0,0.0,303,91,-1.29
interleaved,1000,137,26.78,0.0,342,76,-1.29
interleaved,1000,138,26.78,0.0,309,77,-1.3
interleaved,1000,139,26.78,0.0,300,93,-1.35
interleaved,1000,140,26.78,0.0,308,74,-1.37
interleaved,1000,141,26.78,0.0,308,76,-1.35
interleaved,1000,142,0.0,0.0,300,80,-1.38
interleaved,1000,143,0.0,0.0,399,75,-1.35
interleaved,1000,144,26.78,0.0,425,66,-1.36
interleaved,1000,145,0.0,0.0,299,83,-1.32
interleaved,1000,146,26.78,0.0,312,92,-1.29
interleaved,1000,147,0.0,0.0,380,90,-1.31
interleaved,1000,148,26.78,0.0,317,92,-1.34
interleaved,1000,149,26.78,0.0,361,97,-1.33
interleaved,1000,150,0.0,0.0,342,75,-1.32
interleaved,1000,151,0.0,0.0,311,98,-1.32
interleaved,1000,152,0.0,0.0,291,106,-1.24
interleaved,1000,153,26.78,0.0,366,100,-1.26
interleaved,1000,154,0.0,0.0,267,141,-1.23
interleaved,1000,155,0.0,0.0,491,83,-1.3
interleaved,1000,156,0.0,0.0,341,109,-1.25
interleaved,1000,157,0.0,0.0,176,158,-1.25
interleaved,1000,158,0.0,0.0,308,134,-1.25
interleaved,1000,159,26.78,0.0,267,108,-1.24
interleaved,1000,160,26.78,0.0,283,125,-1.15
interleaved,1000,161,26.78,0.0,250,75,-1.25
interleaved,1000,162,0.0,0.0,33,122,-1.22
interleaved,1000,163,26.78,0.0,316,91,-1.25
interleaved,1000,164,0.0,0.0,315,74,-1.25
interleaved,1000,165,0.0,0.0,753,67,-1.24
interleaved,1000,166,0.0,0.0,358,76,-1.23
interleaved,1000,167,26.78,0.0,300,83,-1.28
interleaved,1000,168,26.78,0.0,284,108,-1.26
interleaved,1000,169,26.78,0.0,407,66,-1.29
interleaved,1000,170,0.0,0.0,280,100,-1.27
interleaved,1000,171,0.0,0.0,310,116,-1.22
interleaved,1000,172,26.78,0.0,426,100,-1.21
interleaved,1000,173,26.78,0.0,308,135,-1.18
interleaved,1000,174,0.0,0.0,363,92,-1.19
interleaved,1000,175,26.78,0.0,467,76,-1.2
interleaved,1000,176,26.78,0.0,377,98,-1.13
interleaved,1000,177,26.78,0.0,350,108,-1.21
interleaved,1000,178,0.0,0.0,383,93,-1.19
interleaved,1000,179,0.0,0.0,441,75,-1.21
interleaved,1000,180,0.0,0.0,420,117,-1.14
interleaved,1000,181,26.78,0.0,299,100,-1.53
interleaved,1000,182,0.0,0.0,383,92,-1.54
interleaved,1000,183,26.78,0.0,396,99,-1.6
interleaved,1000,184,0.0,0.0,293,100,-1.53
interleaved,1000,185,26.78,0.0,291,100,-1.54
interleaved,1000,186,0.0,0.0,308,91,-1.58
interleaved,1000,187,0.0,0.0,341,108,-1.57
interleaved,1000,188,26.78,0.0,336,97,-1.61
interleaved,1000,189,0.0,0.0,267,88,-1.59
interleaved,1000,190,0.0,0.0,274,83,-1.6
interleaved,1000,191,26.78,0.0,400,76,-1.61
interleaved,1000,192,26.78,0.0,372,77,-1.61
interleaved,1000,193,26.78,0.0,285,90,-1.58
interleaved,1000,194,0.0,0.0,324,93,-1.57
interleaved,1000,195,26.78,0.0,455,74,-1.54
interleaved,1000,196,0.0,0.0,306,79,-1.59
interleaved,1000,197,0.0,0.0,326,74,-1.54
interleaved,1000,198,26.78,0.0,359,91,-1.56
interleaved,1000,199,0.0,0.0,291,84,-1.56
interleaved,1000,200,0.0,0.0,302,81,-1.57
interleaved,1000,201,0.0,0.0,308,84,-1.55
interleaved,1000,202,0.0,0.0,276,91,-1.56
interleaved,1000,203,26.78,0.0,262,96,-1.59
interleaved,1000,204,0.0,0.0,233,100,-1.56
interleaved,1000,205,26.78,0.0,328,92,-1.6
interleaved,1000,206,0.0,0.0,233,107,-1.57
interleaved,1000,207,26.78,0.0,233,126,-1.55
interleaved,1000,208,0.0,0.0,350,76,-1.6
interleaved,1000,209,0.0,0.0,308,98,-1.56
interleaved,1000,210,26.78,0.0,279,84,-1.56
interleaved,1000,211,0.0,0.0,416,67,-1.55
interleaved,1000,212,0.0,0.0,350,100,-1.6
interleaved,1000,213,26.78,0.0,458,83,-1.58
interleaved,1000,214,0.0,0.0,300,100,-1.58
interleaved,1000,215,0.0,0.0,360,95,-1.57
interleaved,1000,216,0.0,0.0,507,66,-1.6
interleaved,1000,217,26.78,0.0,333,75,-1.56
interleaved,1000,218,26.78,0.0,428,84,-1.57
interleaved,1000,219,26.78,0.0,291,83,-1.52
interleaved,1000,220,26.78,0.0,317,83,-1.54
interleaved,1000,221,0.0,0.0,333,100,-1.56
interleaved,1000,222,26.78,0.0,432,83,-1.58
interleaved,1000,223,0.0,0.0,892,74,-1.54
interleaved,1000,224,26.78,0.0,438,108,-1.59
